forecast_date,open,high,low,close,volume,amount
2025-07-21,4054.2832,4068.7805,4042.884,4050.828,-3.191307e-09,-1.4306195e-07
2025-07-22,4050.9438,4063.9023,4039.2153,4045.7585,1.0569021e-08,-1.5489333e-07
2025-07-23,4046.4932,4067.7397,4038.3586,4051.7754,-5.018644e-08,-2.0764537e-07
2025-07-24,4048.54,4060.4724,4027.1045,4034.2073,3.1813308e-08,-1.2742251e-07
2025-07-25,4026.0051,4042.2761,4011.0208,4020.8755,5.7849956e-08,-1.1421613e-07
2025-07-28,4019.28,4036.4812,4011.2666,4024.0288,1.3710617e-07,-1.0578707e-08
