job,method,cutoff,seed,split,n,representation_mean,representation_std,market_mean,market_std,component_correlation,intercept,total_logit_mean,total_logit_std
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,training,1077,4.882094934656213e-16,0.6624388156067288,-2.6389702349493043e-17,0.4352038571394083,-0.2648295267283395,-0.03848036005544251,-0.03848036005544204,0.6895861320573919
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,validation,22,0.05317215024466364,0.4922265891510388,0.12021006301736453,0.47765355895817385,-0.774434287875927,-0.03848036005544251,0.13490185320658565,0.32600550393819216
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,training,1077,-3.29871279368663e-16,0.6346068481342838,3.2987127936866304e-18,0.3243462266889196,-0.0250643496765558,-0.03183097174736521,-0.031830971747365565,0.7054135093308972
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,validation,22,0.10404962143744054,0.7050691137834332,0.1528613150678207,0.3409821944022558,-0.591902829919999,-0.03183097174736521,0.225079964757896,0.5733981814302376
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,training,1077,-9.210006119973071e-15,0.6050944904526807,-5.2779404698986086e-17,0.3183976686037861,0.05540158484273437,-0.02983241189642209,-0.02983241189643134,0.6991879798861378
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,validation,22,0.017104357207595927,0.466061588323295,0.31839178955548825,0.2807521637191993,0.04538828625152619,-0.02983241189642209,0.30566373486666215,0.5548991766869354
learned_market_2015-12-31_20260910,learned_market,2015-12-31,20260910,training,1190,-1.1941894718657147e-17,0.6927940616448256,5.373852623395716e-17,0.34741889584149677,-0.1467637357512948,0.01139711003338635,0.01139711003338638,0.7280209117243764
learned_market_2015-12-31_20260910,learned_market,2015-12-31,20260910,validation,48,-0.059454930977141975,0.7736498337852854,-0.0953375433392538,0.5649251463368474,-0.16016255389266323,0.01139711003338635,-0.14339536428300947,0.8818588537635621
learned_market_2015-12-31_20260911,learned_market,2015-12-31,20260911,training,1190,7.881650514313716e-16,0.5178742311860574,5.672399991362144e-17,0.3684805241154361,-0.16889563724025153,0.019202724914704192,0.019202724914705056,0.5826766395904703
learned_market_2015-12-31_20260911,learned_market,2015-12-31,20260911,validation,48,-0.05027767465620294,0.49782397024924013,-0.11607261526245882,0.6406325975417576,-0.1356469803986503,0.019202724914704192,-0.14714756500395756,0.7561197963441102
learned_market_2015-12-31_20260912,learned_market,2015-12-31,20260912,training,1190,-5.027537676554659e-15,0.5598858085745789,2.9854736796642864e-17,0.33604001149569257,-0.09436533869462824,0.013862245234803948,0.013862245234798945,0.6252091306680172
