job,method,cutoff,seed,train_n,dimensions,iterations,objective,gradient_inf,parent_or_constant_objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_brier,constant_log_loss,constant_accuracy
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,1077,29,4,0.6369492919886864,8.481575901678196e-13,0.6538673544376851,0.6323078740694339,0.2208045968744161,0.6434540389972145,0.6975440653996068,0.4921077065926188,0.1569196070674361,0.24993771170476817,0.6930225987958569,0.5078922934076138
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,1077,29,4,0.6346667330344339,6.721782418867006e-15,0.6441536190117876,0.631083746213727,0.22066483295057457,0.627669452181987,0.6959401193473836,0.492107706592385,0.1622938875935899,0.24993771170476817,0.6930225987958569,0.5078922934076138
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,1077,29,4,0.63579213254036,1.6637299177224563e-14,0.6446705910383199,0.6314899376313718,0.22087413628187094,0.6323119777158774,0.6941499085923217,0.49210770659238035,0.15920658823535858,0.24993771170476817,0.6930225987958569,0.5078922934076138
learned_market_2015-12-31_20260910,learned_market,2015-12-31,20260910,1190,29,4,0.6321634760527012,1.3732721557135896e-14,0.6440236811773848,0.6290666814729634,0.21953070546541936,0.6436974789915967,0.7010245502232995,0.5033613445378162,0.1666136711155568,0.24998870136289814,0.693124583115526,0.5033613445378151
learned_market_2015-12-31_20260911,learned_market,2015-12-31,20260911,1190,29,4,0.6509422475691592,3.5605199344423966e-16,0.6644376159343018,0.6467278291468209,0.22788464877428946,0.6058823529411764,0.6656356194334042,0.5033613445378149,0.13545110616356948,0.24998870136289814,0.693124583115526,0.5033613445378151
learned_market_2015-12-31_20260912,learned_market,2015-12-31,20260912,1190,29,4,0.6444667567462348,2.1499729080387553e-16,0.653874239979792,0.6395443530508322,0.22443889067643244,0.6277310924369748,0.6828216231790717,0.5033613445378151,0.14539479866012164,0.24998870136289814,0.693124583115526,0.5033613445378151
learned_market_2016-12-31_20260910,learned_market,2016-12-31,20260910,1434,29,4,0.6402549590643113,6.41370637155525e-15,0.6434476131958766,0.6377133924806535,0.22390997256124254,0.6338912133891214,0.6829951613750489,0.5069735006973484,0.1553320619580416,0.24995137028802408,0.6930499179826164,0.50697350069735
learned_market_2016-12-31_20260911,learned_market,2016-12-31,20260911,1434,29,4,0.6578488099715136,9.356664748549903e-17,0.6641583294533212,0.6560015637154838,0.2322421858437218,0.6122733612273361,0.6490586374416573,0.50697350069735,0.12724778020029015,0.24995137028802408,0.6930499179826164,0.50697350069735
learned_market_2016-12-31_20260912,learned_market,2016-12-31,20260912,1434,29,3,0.6644713295419913,5.652072906925376e-10,0.666705212638071,0.662245581220638,0.23478181391803166,0.6115760111576011,0.6446344182463049,0.506973500780633,0.11349009088632096,0.24995137028802408,0.6930499179826164,0.50697350069735
learned_market_2017-12-31_20260910,learned_market,2017-12-31,20260910,1678,29,4,0.650701577737052,4.1150719984339723e-13,0.6527980547185818,0.6482202592394929,0.22858724471246908,0.6138259833134684,0.6650018142622356,0.5202622169250244,0.13706128987439256,0.2495894425652879,0.6923258407995493,0.5202622169249106
learned_market_2017-12-31_20260911,learned_market,2017-12-31,20260911,1678,29,4,0.6530254642876395,1.1839487723541708e-16,0.6536090615625159,0.650816946083557,0.22960719195069504,0.6179976162097736,0.662579952046559,0.5202622169249106,0.1340584768237345,0.2495894425652879,0.6923258407995493,0.5202622169249106
learned_market_2017-12-31_20260912,learned_market,2017-12-31,20260912,1678,29,4,0.644153216929073,9.1849271244282e-15,0.6444073164497038,0.6415644985128236,0.22530559640759726,0.6197854588796186,0.6789196957731247,0.5202622169249062,0.14796483300424326,0.2495894425652879,0.6923258407995493,0.5202622169249106
learned_market_2018-12-31_20260910,learned_market,2018-12-31,20260910,1921,29,4,0.6316867264412549,2.375006658353329e-13,0.632651871452204,0.6299033683152855,0.22031615423115605,0.6319625195210827,0.6953642671386339,0.5111920874544483,0.16812244495298515,0.2498747371784119,0.6928966339915423,0.5111920874544508
learned_market_2018-12-31_20260911,learned_market,2018-12-31,20260911,1921,29,4,0.6465885871683656,9.610368056911511e-16,0.648018371901919,0.6453846762706013,0.22706755867812556,0.6153045288912025,0.6725543271973261,0.5111920874544505,0.14749985205811758,0.2498747371784119,0.6928966339915423,0.5111920874544508
learned_market_2018-12-31_20260912,learned_market,2018-12-31,20260912,1921,29,4,0.6495785315603416,7.541710311809169e-16,0.650978301188173,0.6470355753272625,0.22778591250476596,0.6220718375845914,0.6708386744142163,0.5111920874544505,0.1403252110193741,0.2498747371784119,0.6928966339915423,0.5111920874544508
