seed,epoch,train_n,steps,last_batch,nominal_loss_weight_max_min,permutation_sha256,joint_loss,return_loss,aux_loss,gradient_norm
20260910,1,1028,9,4,32.0,ea6eb0fe43e2c2d0d745093d13d1b14f60640f1c1e91d18daa3aab24d946729e,1.116853312759548,1.0018998029630937,1.1495351492198989,1.0809305215160208
20260910,2,1028,9,4,32.0,91ba6858a7a0efda28f0b770ecd0e70830d5e0875c3a962c330228d2bb7c8bed,1.106636167268345,1.0003104773476894,1.0632569731905304,0.6070197983010733
20260910,3,1028,9,4,32.0,a71f439eddb0392350e5dd2f5e41d2e6ed227ae50cc2772c683e14d48f9ce4ef,1.1056669469241502,1.0013129860162735,1.0435394234230546,0.6845578739151417
20260910,4,1028,9,4,32.0,833334b11d8e00bc1975cf9ba3cab1a9e8d25154e2de7679e0ef334e7ba4fdcc,1.1041255197868274,1.000034710312632,1.0409078347543799,0.5081653738764009
20260910,5,1028,9,4,32.0,0786aca372bba443539a64c863d16f8aacf2669db0dc30e1ffd62bb9ebb765ad,1.1050018538296917,1.0013515499315373,1.0365030236745159,0.5367549235718724
20260910,6,1028,9,4,32.0,1adcd2949755f25a0fd98a83db62a20c77cc456facc46c3f210b49979f1b445d,1.103412452838764,1.0006956877875421,1.0271676788070323,0.5884271261756986
20260910,7,1028,9,4,32.0,4b551d6f159cde835c892da0188a19c0edfa597b1becd744c7c0b1b2bce89c6b,1.1016087119797324,0.9997898510689865,1.018188423335784,0.48229306681146883
20260910,8,1028,9,4,32.0,23130cf5ea9f318be3ad74b572926bb853580100aa9dcf0fd25a0806968c50dc,1.1016754746900923,1.000284703789054,1.0139076264451914,0.5084956805529761
20260910,9,1028,9,4,32.0,055906bdd3ff8f3805e40dba0c2aa5b9de877c2a6ecff09f9a843b75d9993c56,1.1032598083585152,1.0016434688976303,1.0161633811572182,0.4991019171035707
20260910,10,1028,9,4,32.0,f9fac37ba5f4bd1c5763241fa93c4ba4d227d825789f2ef35816761c20384ad3,1.1025156810125951,1.0012146083761282,1.0130104673047937,0.6526087225643113
20260910,11,1028,9,4,32.0,207b4bcf188268013f333eda8b297be67c402976c6d814dbb1a360b7466e4b5e,1.1010383546120461,0.9999512948878544,1.0108705369414985,0.4563569990113551
20260910,12,1028,9,4,32.0,ca77aacf5d5aec6a73bd3bc9fc9d3a3b628d377363220476fc1cc2b2457cad1b,1.1010381803206433,1.0002754163649294,1.007627610218664,0.39143740156745166
20260910,13,1028,9,4,32.0,9a354404928c860ae20245aeb4c9ebdd8ea387fec99ea86a877be1641f8f3864,1.1010489693411594,1.0005026594210227,1.0054633659147567,0.38767793670238687
20260910,14,1028,9,4,32.0,c10b3c3e397c099a6c987897dd807eaeb4692f12e7ee88ffdd4343e7a4d98996,1.1012628792788732,1.0004159624938371,1.0084690157077656,0.39865111469758624
20260910,15,1028,9,4,32.0,e32ef90d335c058513cc78fd09a0a3964a5c9afe045c871494c41c9e409e36cd,1.101290276890135,1.00062041697799,1.006698472722495,0.4733956347179784
20260910,16,1028,9,4,32.0,9d0dec7ad3d706c18cbeafd8e1eeef4e53341cce5e0a604f578a51d373a4cadc,1.0999839413722665,0.9994255015590312,1.0055845093402418,0.40465838667947496
20260910,17,1028,9,4,32.0,3744aeda1eb7d4b4a6f1a61ea1991d34b900d216a85c2eaaa7d820b4a246eb87,1.1002479517970103,0.9996665609485909,1.005813816642019,0.46466324023235633
