scheme,total_cells,ready_cells,training_supported_cells,validation_supported_cells,training_support_fraction,validation_support_fraction
original4,92,52,32,11,0.6153846153846154,0.21153846153846154
parent_trend,46,26,26,14,1.0,0.5384615384615384
parent_volatility,46,26,23,13,0.8846153846153846,0.5
child_trend,92,52,32,11,0.6153846153846154,0.21153846153846154
child_volatility,92,52,32,11,0.6153846153846154,0.21153846153846154
