period,history,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
extension_2021_2023,quarter_trend2_state4_validated,learned_market,rolling5_annual20,147,12,2,0,-0.0004206347601853246
extension_2021_2023,quarter_trend2_state4_validated,learned_market,weekly_state_validated,147,12,0,0,9.644905403713537e-05
extension_2021_2023,quarter_trend2_state4_validated,learned_market,quarter_trend2_validated,147,12,0,0,0.0003743078219169812
extension_2021_2023,quarter_trend2_state4_validated,learned_order_extension,rolling5_annual20,147,12,1,0,-0.00046112820194174034
extension_2021_2023,quarter_trend2_state4_validated,learned_order_extension,weekly_state_validated,147,12,0,0,0.0001230984508748397
extension_2021_2023,quarter_trend2_state4_validated,learned_order_extension,quarter_trend2_validated,147,12,0,0,0.0003545698597450593
extension_2021_2023,quarter_trend2_state4_validated,learned_order_offset,rolling5_annual20,147,12,1,0,-0.00046578387828661205
extension_2021_2023,quarter_trend2_state4_validated,learned_order_offset,weekly_state_validated,147,12,0,0,0.00012554104883492608
extension_2021_2023,quarter_trend2_state4_validated,learned_order_offset,quarter_trend2_validated,147,12,0,0,0.0003553570620822898
extension_2021_2023,quarter_trend2_state4_validated,learned_vol_interaction,rolling5_annual20,147,12,1,0,-0.00044256184322647227
extension_2021_2023,quarter_trend2_state4_validated,learned_vol_interaction,weekly_state_validated,147,12,0,0,0.0001080599026620246
extension_2021_2023,quarter_trend2_state4_validated,learned_vol_interaction,quarter_trend2_validated,147,12,1,0,0.00036756983096473603
extension_2021_2023,quarter_volatility2_state4_validated,learned_market,rolling5_annual20,147,12,2,0,-0.0004972761133903293
extension_2021_2023,quarter_volatility2_state4_validated,learned_market,weekly_state_validated,147,12,0,0,1.98077008321307e-05
extension_2021_2023,quarter_volatility2_state4_validated,learned_market,quarter_volatility2_validated,147,6,0,1,0.0010377391601140787
extension_2021_2023,quarter_volatility2_state4_validated,learned_order_extension,rolling5_annual20,147,12,1,0,-0.0005464134820352462
extension_2021_2023,quarter_volatility2_state4_validated,learned_order_extension,weekly_state_validated,147,12,0,0,3.781317078133391e-05
extension_2021_2023,quarter_volatility2_state4_validated,learned_order_extension,quarter_volatility2_validated,147,6,0,1,0.0009944892074643847
extension_2021_2023,quarter_volatility2_state4_validated,learned_order_offset,rolling5_annual20,147,12,1,0,-0.0005530962590254065
extension_2021_2023,quarter_volatility2_state4_validated,learned_order_offset,weekly_state_validated,147,12,0,0,3.822866809613165e-05
extension_2021_2023,quarter_volatility2_state4_validated,learned_order_offset,quarter_volatility2_validated,147,2,0,0,-2.6237124686658584e-06
extension_2021_2023,quarter_volatility2_state4_validated,learned_vol_interaction,rolling5_annual20,147,12,1,0,-0.0005214101276629014
extension_2021_2023,quarter_volatility2_state4_validated,learned_vol_interaction,weekly_state_validated,147,12,0,0,2.9211618225595414e-05
extension_2021_2023,quarter_volatility2_state4_validated,learned_vol_interaction,quarter_volatility2_validated,147,2,0,0,-7.513012646980022e-06
recent_2024_2026,quarter_trend2_state4_validated,learned_market,rolling5_annual20,125,6,0,1,-9.837955274019095e-06
recent_2024_2026,quarter_trend2_state4_validated,learned_market,weekly_state_validated,125,5,0,0,0.0006650391781436474
recent_2024_2026,quarter_trend2_state4_validated,learned_market,quarter_trend2_validated,125,4,0,0,-0.0006828278172018702
recent_2024_2026,quarter_trend2_state4_validated,learned_order_extension,rolling5_annual20,125,3,1,0,-0.0006012894875564325
recent_2024_2026,quarter_trend2_state4_validated,learned_order_extension,weekly_state_validated,125,3,0,0,0.0002861704795613378
recent_2024_2026,quarter_trend2_state4_validated,learned_order_extension,quarter_trend2_validated,125,3,1,0,-0.0006012894875564325
recent_2024_2026,quarter_trend2_state4_validated,learned_order_offset,rolling5_annual20,125,3,1,0,-0.0006043304411078663
recent_2024_2026,quarter_trend2_state4_validated,learned_order_offset,weekly_state_validated,125,3,0,0,0.0002872971260332897
recent_2024_2026,quarter_trend2_state4_validated,learned_order_offset,quarter_trend2_validated,125,3,1,0,-0.0006043304411078663
recent_2024_2026,quarter_trend2_state4_validated,learned_vol_interaction,rolling5_annual20,125,6,1,0,-2.1056637210350447e-06
recent_2024_2026,quarter_trend2_state4_validated,learned_vol_interaction,weekly_state_validated,125,5,0,0,0.0006844015560138732
recent_2024_2026,quarter_trend2_state4_validated,learned_vol_interaction,quarter_trend2_validated,125,4,1,0,-0.0006981970892099969
recent_2024_2026,quarter_volatility2_state4_validated,learned_market,rolling5_annual20,125,5,0,1,-0.0003466786192695455
recent_2024_2026,quarter_volatility2_state4_validated,learned_market,weekly_state_validated,125,6,0,0,0.000328198514148121
recent_2024_2026,quarter_volatility2_state4_validated,learned_market,quarter_volatility2_validated,125,35,4,2,-0.0010317984111485746
recent_2024_2026,quarter_volatility2_state4_validated,learned_order_extension,rolling5_annual20,125,3,1,0,-0.0007834070183902575
recent_2024_2026,quarter_volatility2_state4_validated,learned_order_extension,weekly_state_validated,125,3,0,0,0.00010405294872751281
recent_2024_2026,quarter_volatility2_state4_validated,learned_order_extension,quarter_volatility2_validated,125,31,2,1,-0.0008089789105343614
recent_2024_2026,quarter_volatility2_state4_validated,learned_order_offset,rolling5_annual20,125,3,1,0,-0.0007879064773643536
recent_2024_2026,quarter_volatility2_state4_validated,learned_order_offset,weekly_state_validated,125,3,0,0,0.00010372108977680238
recent_2024_2026,quarter_volatility2_state4_validated,learned_order_offset,quarter_volatility2_validated,125,31,2,1,-0.0008031167141040666
recent_2024_2026,quarter_volatility2_state4_validated,learned_vol_interaction,rolling5_annual20,125,5,1,0,-0.000340332582075632
recent_2024_2026,quarter_volatility2_state4_validated,learned_vol_interaction,weekly_state_validated,125,6,0,0,0.0003461746376592763
recent_2024_2026,quarter_volatility2_state4_validated,learned_vol_interaction,quarter_volatility2_validated,125,37,3,2,-0.0013281988818096971
pooled_2021_2026,quarter_trend2_state4_validated,learned_market,rolling5_annual20,272,18,2,1,-0.00023184946381064376
pooled_2021_2026,quarter_trend2_state4_validated,learned_market,weekly_state_validated,272,17,0,0,0.00035774966254196626
pooled_2021_2026,quarter_trend2_state4_validated,learned_market,quarter_trend2_validated,272,16,0,0,-0.00011150818870749096
pooled_2021_2026,quarter_trend2_state4_validated,learned_order_extension,rolling5_annual20,272,15,2,0,-0.0005255405574631981
pooled_2021_2026,quarter_trend2_state4_validated,learned_order_extension,weekly_state_validated,272,15,0,0,0.00019803964052856124
pooled_2021_2026,quarter_trend2_state4_validated,learned_order_extension,quarter_trend2_validated,272,15,1,0,-8.470373736040569e-05
pooled_2021_2026,quarter_trend2_state4_validated,learned_order_offset,rolling5_annual20,272,15,2,0,-0.0005294541737007913
pooled_2021_2026,quarter_trend2_state4_validated,learned_order_offset,weekly_state_validated,272,15,0,0,0.00019987748137093877
pooled_2021_2026,quarter_trend2_state4_validated,learned_order_offset,quarter_trend2_validated,272,15,1,0,-8.567579783965691e-05
pooled_2021_2026,quarter_trend2_state4_validated,learned_vol_interaction,rolling5_annual20,272,18,2,0,-0.00024014631955669412
pooled_2021_2026,quarter_trend2_state4_validated,learned_vol_interaction,weekly_state_validated,272,17,0,0,0.0003729227948273962
pooled_2021_2026,quarter_trend2_state4_validated,learned_vol_interaction,quarter_trend2_validated,272,16,2,0,-0.00012221276102732874
pooled_2021_2026,quarter_volatility2_state4_validated,learned_market,rolling5_annual20,272,17,2,1,-0.00042806770616570433
pooled_2021_2026,quarter_volatility2_state4_validated,learned_market,weekly_state_validated,272,18,0,0,0.00016153142018690564
pooled_2021_2026,quarter_volatility2_state4_validated,learned_market,quarter_volatility2_validated,272,41,4,3,8.666490861469756e-05
pooled_2021_2026,quarter_volatility2_state4_validated,learned_order_extension,rolling5_annual20,272,15,2,0,-0.00065532595278663
pooled_2021_2026,quarter_volatility2_state4_validated,learned_order_extension,weekly_state_validated,272,15,0,0,6.825424520512935e-05
pooled_2021_2026,quarter_volatility2_state4_validated,learned_order_extension,quarter_volatility2_validated,272,37,2,2,0.0001656895208840787
pooled_2021_2026,quarter_volatility2_state4_validated,learned_order_offset,rolling5_annual20,272,15,2,0,-0.0006610053667179374
pooled_2021_2026,quarter_volatility2_state4_validated,learned_order_offset,weekly_state_validated,272,15,0,0,6.832628835379284e-05
pooled_2021_2026,quarter_volatility2_state4_validated,learned_order_offset,quarter_volatility2_validated,272,33,2,1,-0.0003704973345437581
pooled_2021_2026,quarter_volatility2_state4_validated,learned_vol_interaction,rolling5_annual20,272,17,2,0,-0.00043819434384522246
pooled_2021_2026,quarter_volatility2_state4_validated,learned_vol_interaction,weekly_state_validated,272,18,0,0,0.00017487477053886787
pooled_2021_2026,quarter_volatility2_state4_validated,learned_vol_interaction,quarter_volatility2_validated,272,39,3,2,-0.000614445856931317
year_2021,quarter_trend2_state4_validated,learned_market,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_market,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_market,quarter_trend2_validated,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_order_extension,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_order_extension,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_order_extension,quarter_trend2_validated,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_order_offset,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_order_offset,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_order_offset,quarter_trend2_validated,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_vol_interaction,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_vol_interaction,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_trend2_state4_validated,learned_vol_interaction,quarter_trend2_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_market,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_market,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_market,quarter_volatility2_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_order_extension,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_order_extension,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_order_extension,quarter_volatility2_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_order_offset,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_order_offset,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_order_offset,quarter_volatility2_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_vol_interaction,rolling5_annual20,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_vol_interaction,weekly_state_validated,50,0,0,0,0.0
year_2021,quarter_volatility2_state4_validated,learned_vol_interaction,quarter_volatility2_validated,50,0,0,0,0.0
year_2022,quarter_trend2_state4_validated,learned_market,rolling5_annual20,49,0,0,0,0.0
year_2022,quarter_trend2_state4_validated,learned_market,weekly_state_validated,49,0,0,0,0.0
year_2022,quarter_trend2_state4_validated,learned_market,quarter_trend2_validated,49,2,0,0,-2.4164530403868207e-05
year_2022,quarter_trend2_state4_validated,learned_order_extension,rolling5_annual20,49,0,0,0,0.0
year_2022,quarter_trend2_state4_validated,learned_order_extension,weekly_state_validated,49,0,0,0,0.0
year_2022,quarter_trend2_state4_validated,learned_order_extension,quarter_trend2_validated,49,2,0,0,-1.7286131792994463e-05
year_2022,quarter_trend2_state4_validated,learned_order_offset,rolling5_annual20,49,0,0,0,0.0
year_2022,quarter_trend2_state4_validated,learned_order_offset,weekly_state_validated,49,0,0,0,0.0
