cutoff,method,seed,family,component,coefficient_gap,kkt_violation
2022-06-30,learned_market,20260910,trend,negative,1.7486012637846216e-15,1.7763568394002505e-15
2022-06-30,learned_market,20260910,trend,nonnegative,5.551115123125783e-17,8.881784197001252e-16
2022-06-30,learned_market,20260910,volatility,low,1.942890293094024e-16,8.881784197001252e-16
2022-06-30,learned_market,20260910,volatility,high,2.7755575615628914e-17,8.881784197001252e-16
2022-06-30,learned_market,20260911,trend,negative,2.8033131371785203e-15,8.881784197001252e-16
2022-06-30,learned_market,20260911,trend,nonnegative,2.7755575615628914e-17,8.881784197001252e-16
2022-06-30,learned_market,20260911,volatility,low,3.3306690738754696e-16,0.0
2022-06-30,learned_market,20260911,volatility,high,0.0,4.440892098500626e-16
2022-06-30,learned_market,20260912,trend,negative,7.355227538141662e-16,8.881784197001252e-16
2022-06-30,learned_market,20260912,trend,nonnegative,2.7755575615628914e-17,0.0
2022-06-30,learned_market,20260912,volatility,low,2.7755575615628914e-17,4.440892098500626e-16
2022-06-30,learned_market,20260912,volatility,high,0.0,0.0
2022-06-30,learned_vol_interaction,20260910,trend,negative,5.273559366969494e-16,1.3322676295501878e-15
2022-06-30,learned_vol_interaction,20260910,trend,nonnegative,2.7755575615628914e-17,8.881784197001252e-16
2022-06-30,learned_vol_interaction,20260910,volatility,low,2.498001805406602e-16,8.881784197001252e-16
2022-06-30,learned_vol_interaction,20260910,volatility,high,2.7755575615628914e-17,0.0
2022-06-30,learned_vol_interaction,20260911,trend,negative,2.858824288409778e-15,8.881784197001252e-16
2022-06-30,learned_vol_interaction,20260911,trend,nonnegative,5.551115123125783e-17,1.7763568394002505e-15
2022-06-30,learned_vol_interaction,20260911,volatility,low,2.7755575615628914e-16,0.0
2022-06-30,learned_vol_interaction,20260911,volatility,high,2.7755575615628914e-17,0.0
2022-06-30,learned_vol_interaction,20260912,trend,negative,7.632783294297951e-16,4.440892098500626e-16
