period,history,method,n,fit_eligible_weeks,validation_accepted_weeks,changed_probability_weeks
extension_2021_2023,quarter_trend2_state4_validated,learned_market,147,62,12,12
extension_2021_2023,quarter_trend2_state4_validated,learned_order_extension,147,62,12,12
extension_2021_2023,quarter_trend2_state4_validated,learned_order_offset,147,62,12,12
extension_2021_2023,quarter_trend2_state4_validated,learned_vol_interaction,147,62,12,12
extension_2021_2023,quarter_volatility2_state4_validated,learned_market,147,62,12,12
extension_2021_2023,quarter_volatility2_state4_validated,learned_order_extension,147,62,12,12
extension_2021_2023,quarter_volatility2_state4_validated,learned_order_offset,147,62,12,12
extension_2021_2023,quarter_volatility2_state4_validated,learned_vol_interaction,147,62,12,12
recent_2024_2026,quarter_trend2_state4_validated,learned_market,125,91,6,6
recent_2024_2026,quarter_trend2_state4_validated,learned_order_extension,125,91,3,3
recent_2024_2026,quarter_trend2_state4_validated,learned_order_offset,125,91,3,3
recent_2024_2026,quarter_trend2_state4_validated,learned_vol_interaction,125,91,6,6
recent_2024_2026,quarter_volatility2_state4_validated,learned_market,125,80,5,5
recent_2024_2026,quarter_volatility2_state4_validated,learned_order_extension,125,80,3,3
recent_2024_2026,quarter_volatility2_state4_validated,learned_order_offset,125,80,3,3
recent_2024_2026,quarter_volatility2_state4_validated,learned_vol_interaction,125,80,5,5
pooled_2021_2026,quarter_trend2_state4_validated,learned_market,272,153,18,18
pooled_2021_2026,quarter_trend2_state4_validated,learned_order_extension,272,153,15,15
pooled_2021_2026,quarter_trend2_state4_validated,learned_order_offset,272,153,15,15
pooled_2021_2026,quarter_trend2_state4_validated,learned_vol_interaction,272,153,18,18
pooled_2021_2026,quarter_volatility2_state4_validated,learned_market,272,142,17,17
pooled_2021_2026,quarter_volatility2_state4_validated,learned_order_extension,272,142,15,15
pooled_2021_2026,quarter_volatility2_state4_validated,learned_order_offset,272,142,15,15
pooled_2021_2026,quarter_volatility2_state4_validated,learned_vol_interaction,272,142,17,17
year_2021,quarter_trend2_state4_validated,learned_market,50,0,0,0
year_2021,quarter_trend2_state4_validated,learned_order_extension,50,0,0,0
year_2021,quarter_trend2_state4_validated,learned_order_offset,50,0,0,0
year_2021,quarter_trend2_state4_validated,learned_vol_interaction,50,0,0,0
year_2021,quarter_volatility2_state4_validated,learned_market,50,0,0,0
year_2021,quarter_volatility2_state4_validated,learned_order_extension,50,0,0,0
year_2021,quarter_volatility2_state4_validated,learned_order_offset,50,0,0,0
year_2021,quarter_volatility2_state4_validated,learned_vol_interaction,50,0,0,0
year_2022,quarter_trend2_state4_validated,learned_market,49,26,0,0
year_2022,quarter_trend2_state4_validated,learned_order_extension,49,26,0,0
year_2022,quarter_trend2_state4_validated,learned_order_offset,49,26,0,0
year_2022,quarter_trend2_state4_validated,learned_vol_interaction,49,26,0,0
year_2022,quarter_volatility2_state4_validated,learned_market,49,26,0,0
year_2022,quarter_volatility2_state4_validated,learned_order_extension,49,26,0,0
year_2022,quarter_volatility2_state4_validated,learned_order_offset,49,26,0,0
year_2022,quarter_volatility2_state4_validated,learned_vol_interaction,49,26,0,0
year_2023,quarter_trend2_state4_validated,learned_market,48,36,12,12
year_2023,quarter_trend2_state4_validated,learned_order_extension,48,36,12,12
year_2023,quarter_trend2_state4_validated,learned_order_offset,48,36,12,12
year_2023,quarter_trend2_state4_validated,learned_vol_interaction,48,36,12,12
year_2023,quarter_volatility2_state4_validated,learned_market,48,36,12,12
year_2023,quarter_volatility2_state4_validated,learned_order_extension,48,36,12,12
year_2023,quarter_volatility2_state4_validated,learned_order_offset,48,36,12,12
year_2023,quarter_volatility2_state4_validated,learned_vol_interaction,48,36,12,12
year_2024,quarter_trend2_state4_validated,learned_market,47,36,4,4
year_2024,quarter_trend2_state4_validated,learned_order_extension,47,36,3,3
year_2024,quarter_trend2_state4_validated,learned_order_offset,47,36,3,3
year_2024,quarter_trend2_state4_validated,learned_vol_interaction,47,36,4,4
year_2024,quarter_volatility2_state4_validated,learned_market,47,25,3,3
year_2024,quarter_volatility2_state4_validated,learned_order_extension,47,25,3,3
year_2024,quarter_volatility2_state4_validated,learned_order_offset,47,25,3,3
year_2024,quarter_volatility2_state4_validated,learned_vol_interaction,47,25,3,3
year_2025,quarter_trend2_state4_validated,learned_market,48,36,0,0
year_2025,quarter_trend2_state4_validated,learned_order_extension,48,36,0,0
year_2025,quarter_trend2_state4_validated,learned_order_offset,48,36,0,0
year_2025,quarter_trend2_state4_validated,learned_vol_interaction,48,36,0,0
year_2025,quarter_volatility2_state4_validated,learned_market,48,36,0,0
year_2025,quarter_volatility2_state4_validated,learned_order_extension,48,36,0,0
year_2025,quarter_volatility2_state4_validated,learned_order_offset,48,36,0,0
year_2025,quarter_volatility2_state4_validated,learned_vol_interaction,48,36,0,0
year_2026,quarter_trend2_state4_validated,learned_market,30,19,2,2
year_2026,quarter_trend2_state4_validated,learned_order_extension,30,19,0,0
year_2026,quarter_trend2_state4_validated,learned_order_offset,30,19,0,0
year_2026,quarter_trend2_state4_validated,learned_vol_interaction,30,19,2,2
year_2026,quarter_volatility2_state4_validated,learned_market,30,19,2,2
year_2026,quarter_volatility2_state4_validated,learned_order_extension,30,19,0,0
year_2026,quarter_volatility2_state4_validated,learned_order_offset,30,19,0,0
year_2026,quarter_volatility2_state4_validated,learned_vol_interaction,30,19,2,2
