cutoff,fit_cutoff,mode,family,component,method,training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference,baseline_brier,candidate_brier
2021-06-30,2021-03-25,insufficient_history,global,all,learned_market,9,False,insufficient_history,13,7,7,0.0,0.25706619570827544,0.25706619570827544
2021-06-30,2021-03-25,insufficient_history,state,negative_low,learned_vol_interaction,0,False,insufficient_history,2,1,1,0.0,0.2685823493179599,0.2685823493179599
2021-06-30,2021-03-25,insufficient_history,state,negative_high,learned_vol_interaction,0,False,insufficient_history,7,3,3,0.0,0.282214111092088,0.282214111092088
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_low,learned_vol_interaction,1,False,insufficient_history,2,1,1,0.0,0.248186237372323,0.248186237372323
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_high,learned_vol_interaction,8,False,insufficient_history,2,2,2,0.0,0.18821112479466193,0.18821112479466193
2021-06-30,2021-03-25,insufficient_history,global,all,learned_vol_interaction,9,False,insufficient_history,13,7,7,0.0,0.26041986158573116,0.26041986158573116
2021-06-30,2021-03-25,insufficient_history,state,negative_low,learned_order_extension,0,False,insufficient_history,2,1,1,0.0,0.27468706967366785,0.27468706967366785
2021-06-30,2021-03-25,insufficient_history,state,negative_high,learned_order_extension,0,False,insufficient_history,7,3,3,0.0,0.28251495051233355,0.28251495051233355
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_low,learned_order_extension,1,False,insufficient_history,2,1,1,0.0,0.2495202528707855,0.2495202528707855
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_high,learned_order_extension,8,False,insufficient_history,2,2,2,0.0,0.18324025863518156,0.18324025863518156
2021-06-30,2021-03-25,insufficient_history,global,all,learned_order_extension,9,False,insufficient_history,13,7,7,0.0,0.26096152430350805,0.26096152430350805
2021-06-30,2021-03-25,insufficient_history,state,negative_low,learned_order_offset,0,False,insufficient_history,2,1,1,0.0,0.2745802354719388,0.2745802354719388
