cutoff,mode,method,family,component,state,training_n,parent_training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference
2021-09-30,insufficient_history,learned_order_offset,volatility,high,negative_high,8,18,False,insufficient_history,9,5,5,0.0
2021-09-30,insufficient_history,learned_order_offset,volatility,low,nonnegative_low,2,4,False,insufficient_history,1,1,1,0.0
2021-09-30,insufficient_history,learned_order_offset,volatility,high,nonnegative_high,10,18,False,insufficient_history,3,3,3,0.0
2021-12-31,annual_reset,learned_market,trend,negative,negative_low,2,17,False,annual_reset,8,5,5,0.0
2021-12-31,annual_reset,learned_market,trend,negative,negative_high,15,17,False,annual_reset,1,1,1,0.0
2021-12-31,annual_reset,learned_market,trend,nonnegative,nonnegative_low,4,17,False,annual_reset,4,1,1,0.0
2021-12-31,annual_reset,learned_market,trend,nonnegative,nonnegative_high,13,17,False,annual_reset,0,0,0,
2021-12-31,annual_reset,learned_market,volatility,low,negative_low,2,6,False,annual_reset,8,5,5,0.0
2021-12-31,annual_reset,learned_market,volatility,high,negative_high,15,28,False,annual_reset,1,1,1,0.0
2021-12-31,annual_reset,learned_market,volatility,low,nonnegative_low,4,6,False,annual_reset,4,1,1,0.0
2021-12-31,annual_reset,learned_market,volatility,high,nonnegative_high,13,28,False,annual_reset,0,0,0,
2021-12-31,annual_reset,learned_vol_interaction,trend,negative,negative_low,2,17,False,annual_reset,8,5,5,0.0
2021-12-31,annual_reset,learned_vol_interaction,trend,negative,negative_high,15,17,False,annual_reset,1,1,1,0.0
2021-12-31,annual_reset,learned_vol_interaction,trend,nonnegative,nonnegative_low,4,17,False,annual_reset,4,1,1,0.0
2021-12-31,annual_reset,learned_vol_interaction,trend,nonnegative,nonnegative_high,13,17,False,annual_reset,0,0,0,
2021-12-31,annual_reset,learned_vol_interaction,volatility,low,negative_low,2,6,False,annual_reset,8,5,5,0.0
2021-12-31,annual_reset,learned_vol_interaction,volatility,high,negative_high,15,28,False,annual_reset,1,1,1,0.0
2021-12-31,annual_reset,learned_vol_interaction,volatility,low,nonnegative_low,4,6,False,annual_reset,4,1,1,0.0
2021-12-31,annual_reset,learned_vol_interaction,volatility,high,nonnegative_high,13,28,False,annual_reset,0,0,0,
2021-12-31,annual_reset,learned_order_extension,trend,negative,negative_low,2,17,False,annual_reset,8,5,5,0.0
2021-12-31,annual_reset,learned_order_extension,trend,negative,negative_high,15,17,False,annual_reset,1,1,1,0.0
2021-12-31,annual_reset,learned_order_extension,trend,nonnegative,nonnegative_low,4,17,False,annual_reset,4,1,1,0.0
2021-12-31,annual_reset,learned_order_extension,trend,nonnegative,nonnegative_high,13,17,False,annual_reset,0,0,0,
2021-12-31,annual_reset,learned_order_extension,volatility,low,negative_low,2,6,False,annual_reset,8,5,5,0.0
2021-12-31,annual_reset,learned_order_extension,volatility,high,negative_high,15,28,False,annual_reset,1,1,1,0.0
2021-12-31,annual_reset,learned_order_extension,volatility,low,nonnegative_low,4,6,False,annual_reset,4,1,1,0.0
2021-12-31,annual_reset,learned_order_extension,volatility,high,nonnegative_high,13,28,False,annual_reset,0,0,0,
2021-12-31,annual_reset,learned_order_offset,trend,negative,negative_low,2,17,False,annual_reset,8,5,5,0.0
2021-12-31,annual_reset,learned_order_offset,trend,negative,negative_high,15,17,False,annual_reset,1,1,1,0.0
2021-12-31,annual_reset,learned_order_offset,trend,nonnegative,nonnegative_low,4,17,False,annual_reset,4,1,1,0.0
2021-12-31,annual_reset,learned_order_offset,trend,nonnegative,nonnegative_high,13,17,False,annual_reset,0,0,0,
2021-12-31,annual_reset,learned_order_offset,volatility,low,negative_low,2,6,False,annual_reset,8,5,5,0.0
2021-12-31,annual_reset,learned_order_offset,volatility,high,negative_high,15,28,False,annual_reset,1,1,1,0.0
2021-12-31,annual_reset,learned_order_offset,volatility,low,nonnegative_low,4,6,False,annual_reset,4,1,1,0.0
2021-12-31,annual_reset,learned_order_offset,volatility,high,nonnegative_high,13,28,False,annual_reset,0,0,0,
2022-03-31,insufficient_history,learned_market,trend,negative,negative_low,10,27,False,insufficient_history,4,1,1,0.0
2022-03-31,insufficient_history,learned_market,trend,negative,negative_high,17,27,False,insufficient_history,6,2,2,0.0
2022-03-31,insufficient_history,learned_market,trend,nonnegative,nonnegative_low,6,19,False,insufficient_history,3,1,1,0.0
2022-03-31,insufficient_history,learned_market,trend,nonnegative,nonnegative_high,13,19,False,insufficient_history,0,0,0,
2022-03-31,insufficient_history,learned_market,volatility,low,negative_low,10,16,False,insufficient_history,4,1,1,0.0
2022-03-31,insufficient_history,learned_market,volatility,high,negative_high,17,30,False,insufficient_history,6,2,2,0.0
2022-03-31,insufficient_history,learned_market,volatility,low,nonnegative_low,6,16,False,insufficient_history,3,1,1,0.0
2022-03-31,insufficient_history,learned_market,volatility,high,nonnegative_high,13,30,False,insufficient_history,0,0,0,
2022-03-31,insufficient_history,learned_vol_interaction,trend,negative,negative_low,10,27,False,insufficient_history,4,1,1,0.0
2022-03-31,insufficient_history,learned_vol_interaction,trend,negative,negative_high,17,27,False,insufficient_history,6,2,2,0.0
2022-03-31,insufficient_history,learned_vol_interaction,trend,nonnegative,nonnegative_low,6,19,False,insufficient_history,3,1,1,0.0
2022-03-31,insufficient_history,learned_vol_interaction,trend,nonnegative,nonnegative_high,13,19,False,insufficient_history,0,0,0,
2022-03-31,insufficient_history,learned_vol_interaction,volatility,low,negative_low,10,16,False,insufficient_history,4,1,1,0.0
2022-03-31,insufficient_history,learned_vol_interaction,volatility,high,negative_high,17,30,False,insufficient_history,6,2,2,0.0
2022-03-31,insufficient_history,learned_vol_interaction,volatility,low,nonnegative_low,6,16,False,insufficient_history,3,1,1,0.0
2022-03-31,insufficient_history,learned_vol_interaction,volatility,high,nonnegative_high,13,30,False,insufficient_history,0,0,0,
2022-03-31,insufficient_history,learned_order_extension,trend,negative,negative_low,10,27,False,insufficient_history,4,1,1,0.0
2022-03-31,insufficient_history,learned_order_extension,trend,negative,negative_high,17,27,False,insufficient_history,6,2,2,0.0
2022-03-31,insufficient_history,learned_order_extension,trend,nonnegative,nonnegative_low,6,19,False,insufficient_history,3,1,1,0.0
2022-03-31,insufficient_history,learned_order_extension,trend,nonnegative,nonnegative_high,13,19,False,insufficient_history,0,0,0,
2022-03-31,insufficient_history,learned_order_extension,volatility,low,negative_low,10,16,False,insufficient_history,4,1,1,0.0
2022-03-31,insufficient_history,learned_order_extension,volatility,high,negative_high,17,30,False,insufficient_history,6,2,2,0.0
2022-03-31,insufficient_history,learned_order_extension,volatility,low,nonnegative_low,6,16,False,insufficient_history,3,1,1,0.0
2022-03-31,insufficient_history,learned_order_extension,volatility,high,nonnegative_high,13,30,False,insufficient_history,0,0,0,
2022-03-31,insufficient_history,learned_order_offset,trend,negative,negative_low,10,27,False,insufficient_history,4,1,1,0.0
2022-03-31,insufficient_history,learned_order_offset,trend,negative,negative_high,17,27,False,insufficient_history,6,2,2,0.0
2022-03-31,insufficient_history,learned_order_offset,trend,nonnegative,nonnegative_low,6,19,False,insufficient_history,3,1,1,0.0
2022-03-31,insufficient_history,learned_order_offset,trend,nonnegative,nonnegative_high,13,19,False,insufficient_history,0,0,0,
2022-03-31,insufficient_history,learned_order_offset,volatility,low,negative_low,10,16,False,insufficient_history,4,1,1,0.0
2022-03-31,insufficient_history,learned_order_offset,volatility,high,negative_high,17,30,False,insufficient_history,6,2,2,0.0
2022-03-31,insufficient_history,learned_order_offset,volatility,low,nonnegative_low,6,16,False,insufficient_history,3,1,1,0.0
2022-03-31,insufficient_history,learned_order_offset,volatility,high,nonnegative_high,13,30,False,insufficient_history,0,0,0,
2022-06-30,ready,learned_market,trend,negative,negative_low,14,35,False,insufficient_validation,0,0,0,
