cutoff,mode,method,family,component,training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference
2020-12-31,annual_reset,learned_market,trend,negative,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,trend,nonnegative,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,volatility,low,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,volatility,high,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,trend,negative,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,trend,nonnegative,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,volatility,low,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,volatility,high,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,trend,negative,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,trend,nonnegative,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,volatility,low,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,volatility,high,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,trend,negative,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,trend,nonnegative,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,volatility,low,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,volatility,high,0,False,annual_reset,0,0,0,
2021-03-31,insufficient_history,learned_market,trend,negative,0,False,insufficient_history,1,1,1,0.0
2021-03-31,insufficient_history,learned_market,trend,nonnegative,0,False,insufficient_history,9,5,5,0.0
2021-03-31,insufficient_history,learned_market,volatility,low,0,False,insufficient_history,1,0,0,0.0
2021-03-31,insufficient_history,learned_market,volatility,high,0,False,insufficient_history,9,6,6,0.0
2021-03-31,insufficient_history,learned_vol_interaction,trend,negative,0,False,insufficient_history,1,1,1,0.0
2021-03-31,insufficient_history,learned_vol_interaction,trend,nonnegative,0,False,insufficient_history,9,5,5,0.0
2021-03-31,insufficient_history,learned_vol_interaction,volatility,low,0,False,insufficient_history,1,0,0,0.0
2021-03-31,insufficient_history,learned_vol_interaction,volatility,high,0,False,insufficient_history,9,6,6,0.0
2021-03-31,insufficient_history,learned_order_extension,trend,negative,0,False,insufficient_history,1,1,1,0.0
2021-03-31,insufficient_history,learned_order_extension,trend,nonnegative,0,False,insufficient_history,9,5,5,0.0
2021-03-31,insufficient_history,learned_order_extension,volatility,low,0,False,insufficient_history,1,0,0,0.0
2021-03-31,insufficient_history,learned_order_extension,volatility,high,0,False,insufficient_history,9,6,6,0.0
2021-03-31,insufficient_history,learned_order_offset,trend,negative,0,False,insufficient_history,1,1,1,0.0
2021-03-31,insufficient_history,learned_order_offset,trend,nonnegative,0,False,insufficient_history,9,5,5,0.0
2021-03-31,insufficient_history,learned_order_offset,volatility,low,0,False,insufficient_history,1,0,0,0.0
2021-03-31,insufficient_history,learned_order_offset,volatility,high,0,False,insufficient_history,9,6,6,0.0
2021-06-30,insufficient_history,learned_market,trend,negative,0,False,insufficient_history,9,4,4,0.0
2021-06-30,insufficient_history,learned_market,trend,nonnegative,9,False,insufficient_history,4,3,3,0.0
2021-06-30,insufficient_history,learned_market,volatility,low,1,False,insufficient_history,4,2,2,0.0
2021-06-30,insufficient_history,learned_market,volatility,high,8,False,insufficient_history,9,5,5,0.0
2021-06-30,insufficient_history,learned_vol_interaction,trend,negative,0,False,insufficient_history,9,4,4,0.0
2021-06-30,insufficient_history,learned_vol_interaction,trend,nonnegative,9,False,insufficient_history,4,3,3,0.0
2021-06-30,insufficient_history,learned_vol_interaction,volatility,low,1,False,insufficient_history,4,2,2,0.0
2021-06-30,insufficient_history,learned_vol_interaction,volatility,high,8,False,insufficient_history,9,5,5,0.0
2021-06-30,insufficient_history,learned_order_extension,trend,negative,0,False,insufficient_history,9,4,4,0.0
2021-06-30,insufficient_history,learned_order_extension,trend,nonnegative,9,False,insufficient_history,4,3,3,0.0
2021-06-30,insufficient_history,learned_order_extension,volatility,low,1,False,insufficient_history,4,2,2,0.0
2021-06-30,insufficient_history,learned_order_extension,volatility,high,8,False,insufficient_history,9,5,5,0.0
2021-06-30,insufficient_history,learned_order_offset,trend,negative,0,False,insufficient_history,9,4,4,0.0
2021-06-30,insufficient_history,learned_order_offset,trend,nonnegative,9,False,insufficient_history,4,3,3,0.0
2021-06-30,insufficient_history,learned_order_offset,volatility,low,1,False,insufficient_history,4,2,2,0.0
2021-06-30,insufficient_history,learned_order_offset,volatility,high,8,False,insufficient_history,9,5,5,0.0
2021-09-30,insufficient_history,learned_market,trend,negative,10,False,insufficient_history,9,5,5,0.0
2021-09-30,insufficient_history,learned_market,trend,nonnegative,12,False,insufficient_history,4,4,4,0.0
2021-09-30,insufficient_history,learned_market,volatility,low,4,False,insufficient_history,1,1,1,0.0
2021-09-30,insufficient_history,learned_market,volatility,high,18,False,insufficient_history,12,8,8,0.0
2021-09-30,insufficient_history,learned_vol_interaction,trend,negative,10,False,insufficient_history,9,5,5,0.0
2021-09-30,insufficient_history,learned_vol_interaction,trend,nonnegative,12,False,insufficient_history,4,4,4,0.0
2021-09-30,insufficient_history,learned_vol_interaction,volatility,low,4,False,insufficient_history,1,1,1,0.0
2021-09-30,insufficient_history,learned_vol_interaction,volatility,high,18,False,insufficient_history,12,8,8,0.0
2021-09-30,insufficient_history,learned_order_extension,trend,negative,10,False,insufficient_history,9,5,5,0.0
2021-09-30,insufficient_history,learned_order_extension,trend,nonnegative,12,False,insufficient_history,4,4,4,0.0
2021-09-30,insufficient_history,learned_order_extension,volatility,low,4,False,insufficient_history,1,1,1,0.0
2021-09-30,insufficient_history,learned_order_extension,volatility,high,18,False,insufficient_history,12,8,8,0.0
2021-09-30,insufficient_history,learned_order_offset,trend,negative,10,False,insufficient_history,9,5,5,0.0
2021-09-30,insufficient_history,learned_order_offset,trend,nonnegative,12,False,insufficient_history,4,4,4,0.0
