policy,cutoff,end,seed,job_index,worker,epoch,train_n,presentations,optimizer_steps,training_order_sha256,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
disjoint0,2017-12-31,2018-12-31,20260911,1,1,1,278,1678,14,cd8937bcc7d3ee332d6092d5f342eb37fabf68f5275d968293d6abffbe9d2b07,1.1219208325760015,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,2,278,1678,14,3c157f6c3a983ab1c7cf39ee893c26fac79d8bb7285be54166f14e3eda3bbeae,1.107711995884119,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,3,278,1678,14,e80f0bf56de68fc60b9b00158fdfed01727a84711b6f838e8c5fd63e87bdef93,1.1019266157525374,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,4,278,1678,14,5a3af4fc4b3a389b7fddce3f49bbfd4de58397ba6de65f8194d7e649b02e379f,1.1005041358439658,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,5,278,1678,14,ed398724763d84cb01916463cdcf4681ea8901fd7929f17faef35bd9757a28c6,1.099633440002355,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,6,278,1678,14,cb9d6055c991bac578880252e2f8571a5815fd4e1a85c042af5f180c53f7e58c,1.1003419315005087,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,7,278,1678,14,bf20a7b1228c9af5c22395e2e9a1f4372dc5f2e652f89179b3f9a81c90a4fb7b,1.1011449308872792,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,8,278,1678,14,36826efc1e1bb7a6b9c059a91cbe5666fd6b8d19eed42bf1856f801909bdbda2,1.0961449377869252,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,9,278,1678,14,3e2823d012b38798844becb22f9878a6fbfad849fd4f100eca5514f10d9395bd,1.0928721376766892,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,10,278,1678,14,a09042e932faa9a904b7a4f2a755d315b1d447f36ccc99a9b2df1cf255eebc45,1.0800482709586834,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,11,278,1678,14,3b404c1e212485c667c7f7fd5ba43341776b3315aaeb65fe893750141a7bbe37,1.0448995097246159,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,12,278,1678,14,a42c906a799b5ddf739f8a9cb6877d21fedb80d5ee0e2a9bb4a2591d624ead82,1.0468131717254494,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,13,278,1678,14,91e5703cf8f075a169c3d727f2020bb6049b5e8502144ef39cde85fab1c061a3,0.9998251803583411,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,14,278,1678,14,d4b44dbfbdf0f4fdd5d91fd452561cd15da85b01af1b214ace8b98bdf15b29ce,0.9606449029300721,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,15,278,1678,14,4684352308485236a960bd3931572698cea0aaca01733a40932c2276c281847d,0.9288085595359393,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,16,278,1678,14,0b0b6e328a8ef965bd7df58171a29918b8e853affc509a53f9d94fd96c34dce1,0.8875851013094933,,,
