cutoff,policy,train_n,full_train_n,validation_n,first_anchor,last_anchor,unique_fraction,weight_min,weight_max,sum_weights,presentations_per_epoch,presentations_per_unique_row,optimizer_steps_per_epoch
2017-12-31,full,1678,1678,49,2010-07-09,2017-12-21,1.0,1.0,1.0,1678.0,1678,1.0,14
2017-12-31,disjoint0,278,1678,49,2010-07-09,2017-12-14,0.16567342073897498,1.0,1.0,278.0,1678,6.0359712230215825,14
2017-12-31,disjoint1,278,1678,49,2010-07-12,2017-12-14,0.16567342073897498,1.0,1.0,278.0,1678,6.0359712230215825,14
2017-12-31,disjoint2,277,1678,49,2010-07-20,2017-12-14,0.16507747318235996,1.0,1.0,277.0,1678,6.0577617328519855,14
2017-12-31,quarter_equal,1678,1678,49,2010-07-09,2017-12-21,1.0,0.890185676392573,14.46551724137931,1678.0000000000002,1678,1.0,14
2017-12-31,recent3y,595,1678,49,2015-01-05,2017-12-21,0.35458879618593564,1.0,1.0,595.0,1678,2.820168067226891,14
2018-12-31,full,1921,1921,46,2010-07-09,2018-12-20,1.0,1.0,1.0,1921.0,1921,1.0,16
2018-12-31,disjoint0,319,1921,46,2010-07-09,2018-12-13,0.16605934409161896,1.0,1.0,319.0,1921,6.021943573667712,16
2018-12-31,disjoint1,319,1921,46,2010-07-12,2018-12-13,0.16605934409161896,1.0,1.0,319.0,1921,6.021943573667712,16
2018-12-31,disjoint2,318,1921,46,2010-07-20,2018-12-13,0.1655387818844352,1.0,1.0,318.0,1921,6.040880503144654,16
2018-12-31,quarter_equal,1921,1921,46,2010-07-09,2018-12-20,1.0,0.8955710955710956,14.553030303030303,1920.9999999999998,1921,1.0,16
2018-12-31,recent3y,725,1921,46,2016-01-04,2018-12-20,0.3774076002082249,1.0,1.0,725.0,1921,2.649655172413793,16
2019-12-31,full,2165,2165,46,2010-07-09,2019-12-23,1.0,1.0,1.0,2165.0,2165,1.0,17
2019-12-31,disjoint0,361,2165,46,2010-07-09,2019-12-20,0.16674364896073904,1.0,1.0,361.0,2165,5.997229916897507,17
2019-12-31,disjoint1,361,2165,46,2010-07-12,2019-12-20,0.16674364896073904,1.0,1.0,361.0,2165,5.997229916897507,17
2019-12-31,disjoint2,360,2165,46,2010-07-20,2019-12-20,0.16628175519630484,1.0,1.0,360.0,2165,6.013888888888889,17
2019-12-31,quarter_equal,2165,2165,46,2010-07-09,2019-12-23,1.0,0.9002079002079002,14.628378378378379,2165.0,2165,1.0,17
2019-12-31,recent3y,725,2165,46,2017-01-03,2019-12-23,0.3348729792147806,1.0,1.0,725.0,2165,2.986206896551724,17
