cutoff,policy,quarter,rows,sample_share,weight_mass
2017-12-31,disjoint0,2016Q4,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint0,2017Q1,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint0,2017Q2,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint0,2017Q3,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint0,2017Q4,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2010Q3,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2010Q4,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint1,2011Q1,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2011Q2,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint1,2011Q3,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint1,2011Q4,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2012Q1,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2012Q2,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2012Q3,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint1,2012Q4,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2013Q1,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2013Q2,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2013Q3,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint1,2013Q4,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2014Q1,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2014Q2,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2014Q3,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint1,2014Q4,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2015Q1,8,0.02877697841726619,0.02877697841726619
2017-12-31,disjoint1,2015Q3,1,0.0035971223021582736,0.0035971223021582736
2017-12-31,disjoint1,2015Q4,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2016Q1,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2016Q2,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint1,2016Q3,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2016Q4,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2017Q1,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint1,2017Q2,11,0.039568345323741004,0.039568345323741004
2017-12-31,disjoint1,2017Q3,10,0.03597122302158273,0.03597122302158273
2017-12-31,disjoint1,2017Q4,9,0.03237410071942446,0.03237410071942446
2017-12-31,disjoint2,2010Q3,8,0.02888086642599278,0.02888086642599278
2017-12-31,disjoint2,2010Q4,11,0.039711191335740074,0.039711191335740074
2017-12-31,disjoint2,2011Q1,9,0.032490974729241874,0.032490974729241874
2017-12-31,disjoint2,2011Q2,11,0.039711191335740074,0.039711191335740074
2017-12-31,disjoint2,2011Q3,11,0.039711191335740074,0.039711191335740074
2017-12-31,disjoint2,2011Q4,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2012Q1,9,0.032490974729241874,0.032490974729241874
2017-12-31,disjoint2,2012Q2,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2012Q3,11,0.039711191335740074,0.039711191335740074
2017-12-31,disjoint2,2012Q4,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2013Q1,9,0.032490974729241874,0.032490974729241874
2017-12-31,disjoint2,2013Q2,9,0.032490974729241874,0.032490974729241874
2017-12-31,disjoint2,2013Q3,11,0.039711191335740074,0.039711191335740074
2017-12-31,disjoint2,2013Q4,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2014Q1,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2014Q2,9,0.032490974729241874,0.032490974729241874
2017-12-31,disjoint2,2014Q3,11,0.039711191335740074,0.039711191335740074
2017-12-31,disjoint2,2014Q4,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2015Q1,8,0.02888086642599278,0.02888086642599278
2017-12-31,disjoint2,2015Q3,1,0.0036101083032490976,0.0036101083032490976
2017-12-31,disjoint2,2015Q4,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2016Q1,9,0.032490974729241874,0.032490974729241874
2017-12-31,disjoint2,2016Q2,11,0.039711191335740074,0.039711191335740074
2017-12-31,disjoint2,2016Q3,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2016Q4,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2017Q1,9,0.032490974729241874,0.032490974729241874
2017-12-31,disjoint2,2017Q2,11,0.039711191335740074,0.039711191335740074
2017-12-31,disjoint2,2017Q3,10,0.036101083032490974,0.036101083032490974
2017-12-31,disjoint2,2017Q4,9,0.032490974729241874,0.032490974729241874
2017-12-31,quarter_equal,2010Q3,52,0.03098927294398093,0.03448275862068965
2017-12-31,quarter_equal,2010Q4,61,0.03635280095351609,0.03448275862068966
2017-12-31,quarter_equal,2011Q1,58,0.03456495828367104,0.03448275862068965
2017-12-31,quarter_equal,2011Q2,61,0.03635280095351609,0.03448275862068966
2017-12-31,quarter_equal,2011Q3,65,0.03873659117997616,0.034482758620689655
2017-12-31,quarter_equal,2011Q4,60,0.03575685339690107,0.03448275862068965
2017-12-31,quarter_equal,2012Q1,58,0.03456495828367104,0.03448275862068965
2017-12-31,quarter_equal,2012Q2,59,0.035160905840286055,0.034482758620689655
2017-12-31,quarter_equal,2012Q3,65,0.03873659117997616,0.034482758620689655
2017-12-31,quarter_equal,2012Q4,61,0.03635280095351609,0.03448275862068966
2017-12-31,quarter_equal,2013Q1,56,0.033373063170441,0.03448275862068965
2017-12-31,quarter_equal,2013Q2,57,0.03396901072705602,0.03448275862068964
2017-12-31,quarter_equal,2013Q3,64,0.03814064362336114,0.03448275862068964
2017-12-31,quarter_equal,2013Q4,61,0.03635280095351609,0.03448275862068966
2017-12-31,quarter_equal,2014Q1,58,0.03456495828367104,0.03448275862068965
2017-12-31,quarter_equal,2014Q2,61,0.03635280095351609,0.03448275862068966
2017-12-31,quarter_equal,2014Q3,65,0.03873659117997616,0.034482758620689655
2017-12-31,quarter_equal,2014Q4,61,0.03635280095351609,0.03448275862068966
2017-12-31,quarter_equal,2015Q1,48,0.028605482717520857,0.034482758620689655
2017-12-31,quarter_equal,2015Q3,4,0.0023837902264600714,0.03448275862068965
2017-12-31,quarter_equal,2015Q4,61,0.03635280095351609,0.03448275862068966
2017-12-31,quarter_equal,2016Q1,59,0.035160905840286055,0.034482758620689655
2017-12-31,quarter_equal,2016Q2,61,0.03635280095351609,0.03448275862068966
2017-12-31,quarter_equal,2016Q3,64,0.03814064362336114,0.03448275862068964
2017-12-31,quarter_equal,2016Q4,60,0.03575685339690107,0.03448275862068965
2017-12-31,quarter_equal,2017Q1,59,0.035160905840286055,0.034482758620689655
2017-12-31,quarter_equal,2017Q2,60,0.03575685339690107,0.03448275862068965
2017-12-31,quarter_equal,2017Q3,65,0.03873659117997616,0.034482758620689655
2017-12-31,quarter_equal,2017Q4,54,0.03218116805721097,0.034482758620689655
2017-12-31,recent3y,2015Q1,48,0.08067226890756303,0.08067226890756303
2017-12-31,recent3y,2015Q3,4,0.0067226890756302525,0.0067226890756302525
2017-12-31,recent3y,2015Q4,61,0.10252100840336134,0.10252100840336134
2017-12-31,recent3y,2016Q1,59,0.09915966386554621,0.09915966386554621
2017-12-31,recent3y,2016Q2,61,0.10252100840336134,0.10252100840336134
2017-12-31,recent3y,2016Q3,64,0.10756302521008404,0.10756302521008404
2017-12-31,recent3y,2016Q4,60,0.10084033613445378,0.10084033613445378
2017-12-31,recent3y,2017Q1,59,0.09915966386554621,0.09915966386554621
2017-12-31,recent3y,2017Q2,60,0.10084033613445378,0.10084033613445378
2017-12-31,recent3y,2017Q3,65,0.1092436974789916,0.1092436974789916
2017-12-31,recent3y,2017Q4,54,0.0907563025210084,0.0907563025210084
2018-12-31,full,2010Q3,52,0.02706923477355544,0.02706923477355544
2018-12-31,full,2010Q4,61,0.031754294638209266,0.031754294638209266
2018-12-31,full,2011Q1,58,0.03019260801665799,0.03019260801665799
2018-12-31,full,2011Q2,61,0.031754294638209266,0.031754294638209266
2018-12-31,full,2011Q3,65,0.0338365434669443,0.0338365434669443
2018-12-31,full,2011Q4,60,0.031233732431025507,0.031233732431025507
2018-12-31,full,2012Q1,58,0.03019260801665799,0.03019260801665799
2018-12-31,full,2012Q2,59,0.03071317022384175,0.03071317022384175
2018-12-31,full,2012Q3,65,0.0338365434669443,0.0338365434669443
2018-12-31,full,2012Q4,61,0.031754294638209266,0.031754294638209266
2018-12-31,full,2013Q1,56,0.029151483602290473,0.029151483602290473
2018-12-31,full,2013Q2,57,0.029672045809474232,0.029672045809474232
2018-12-31,full,2013Q3,64,0.03331598125976054,0.03331598125976054
2018-12-31,full,2013Q4,61,0.031754294638209266,0.031754294638209266
2018-12-31,full,2014Q1,58,0.03019260801665799,0.03019260801665799
2018-12-31,full,2014Q2,61,0.031754294638209266,0.031754294638209266
2018-12-31,full,2014Q3,65,0.0338365434669443,0.0338365434669443
2018-12-31,full,2014Q4,61,0.031754294638209266,0.031754294638209266
2018-12-31,full,2015Q1,48,0.024986985944820406,0.024986985944820406
2018-12-31,full,2015Q3,4,0.002082248828735034,0.002082248828735034
2018-12-31,full,2015Q4,61,0.031754294638209266,0.031754294638209266
2018-12-31,full,2016Q1,59,0.03071317022384175,0.03071317022384175
2018-12-31,full,2016Q2,61,0.031754294638209266,0.031754294638209266
2018-12-31,full,2016Q3,64,0.03331598125976054,0.03331598125976054
2018-12-31,full,2016Q4,60,0.031233732431025507,0.031233732431025507
2018-12-31,full,2017Q1,59,0.03071317022384175,0.03071317022384175
2018-12-31,full,2017Q2,60,0.031233732431025507,0.031233732431025507
2018-12-31,full,2017Q3,65,0.0338365434669443,0.0338365434669443
2018-12-31,full,2017Q4,60,0.031233732431025507,0.031233732431025507
2018-12-31,full,2018Q1,59,0.03071317022384175,0.03071317022384175
2018-12-31,full,2018Q2,60,0.031233732431025507,0.031233732431025507
2018-12-31,full,2018Q3,64,0.03331598125976054,0.03331598125976054
2018-12-31,full,2018Q4,54,0.028110359187922956,0.028110359187922956
2018-12-31,disjoint0,2010Q3,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint0,2010Q4,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2011Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint0,2011Q2,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2011Q3,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2011Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2012Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint0,2012Q2,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2012Q3,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2012Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2013Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint0,2013Q2,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint0,2013Q3,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2013Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2014Q1,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2014Q2,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint0,2014Q3,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2014Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2015Q1,8,0.025078369905956112,0.025078369905956112
2018-12-31,disjoint0,2015Q3,1,0.003134796238244514,0.003134796238244514
2018-12-31,disjoint0,2015Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2016Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint0,2016Q2,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2016Q3,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2016Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2017Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint0,2017Q2,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2017Q3,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2017Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2018Q1,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2018Q2,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint0,2018Q3,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint0,2018Q4,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2010Q3,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2010Q4,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2011Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2011Q2,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2011Q3,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2011Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2012Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2012Q2,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2012Q3,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2012Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2013Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2013Q2,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2013Q3,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2013Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2014Q1,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2014Q2,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2014Q3,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2014Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2015Q1,8,0.025078369905956112,0.025078369905956112
2018-12-31,disjoint1,2015Q3,1,0.003134796238244514,0.003134796238244514
2018-12-31,disjoint1,2015Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2016Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2016Q2,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2016Q3,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2016Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2017Q1,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint1,2017Q2,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2017Q3,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2017Q4,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2018Q1,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2018Q2,11,0.034482758620689655,0.034482758620689655
2018-12-31,disjoint1,2018Q3,10,0.03134796238244514,0.03134796238244514
2018-12-31,disjoint1,2018Q4,9,0.02821316614420063,0.02821316614420063
2018-12-31,disjoint2,2010Q3,8,0.025157232704402517,0.025157232704402517
2018-12-31,disjoint2,2010Q4,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2011Q1,9,0.02830188679245283,0.02830188679245283
2018-12-31,disjoint2,2011Q2,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2011Q3,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2011Q4,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2012Q1,9,0.02830188679245283,0.02830188679245283
2018-12-31,disjoint2,2012Q2,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2012Q3,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2012Q4,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2013Q1,9,0.02830188679245283,0.02830188679245283
2018-12-31,disjoint2,2013Q2,9,0.02830188679245283,0.02830188679245283
2018-12-31,disjoint2,2013Q3,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2013Q4,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2014Q1,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2014Q2,9,0.02830188679245283,0.02830188679245283
2018-12-31,disjoint2,2014Q3,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2014Q4,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2015Q1,8,0.025157232704402517,0.025157232704402517
2018-12-31,disjoint2,2015Q3,1,0.0031446540880503146,0.0031446540880503146
2018-12-31,disjoint2,2015Q4,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2016Q1,9,0.02830188679245283,0.02830188679245283
2018-12-31,disjoint2,2016Q2,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2016Q3,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2016Q4,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2017Q1,9,0.02830188679245283,0.02830188679245283
2018-12-31,disjoint2,2017Q2,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2017Q3,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2017Q4,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2018Q1,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2018Q2,11,0.03459119496855346,0.03459119496855346
2018-12-31,disjoint2,2018Q3,10,0.031446540880503145,0.031446540880503145
2018-12-31,disjoint2,2018Q4,9,0.02830188679245283,0.02830188679245283
2018-12-31,quarter_equal,2010Q3,52,0.02706923477355544,0.03030303030303031
2018-12-31,quarter_equal,2010Q4,61,0.031754294638209266,0.030303030303030293
2018-12-31,quarter_equal,2011Q1,58,0.03019260801665799,0.030303030303030307
2018-12-31,quarter_equal,2011Q2,61,0.031754294638209266,0.030303030303030293
2018-12-31,quarter_equal,2011Q3,65,0.0338365434669443,0.030303030303030304
2018-12-31,quarter_equal,2011Q4,60,0.031233732431025507,0.030303030303030314
2018-12-31,quarter_equal,2012Q1,58,0.03019260801665799,0.030303030303030307
2018-12-31,quarter_equal,2012Q2,59,0.03071317022384175,0.030303030303030307
2018-12-31,quarter_equal,2012Q3,65,0.0338365434669443,0.030303030303030304
2018-12-31,quarter_equal,2012Q4,61,0.031754294638209266,0.030303030303030293
2018-12-31,quarter_equal,2013Q1,56,0.029151483602290473,0.030303030303030307
2018-12-31,quarter_equal,2013Q2,57,0.029672045809474232,0.030303030303030304
2018-12-31,quarter_equal,2013Q3,64,0.03331598125976054,0.030303030303030304
2018-12-31,quarter_equal,2013Q4,61,0.031754294638209266,0.030303030303030293
2018-12-31,quarter_equal,2014Q1,58,0.03019260801665799,0.030303030303030307
2018-12-31,quarter_equal,2014Q2,61,0.031754294638209266,0.030303030303030293
2018-12-31,quarter_equal,2014Q3,65,0.0338365434669443,0.030303030303030304
2018-12-31,quarter_equal,2014Q4,61,0.031754294638209266,0.030303030303030293
2018-12-31,quarter_equal,2015Q1,48,0.024986985944820406,0.030303030303030307
2018-12-31,quarter_equal,2015Q3,4,0.002082248828735034,0.030303030303030307
2018-12-31,quarter_equal,2015Q4,61,0.031754294638209266,0.030303030303030293
2018-12-31,quarter_equal,2016Q1,59,0.03071317022384175,0.030303030303030307
2018-12-31,quarter_equal,2016Q2,61,0.031754294638209266,0.030303030303030293
2018-12-31,quarter_equal,2016Q3,64,0.03331598125976054,0.030303030303030304
2018-12-31,quarter_equal,2016Q4,60,0.031233732431025507,0.030303030303030314
2018-12-31,quarter_equal,2017Q1,59,0.03071317022384175,0.030303030303030307
2018-12-31,quarter_equal,2017Q2,60,0.031233732431025507,0.030303030303030314
2018-12-31,quarter_equal,2017Q3,65,0.0338365434669443,0.030303030303030304
2018-12-31,quarter_equal,2017Q4,60,0.031233732431025507,0.030303030303030314
2018-12-31,quarter_equal,2018Q1,59,0.03071317022384175,0.030303030303030307
2018-12-31,quarter_equal,2018Q2,60,0.031233732431025507,0.030303030303030314
2018-12-31,quarter_equal,2018Q3,64,0.03331598125976054,0.030303030303030304
2018-12-31,quarter_equal,2018Q4,54,0.028110359187922956,0.030303030303030297
2018-12-31,recent3y,2016Q1,59,0.08137931034482758,0.08137931034482758
2018-12-31,recent3y,2016Q2,61,0.08413793103448276,0.08413793103448276
2018-12-31,recent3y,2016Q3,64,0.08827586206896551,0.08827586206896551
2018-12-31,recent3y,2016Q4,60,0.08275862068965517,0.08275862068965517
2018-12-31,recent3y,2017Q1,59,0.08137931034482758,0.08137931034482758
2018-12-31,recent3y,2017Q2,60,0.08275862068965517,0.08275862068965517
2018-12-31,recent3y,2017Q3,65,0.0896551724137931,0.0896551724137931
2018-12-31,recent3y,2017Q4,60,0.08275862068965517,0.08275862068965517
2018-12-31,recent3y,2018Q1,59,0.08137931034482758,0.08137931034482758
2018-12-31,recent3y,2018Q2,60,0.08275862068965517,0.08275862068965517
2018-12-31,recent3y,2018Q3,64,0.08827586206896551,0.08827586206896551
2018-12-31,recent3y,2018Q4,54,0.07448275862068965,0.07448275862068965
2019-12-31,full,2010Q3,52,0.02401847575057737,0.02401847575057737
2019-12-31,full,2010Q4,61,0.02817551963048499,0.02817551963048499
2019-12-31,full,2011Q1,58,0.02678983833718245,0.02678983833718245
2019-12-31,full,2011Q2,61,0.02817551963048499,0.02817551963048499
2019-12-31,full,2011Q3,65,0.03002309468822171,0.03002309468822171
2019-12-31,full,2011Q4,60,0.02771362586605081,0.02771362586605081
2019-12-31,full,2012Q1,58,0.02678983833718245,0.02678983833718245
2019-12-31,full,2012Q2,59,0.02725173210161663,0.02725173210161663
2019-12-31,full,2012Q3,65,0.03002309468822171,0.03002309468822171
2019-12-31,full,2012Q4,61,0.02817551963048499,0.02817551963048499
2019-12-31,full,2013Q1,56,0.025866050808314087,0.025866050808314087
2019-12-31,full,2013Q2,57,0.026327944572748268,0.026327944572748268
2019-12-31,full,2013Q3,64,0.02956120092378753,0.02956120092378753
2019-12-31,full,2013Q4,61,0.02817551963048499,0.02817551963048499
2019-12-31,full,2014Q1,58,0.02678983833718245,0.02678983833718245
2019-12-31,full,2014Q2,61,0.02817551963048499,0.02817551963048499
2019-12-31,full,2014Q3,65,0.03002309468822171,0.03002309468822171
2019-12-31,full,2014Q4,61,0.02817551963048499,0.02817551963048499
2019-12-31,full,2015Q1,48,0.022170900692840646,0.022170900692840646
2019-12-31,full,2015Q3,4,0.0018475750577367205,0.0018475750577367205
2019-12-31,full,2015Q4,61,0.02817551963048499,0.02817551963048499
2019-12-31,full,2016Q1,59,0.02725173210161663,0.02725173210161663
2019-12-31,full,2016Q2,61,0.02817551963048499,0.02817551963048499
2019-12-31,full,2016Q3,64,0.02956120092378753,0.02956120092378753
2019-12-31,full,2016Q4,60,0.02771362586605081,0.02771362586605081
2019-12-31,full,2017Q1,59,0.02725173210161663,0.02725173210161663
2019-12-31,full,2017Q2,60,0.02771362586605081,0.02771362586605081
2019-12-31,full,2017Q3,65,0.03002309468822171,0.03002309468822171
2019-12-31,full,2017Q4,60,0.02771362586605081,0.02771362586605081
2019-12-31,full,2018Q1,59,0.02725173210161663,0.02725173210161663
2019-12-31,full,2018Q2,60,0.02771362586605081,0.02771362586605081
2019-12-31,full,2018Q3,64,0.02956120092378753,0.02956120092378753
2019-12-31,full,2018Q4,60,0.02771362586605081,0.02771362586605081
