run_id,cadence,method,state,first_cutoff,last_cutoff,decisions,total_validation_uses,unique_validation_weeks,repeated_uses,uses_per_unique_week,first_last_overlap
monthly:learned_market:negative_low:2022-10-31,monthly,learned_market,negative_low,2022-10-31,2022-11-30,2,10,5,5,2.0,5
monthly:learned_market:negative_low:2023-09-30,monthly,learned_market,negative_low,2023-09-30,2023-11-30,3,30,16,14,1.875,4
monthly:learned_market:negative_low:2024-03-31,monthly,learned_market,negative_low,2024-03-31,2024-03-31,1,7,7,0,1.0,7
monthly:learned_market:negative_low:2024-10-31,monthly,learned_market,negative_low,2024-10-31,2024-10-31,1,9,9,0,1.0,9
monthly:learned_market:negative_low:2025-04-30,monthly,learned_market,negative_low,2025-04-30,2025-04-30,1,6,6,0,1.0,6
monthly:learned_market:negative_low:2025-06-30,monthly,learned_market,negative_low,2025-06-30,2025-06-30,1,9,9,0,1.0,9
monthly:learned_market:negative_high:2022-05-31,monthly,learned_market,negative_high,2022-05-31,2022-06-30,2,24,14,10,1.7142857142857142,10
monthly:learned_market:negative_high:2022-11-30,monthly,learned_market,negative_high,2022-11-30,2022-11-30,1,6,6,0,1.0,6
monthly:learned_market:nonnegative_low:2024-05-31,monthly,learned_market,nonnegative_low,2024-05-31,2024-07-31,3,27,12,15,2.25,4
monthly:learned_market:nonnegative_low:2025-08-31,monthly,learned_market,nonnegative_low,2025-08-31,2025-08-31,1,8,8,0,1.0,8
monthly:learned_market:nonnegative_high:2025-10-31,monthly,learned_market,nonnegative_high,2025-10-31,2025-11-30,2,15,9,6,1.6666666666666667,6
monthly:learned_market:nonnegative_high:2026-06-30,monthly,learned_market,nonnegative_high,2026-06-30,2026-06-30,1,5,5,0,1.0,5
monthly:learned_vol_interaction:negative_low:2022-10-31,monthly,learned_vol_interaction,negative_low,2022-10-31,2022-11-30,2,10,5,5,2.0,5
monthly:learned_vol_interaction:negative_low:2023-09-30,monthly,learned_vol_interaction,negative_low,2023-09-30,2023-11-30,3,30,16,14,1.875,4
monthly:learned_vol_interaction:negative_low:2024-03-31,monthly,learned_vol_interaction,negative_low,2024-03-31,2024-03-31,1,7,7,0,1.0,7
monthly:learned_vol_interaction:negative_low:2024-07-31,monthly,learned_vol_interaction,negative_low,2024-07-31,2024-08-31,2,14,9,5,1.5555555555555556,5
monthly:learned_vol_interaction:negative_low:2024-10-31,monthly,learned_vol_interaction,negative_low,2024-10-31,2024-10-31,1,9,9,0,1.0,9
monthly:learned_vol_interaction:negative_low:2025-04-30,monthly,learned_vol_interaction,negative_low,2025-04-30,2025-04-30,1,6,6,0,1.0,6
monthly:learned_vol_interaction:negative_low:2025-06-30,monthly,learned_vol_interaction,negative_low,2025-06-30,2025-06-30,1,9,9,0,1.0,9
monthly:learned_vol_interaction:negative_high:2022-06-30,monthly,learned_vol_interaction,negative_high,2022-06-30,2022-06-30,1,12,12,0,1.0,12
monthly:learned_vol_interaction:negative_high:2022-11-30,monthly,learned_vol_interaction,negative_high,2022-11-30,2022-11-30,1,6,6,0,1.0,6
monthly:learned_vol_interaction:nonnegative_low:2024-05-31,monthly,learned_vol_interaction,nonnegative_low,2024-05-31,2024-07-31,3,27,12,15,2.25,4
monthly:learned_vol_interaction:nonnegative_low:2025-08-31,monthly,learned_vol_interaction,nonnegative_low,2025-08-31,2025-08-31,1,8,8,0,1.0,8
monthly:learned_vol_interaction:nonnegative_high:2025-10-31,monthly,learned_vol_interaction,nonnegative_high,2025-10-31,2025-11-30,2,15,9,6,1.6666666666666667,6
monthly:learned_vol_interaction:nonnegative_high:2026-06-30,monthly,learned_vol_interaction,nonnegative_high,2026-06-30,2026-07-31,2,13,8,5,1.625,5
monthly:learned_order_extension:negative_low:2022-10-31,monthly,learned_order_extension,negative_low,2022-10-31,2022-11-30,2,10,5,5,2.0,5
monthly:learned_order_extension:negative_low:2023-09-30,monthly,learned_order_extension,negative_low,2023-09-30,2023-11-30,3,30,16,14,1.875,4
monthly:learned_order_extension:negative_low:2024-03-31,monthly,learned_order_extension,negative_low,2024-03-31,2024-03-31,1,7,7,0,1.0,7
monthly:learned_order_extension:negative_low:2024-07-31,monthly,learned_order_extension,negative_low,2024-07-31,2024-11-30,5,41,14,27,2.9285714285714284,0
monthly:learned_order_extension:negative_low:2025-04-30,monthly,learned_order_extension,negative_low,2025-04-30,2025-06-30,3,23,13,10,1.7692307692307692,2
monthly:learned_order_extension:negative_high:2022-05-31,monthly,learned_order_extension,negative_high,2022-05-31,2022-06-30,2,24,14,10,1.7142857142857142,10
monthly:learned_order_extension:negative_high:2022-11-30,monthly,learned_order_extension,negative_high,2022-11-30,2022-11-30,1,6,6,0,1.0,6
monthly:learned_order_extension:nonnegative_low:2024-05-31,monthly,learned_order_extension,nonnegative_low,2024-05-31,2024-05-31,1,8,8,0,1.0,8
monthly:learned_order_extension:nonnegative_low:2024-07-31,monthly,learned_order_extension,nonnegative_low,2024-07-31,2024-07-31,1,8,8,0,1.0,8
monthly:learned_order_extension:nonnegative_low:2025-08-31,monthly,learned_order_extension,nonnegative_low,2025-08-31,2025-08-31,1,8,8,0,1.0,8
monthly:learned_order_extension:nonnegative_high:2025-10-31,monthly,learned_order_extension,nonnegative_high,2025-10-31,2025-11-30,2,15,9,6,1.6666666666666667,6
monthly:learned_order_offset:negative_low:2022-10-31,monthly,learned_order_offset,negative_low,2022-10-31,2022-11-30,2,10,5,5,2.0,5
monthly:learned_order_offset:negative_low:2023-09-30,monthly,learned_order_offset,negative_low,2023-09-30,2023-11-30,3,30,16,14,1.875,4
monthly:learned_order_offset:negative_low:2024-03-31,monthly,learned_order_offset,negative_low,2024-03-31,2024-03-31,1,7,7,0,1.0,7
monthly:learned_order_offset:negative_low:2024-07-31,monthly,learned_order_offset,negative_low,2024-07-31,2024-11-30,5,41,14,27,2.9285714285714284,0
monthly:learned_order_offset:negative_low:2025-04-30,monthly,learned_order_offset,negative_low,2025-04-30,2025-06-30,3,23,13,10,1.7692307692307692,2
monthly:learned_order_offset:negative_high:2022-05-31,monthly,learned_order_offset,negative_high,2022-05-31,2022-06-30,2,24,14,10,1.7142857142857142,10
monthly:learned_order_offset:negative_high:2022-11-30,monthly,learned_order_offset,negative_high,2022-11-30,2022-11-30,1,6,6,0,1.0,6
monthly:learned_order_offset:nonnegative_low:2024-05-31,monthly,learned_order_offset,nonnegative_low,2024-05-31,2024-05-31,1,8,8,0,1.0,8
monthly:learned_order_offset:nonnegative_low:2024-07-31,monthly,learned_order_offset,nonnegative_low,2024-07-31,2024-07-31,1,8,8,0,1.0,8
monthly:learned_order_offset:nonnegative_low:2025-08-31,monthly,learned_order_offset,nonnegative_low,2025-08-31,2025-08-31,1,8,8,0,1.0,8
monthly:learned_order_offset:nonnegative_high:2025-10-31,monthly,learned_order_offset,nonnegative_high,2025-10-31,2025-11-30,2,15,9,6,1.6666666666666667,6
quarterly:learned_market:negative_low:2023-09-30,quarterly,learned_market,negative_low,2023-09-30,2023-09-30,1,9,9,0,1.0,9
quarterly:learned_market:negative_low:2024-03-31,quarterly,learned_market,negative_low,2024-03-31,2024-03-31,1,7,7,0,1.0,7
quarterly:learned_market:negative_low:2025-06-30,quarterly,learned_market,negative_low,2025-06-30,2025-06-30,1,9,9,0,1.0,9
quarterly:learned_market:negative_high:2022-06-30,quarterly,learned_market,negative_high,2022-06-30,2022-06-30,1,12,12,0,1.0,12
quarterly:learned_market:nonnegative_low:2024-06-30,quarterly,learned_market,nonnegative_low,2024-06-30,2024-06-30,1,11,11,0,1.0,11
quarterly:learned_market:nonnegative_high:2026-06-30,quarterly,learned_market,nonnegative_high,2026-06-30,2026-06-30,1,5,5,0,1.0,5
quarterly:learned_vol_interaction:negative_low:2023-09-30,quarterly,learned_vol_interaction,negative_low,2023-09-30,2023-09-30,1,9,9,0,1.0,9
quarterly:learned_vol_interaction:negative_low:2024-03-31,quarterly,learned_vol_interaction,negative_low,2024-03-31,2024-03-31,1,7,7,0,1.0,7
quarterly:learned_vol_interaction:negative_low:2025-06-30,quarterly,learned_vol_interaction,negative_low,2025-06-30,2025-06-30,1,9,9,0,1.0,9
quarterly:learned_vol_interaction:negative_high:2022-06-30,quarterly,learned_vol_interaction,negative_high,2022-06-30,2022-06-30,1,12,12,0,1.0,12
quarterly:learned_vol_interaction:nonnegative_low:2024-06-30,quarterly,learned_vol_interaction,nonnegative_low,2024-06-30,2024-06-30,1,11,11,0,1.0,11
quarterly:learned_vol_interaction:nonnegative_high:2026-06-30,quarterly,learned_vol_interaction,nonnegative_high,2026-06-30,2026-06-30,1,5,5,0,1.0,5
quarterly:learned_order_extension:negative_low:2023-09-30,quarterly,learned_order_extension,negative_low,2023-09-30,2023-09-30,1,9,9,0,1.0,9
quarterly:learned_order_extension:negative_low:2024-03-31,quarterly,learned_order_extension,negative_low,2024-03-31,2024-03-31,1,7,7,0,1.0,7
quarterly:learned_order_extension:negative_low:2024-09-30,quarterly,learned_order_extension,negative_low,2024-09-30,2024-09-30,1,12,12,0,1.0,12
quarterly:learned_order_extension:negative_low:2025-06-30,quarterly,learned_order_extension,negative_low,2025-06-30,2025-06-30,1,9,9,0,1.0,9
quarterly:learned_order_extension:negative_high:2022-06-30,quarterly,learned_order_extension,negative_high,2022-06-30,2022-06-30,1,12,12,0,1.0,12
quarterly:learned_order_offset:negative_low:2023-09-30,quarterly,learned_order_offset,negative_low,2023-09-30,2023-09-30,1,9,9,0,1.0,9
quarterly:learned_order_offset:negative_low:2024-03-31,quarterly,learned_order_offset,negative_low,2024-03-31,2024-03-31,1,7,7,0,1.0,7
quarterly:learned_order_offset:negative_low:2024-09-30,quarterly,learned_order_offset,negative_low,2024-09-30,2024-09-30,1,12,12,0,1.0,12
quarterly:learned_order_offset:negative_low:2025-06-30,quarterly,learned_order_offset,negative_low,2025-06-30,2025-06-30,1,9,9,0,1.0,9
quarterly:learned_order_offset:negative_high:2022-06-30,quarterly,learned_order_offset,negative_high,2022-06-30,2022-06-30,1,12,12,0,1.0,12
