cutoff,fit_cutoff,mode,family,component,method,training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference,baseline_brier,candidate_brier
2021-02-28,2021-01-07,q1_guard,state,nonnegative_low,learned_order_offset,0,False,q1_guard,1,0,0,0.0,0.2503808361432783,0.2503808361432783
2021-02-28,2021-01-07,q1_guard,state,nonnegative_high,learned_order_offset,0,False,q1_guard,4,2,2,0.0,0.28406632790880554,0.28406632790880554
2021-03-31,2021-01-07,insufficient_history,state,negative_low,learned_market,0,False,insufficient_history,0,0,0,,,
2021-03-31,2021-01-07,insufficient_history,state,negative_high,learned_market,0,False,insufficient_history,1,1,1,0.0,0.1888567486965682,0.1888567486965682
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_low,learned_market,0,False,insufficient_history,1,0,0,0.0,0.25761014043989133,0.25761014043989133
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_high,learned_market,0,False,insufficient_history,8,5,5,0.0,0.24043329433083993,0.24043329433083993
2021-03-31,2021-01-07,insufficient_history,state,negative_low,learned_vol_interaction,0,False,insufficient_history,0,0,0,,,
2021-03-31,2021-01-07,insufficient_history,state,negative_high,learned_vol_interaction,0,False,insufficient_history,1,1,1,0.0,0.2113756286726855,0.2113756286726855
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_low,learned_vol_interaction,0,False,insufficient_history,1,0,0,0.0,0.2501109912841414,0.2501109912841414
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_high,learned_vol_interaction,0,False,insufficient_history,8,5,5,0.0,0.24182849382589997,0.24182849382589997
2021-03-31,2021-01-07,insufficient_history,state,negative_low,learned_order_extension,0,False,insufficient_history,0,0,0,,,
2021-03-31,2021-01-07,insufficient_history,state,negative_high,learned_order_extension,0,False,insufficient_history,1,1,1,0.0,0.2128116271215241,0.2128116271215241
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_low,learned_order_extension,0,False,insufficient_history,1,0,0,0.0,0.25063947261409936,0.25063947261409936
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_high,learned_order_extension,0,False,insufficient_history,8,5,5,0.0,0.24066085489056144,0.24066085489056144
2021-03-31,2021-01-07,insufficient_history,state,negative_low,learned_order_offset,0,False,insufficient_history,0,0,0,,,
2021-03-31,2021-01-07,insufficient_history,state,negative_high,learned_order_offset,0,False,insufficient_history,1,1,1,0.0,0.21314741494496772,0.21314741494496772
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_low,learned_order_offset,0,False,insufficient_history,1,0,0,0.0,0.2503808361432783,0.2503808361432783
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_high,learned_order_offset,0,False,insufficient_history,8,5,5,0.0,0.24067164526301482,0.24067164526301482
2021-04-30,2021-01-14,insufficient_history,state,negative_low,learned_market,0,False,insufficient_history,0,0,0,,,
2021-04-30,2021-01-14,insufficient_history,state,negative_high,learned_market,0,False,insufficient_history,4,2,2,0.0,0.27500300434579167,0.27500300434579167
2021-04-30,2021-01-14,insufficient_history,state,nonnegative_low,learned_market,0,False,insufficient_history,0,0,0,,,
2021-04-30,2021-01-14,insufficient_history,state,nonnegative_high,learned_market,0,False,insufficient_history,9,6,6,0.0,0.23564565874579438,0.23564565874579438
2021-04-30,2021-01-14,insufficient_history,state,negative_low,learned_vol_interaction,0,False,insufficient_history,0,0,0,,,
2021-04-30,2021-01-14,insufficient_history,state,negative_high,learned_vol_interaction,0,False,insufficient_history,4,2,2,0.0,0.29033998110507797,0.29033998110507797
2021-04-30,2021-01-14,insufficient_history,state,nonnegative_low,learned_vol_interaction,0,False,insufficient_history,0,0,0,,,
2021-04-30,2021-01-14,insufficient_history,state,nonnegative_high,learned_vol_interaction,0,False,insufficient_history,9,6,6,0.0,0.23795452397550473,0.23795452397550473
2021-04-30,2021-01-14,insufficient_history,state,negative_low,learned_order_extension,0,False,insufficient_history,0,0,0,,,
2021-04-30,2021-01-14,insufficient_history,state,negative_high,learned_order_extension,0,False,insufficient_history,4,2,2,0.0,0.2906865473621238,0.2906865473621238
2021-04-30,2021-01-14,insufficient_history,state,nonnegative_low,learned_order_extension,0,False,insufficient_history,0,0,0,,,
2021-04-30,2021-01-14,insufficient_history,state,nonnegative_high,learned_order_extension,0,False,insufficient_history,9,6,6,0.0,0.23699489827152975,0.23699489827152975
2021-04-30,2021-01-14,insufficient_history,state,negative_low,learned_order_offset,0,False,insufficient_history,0,0,0,,,
2021-04-30,2021-01-14,insufficient_history,state,negative_high,learned_order_offset,0,False,insufficient_history,4,2,2,0.0,0.2905662307523227,0.2905662307523227
2021-04-30,2021-01-14,insufficient_history,state,nonnegative_low,learned_order_offset,0,False,insufficient_history,0,0,0,,,
2021-04-30,2021-01-14,insufficient_history,state,nonnegative_high,learned_order_offset,0,False,insufficient_history,9,6,6,0.0,0.23705212015579388,0.23705212015579388
2021-05-31,2021-02-25,insufficient_history,state,negative_low,learned_market,0,False,insufficient_history,2,1,1,0.0,0.2691851768587446,0.2691851768587446
2021-05-31,2021-02-25,insufficient_history,state,negative_high,learned_market,0,False,insufficient_history,7,4,4,0.0,0.2603051070628237,0.2603051070628237
2021-05-31,2021-02-25,insufficient_history,state,nonnegative_low,learned_market,1,False,insufficient_history,0,0,0,,,
2021-05-31,2021-02-25,insufficient_history,state,nonnegative_high,learned_market,4,False,insufficient_history,4,4,4,0.0,0.19804229122070677,0.19804229122070677
2021-05-31,2021-02-25,insufficient_history,state,negative_low,learned_vol_interaction,0,False,insufficient_history,2,1,1,0.0,0.2685823493179599,0.2685823493179599
2021-05-31,2021-02-25,insufficient_history,state,negative_high,learned_vol_interaction,0,False,insufficient_history,7,4,4,0.0,0.2692562867816961,0.2692562867816961
2021-05-31,2021-02-25,insufficient_history,state,nonnegative_low,learned_vol_interaction,1,False,insufficient_history,0,0,0,,,
2021-05-31,2021-02-25,insufficient_history,state,nonnegative_high,learned_vol_interaction,4,False,insufficient_history,4,3,3,0.0,0.20464212751137406,0.20464212751137406
2021-05-31,2021-02-25,insufficient_history,state,negative_low,learned_order_extension,0,False,insufficient_history,2,1,1,0.0,0.27468706967366785,0.27468706967366785
2021-05-31,2021-02-25,insufficient_history,state,negative_high,learned_order_extension,0,False,insufficient_history,7,4,4,0.0,0.26977471432271194,0.26977471432271194
2021-05-31,2021-02-25,insufficient_history,state,nonnegative_low,learned_order_extension,1,False,insufficient_history,0,0,0,,,
2021-05-31,2021-02-25,insufficient_history,state,nonnegative_high,learned_order_extension,4,False,insufficient_history,4,3,3,0.0,0.20409772949341007,0.20409772949341007
2021-05-31,2021-02-25,insufficient_history,state,negative_low,learned_order_offset,0,False,insufficient_history,2,1,1,0.0,0.2745802354719388,0.2745802354719388
2021-05-31,2021-02-25,insufficient_history,state,negative_high,learned_order_offset,0,False,insufficient_history,7,4,4,0.0,0.26966825965398455,0.26966825965398455
2021-05-31,2021-02-25,insufficient_history,state,nonnegative_low,learned_order_offset,1,False,insufficient_history,0,0,0,,,
2021-05-31,2021-02-25,insufficient_history,state,nonnegative_high,learned_order_offset,4,False,insufficient_history,4,3,3,0.0,0.20407300478474413,0.20407300478474413
2021-06-30,2021-03-25,insufficient_history,state,negative_low,learned_market,0,False,insufficient_history,2,1,1,0.0,0.2691851768587446,0.2691851768587446
2021-06-30,2021-03-25,insufficient_history,state,negative_high,learned_market,0,False,insufficient_history,7,3,3,0.0,0.2765310522815377,0.2765310522815377
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_low,learned_market,1,False,insufficient_history,2,1,1,0.0,0.2467165264255692,0.2467165264255692
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_high,learned_market,8,False,insufficient_history,2,2,2,0.0,0.18716988583409466,0.18716988583409466
2021-06-30,2021-03-25,insufficient_history,state,negative_low,learned_vol_interaction,0,False,insufficient_history,2,1,1,0.0,0.2685823493179599,0.2685823493179599
2021-06-30,2021-03-25,insufficient_history,state,negative_high,learned_vol_interaction,0,False,insufficient_history,7,3,3,0.0,0.282214111092088,0.282214111092088
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_low,learned_vol_interaction,1,False,insufficient_history,2,1,1,0.0,0.248186237372323,0.248186237372323
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_high,learned_vol_interaction,8,False,insufficient_history,2,2,2,0.0,0.18821112479466193,0.18821112479466193
2021-06-30,2021-03-25,insufficient_history,state,negative_low,learned_order_extension,0,False,insufficient_history,2,1,1,0.0,0.27468706967366785,0.27468706967366785
2021-06-30,2021-03-25,insufficient_history,state,negative_high,learned_order_extension,0,False,insufficient_history,7,3,3,0.0,0.28251495051233355,0.28251495051233355
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_low,learned_order_extension,1,False,insufficient_history,2,1,1,0.0,0.2495202528707855,0.2495202528707855
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_high,learned_order_extension,8,False,insufficient_history,2,2,2,0.0,0.18324025863518156,0.18324025863518156
2021-06-30,2021-03-25,insufficient_history,state,negative_low,learned_order_offset,0,False,insufficient_history,2,1,1,0.0,0.2745802354719388,0.2745802354719388
2021-06-30,2021-03-25,insufficient_history,state,negative_high,learned_order_offset,0,False,insufficient_history,7,3,3,0.0,0.28228019261931536,0.28228019261931536
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_low,learned_order_offset,1,False,insufficient_history,2,1,1,0.0,0.24959964160864662,0.24959964160864662
2021-06-30,2021-03-25,insufficient_history,state,nonnegative_high,learned_order_offset,8,False,insufficient_history,2,2,2,0.0,0.18363902280304745,0.18363902280304745
2021-07-31,2021-04-22,insufficient_history,state,negative_low,learned_market,0,False,insufficient_history,2,1,1,0.0,0.2691851768587446,0.2691851768587446
2021-07-31,2021-04-22,insufficient_history,state,negative_high,learned_market,3,False,insufficient_history,5,2,2,0.0,0.2637763235309556,0.2637763235309556
2021-07-31,2021-04-22,insufficient_history,state,nonnegative_low,learned_market,1,False,insufficient_history,3,2,2,0.0,0.21190383096975698,0.21190383096975698
2021-07-31,2021-04-22,insufficient_history,state,nonnegative_high,learned_market,9,False,insufficient_history,3,3,3,0.0,0.1693265943426696,0.1693265943426696
2021-07-31,2021-04-22,insufficient_history,state,negative_low,learned_vol_interaction,0,False,insufficient_history,2,1,1,0.0,0.2685823493179599,0.2685823493179599
2021-07-31,2021-04-22,insufficient_history,state,negative_high,learned_vol_interaction,3,False,insufficient_history,5,2,2,0.0,0.266092935895352,0.266092935895352
2021-07-31,2021-04-22,insufficient_history,state,nonnegative_low,learned_vol_interaction,1,False,insufficient_history,3,2,2,0.0,0.20871332671590545,0.20871332671590545
2021-07-31,2021-04-22,insufficient_history,state,nonnegative_high,learned_vol_interaction,9,False,insufficient_history,3,3,3,0.0,0.1599171038788985,0.1599171038788985
2021-07-31,2021-04-22,insufficient_history,state,negative_low,learned_order_extension,0,False,insufficient_history,2,1,1,0.0,0.27468706967366785,0.27468706967366785
2021-07-31,2021-04-22,insufficient_history,state,negative_high,learned_order_extension,3,False,insufficient_history,5,2,2,0.0,0.2682125495453928,0.2682125495453928
2021-07-31,2021-04-22,insufficient_history,state,nonnegative_low,learned_order_extension,1,False,insufficient_history,3,2,2,0.0,0.2067795895532353,0.2067795895532353
2021-07-31,2021-04-22,insufficient_history,state,nonnegative_high,learned_order_extension,9,False,insufficient_history,3,3,3,0.0,0.13971204033596266,0.13971204033596266
2021-07-31,2021-04-22,insufficient_history,state,negative_low,learned_order_offset,0,False,insufficient_history,2,1,1,0.0,0.2745802354719388,0.2745802354719388
2021-07-31,2021-04-22,insufficient_history,state,negative_high,learned_order_offset,3,False,insufficient_history,5,2,2,0.0,0.26793511522706925,0.26793511522706925
2021-07-31,2021-04-22,insufficient_history,state,nonnegative_low,learned_order_offset,1,False,insufficient_history,3,2,2,0.0,0.2069820022637903,0.2069820022637903
2021-07-31,2021-04-22,insufficient_history,state,nonnegative_high,learned_order_offset,9,False,insufficient_history,3,3,3,0.0,0.13997665822197106,0.13997665822197106
2021-08-31,2021-05-27,insufficient_history,state,negative_low,learned_market,1,False,insufficient_history,0,0,0,,,
2021-08-31,2021-05-27,insufficient_history,state,negative_high,learned_market,7,False,insufficient_history,6,3,3,0.0,0.2717383003760475,0.2717383003760475
2021-08-31,2021-05-27,insufficient_history,state,nonnegative_low,learned_market,1,False,insufficient_history,3,2,2,0.0,0.21190383096975698,0.21190383096975698
2021-08-31,2021-05-27,insufficient_history,state,nonnegative_high,learned_market,9,False,insufficient_history,4,4,4,0.0,0.18439641286431613,0.18439641286431613
2021-08-31,2021-05-27,insufficient_history,state,negative_low,learned_vol_interaction,1,False,insufficient_history,0,0,0,,,
2021-08-31,2021-05-27,insufficient_history,state,negative_high,learned_vol_interaction,7,False,insufficient_history,6,3,3,0.0,0.27438249127082504,0.27438249127082504
