cadence,cutoff,method,state,mode,training_n,validation_n,accepted,reason,brier_difference,correct_difference,baseline_correct,candidate_correct,metric_eligible
monthly,2020-12-31,learned_market,negative_low,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_market,negative_high,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_market,nonnegative_low,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_market,nonnegative_high,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_vol_interaction,negative_low,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_vol_interaction,negative_high,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_vol_interaction,nonnegative_low,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_vol_interaction,nonnegative_high,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_order_extension,negative_low,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_order_extension,negative_high,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_order_extension,nonnegative_low,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_order_extension,nonnegative_high,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_order_offset,negative_low,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_order_offset,negative_high,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_order_offset,nonnegative_low,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2020-12-31,learned_order_offset,nonnegative_high,annual_reset,0,0,False,annual_reset,,0,0,0,False
monthly,2021-01-31,learned_market,negative_low,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-01-31,learned_market,negative_high,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-01-31,learned_market,nonnegative_low,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-01-31,learned_market,nonnegative_high,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-01-31,learned_vol_interaction,negative_low,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-01-31,learned_vol_interaction,negative_high,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-01-31,learned_vol_interaction,nonnegative_low,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-01-31,learned_vol_interaction,nonnegative_high,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-01-31,learned_order_extension,negative_low,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-01-31,learned_order_extension,negative_high,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-01-31,learned_order_extension,nonnegative_low,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-01-31,learned_order_extension,nonnegative_high,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-01-31,learned_order_offset,negative_low,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-01-31,learned_order_offset,negative_high,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-01-31,learned_order_offset,nonnegative_low,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-01-31,learned_order_offset,nonnegative_high,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-02-28,learned_market,negative_low,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-02-28,learned_market,negative_high,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-02-28,learned_market,nonnegative_low,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-02-28,learned_market,nonnegative_high,q1_guard,0,4,False,q1_guard,0.0,0,1,1,False
monthly,2021-02-28,learned_vol_interaction,negative_low,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-02-28,learned_vol_interaction,negative_high,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-02-28,learned_vol_interaction,nonnegative_low,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-02-28,learned_vol_interaction,nonnegative_high,q1_guard,0,4,False,q1_guard,0.0,0,2,2,False
monthly,2021-02-28,learned_order_extension,negative_low,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-02-28,learned_order_extension,negative_high,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-02-28,learned_order_extension,nonnegative_low,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-02-28,learned_order_extension,nonnegative_high,q1_guard,0,4,False,q1_guard,0.0,0,2,2,False
monthly,2021-02-28,learned_order_offset,negative_low,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-02-28,learned_order_offset,negative_high,q1_guard,0,0,False,q1_guard,,0,0,0,False
monthly,2021-02-28,learned_order_offset,nonnegative_low,q1_guard,0,1,False,q1_guard,0.0,0,0,0,False
monthly,2021-02-28,learned_order_offset,nonnegative_high,q1_guard,0,4,False,q1_guard,0.0,0,2,2,False
monthly,2021-03-31,learned_market,negative_low,insufficient_history,0,0,False,insufficient_history,,0,0,0,False
monthly,2021-03-31,learned_market,negative_high,insufficient_history,0,1,False,insufficient_history,0.0,0,1,1,False
monthly,2021-03-31,learned_market,nonnegative_low,insufficient_history,0,1,False,insufficient_history,0.0,0,0,0,False
monthly,2021-03-31,learned_market,nonnegative_high,insufficient_history,0,8,False,insufficient_history,0.0,0,5,5,False
monthly,2021-03-31,learned_vol_interaction,negative_low,insufficient_history,0,0,False,insufficient_history,,0,0,0,False
monthly,2021-03-31,learned_vol_interaction,negative_high,insufficient_history,0,1,False,insufficient_history,0.0,0,1,1,False
monthly,2021-03-31,learned_vol_interaction,nonnegative_low,insufficient_history,0,1,False,insufficient_history,0.0,0,0,0,False
monthly,2021-03-31,learned_vol_interaction,nonnegative_high,insufficient_history,0,8,False,insufficient_history,0.0,0,5,5,False
monthly,2021-03-31,learned_order_extension,negative_low,insufficient_history,0,0,False,insufficient_history,,0,0,0,False
monthly,2021-03-31,learned_order_extension,negative_high,insufficient_history,0,1,False,insufficient_history,0.0,0,1,1,False
monthly,2021-03-31,learned_order_extension,nonnegative_low,insufficient_history,0,1,False,insufficient_history,0.0,0,0,0,False
monthly,2021-03-31,learned_order_extension,nonnegative_high,insufficient_history,0,8,False,insufficient_history,0.0,0,5,5,False
monthly,2021-03-31,learned_order_offset,negative_low,insufficient_history,0,0,False,insufficient_history,,0,0,0,False
monthly,2021-03-31,learned_order_offset,negative_high,insufficient_history,0,1,False,insufficient_history,0.0,0,1,1,False
monthly,2021-03-31,learned_order_offset,nonnegative_low,insufficient_history,0,1,False,insufficient_history,0.0,0,0,0,False
