cutoff,method,family,component,accepted,history,n,brier_difference,regressions,recoveries
2021-09-30,learned_order_extension,global,all,False,weekly_global_validated,13,0.0,0,0
2021-09-30,learned_order_extension,global,all,False,weekly_global_ungated,13,0.0,0,0
2021-09-30,learned_order_offset,state,negative_low,False,weekly_state_validated,7,0.0,0,0
2021-09-30,learned_order_offset,state,negative_low,False,weekly_state_ungated,7,0.0,0,0
2021-09-30,learned_order_offset,state,negative_high,False,weekly_state_validated,0,,0,0
2021-09-30,learned_order_offset,state,negative_high,False,weekly_state_ungated,0,,0,0
2021-09-30,learned_order_offset,state,nonnegative_low,False,weekly_state_validated,6,0.0,0,0
2021-09-30,learned_order_offset,state,nonnegative_low,False,weekly_state_ungated,6,0.0,0,0
2021-09-30,learned_order_offset,state,nonnegative_high,False,weekly_state_validated,0,,0,0
2021-09-30,learned_order_offset,state,nonnegative_high,False,weekly_state_ungated,0,,0,0
2021-09-30,learned_order_offset,global,all,False,weekly_global_validated,13,0.0,0,0
2021-09-30,learned_order_offset,global,all,False,weekly_global_ungated,13,0.0,0,0
2021-12-31,learned_market,state,negative_low,False,weekly_state_validated,4,0.0,0,0
2021-12-31,learned_market,state,negative_low,False,weekly_state_ungated,4,0.0,0,0
2021-12-31,learned_market,state,negative_high,False,weekly_state_validated,7,0.0,0,0
2021-12-31,learned_market,state,negative_high,False,weekly_state_ungated,7,0.0,0,0
2021-12-31,learned_market,state,nonnegative_low,False,weekly_state_validated,0,,0,0
2021-12-31,learned_market,state,nonnegative_low,False,weekly_state_ungated,0,,0,0
2021-12-31,learned_market,state,nonnegative_high,False,weekly_state_validated,0,,0,0
2021-12-31,learned_market,state,nonnegative_high,False,weekly_state_ungated,0,,0,0
2021-12-31,learned_market,global,all,False,weekly_global_validated,11,0.0,0,0
2021-12-31,learned_market,global,all,False,weekly_global_ungated,11,0.0,0,0
2021-12-31,learned_vol_interaction,state,negative_low,False,weekly_state_validated,4,0.0,0,0
2021-12-31,learned_vol_interaction,state,negative_low,False,weekly_state_ungated,4,0.0,0,0
2021-12-31,learned_vol_interaction,state,negative_high,False,weekly_state_validated,7,0.0,0,0
2021-12-31,learned_vol_interaction,state,negative_high,False,weekly_state_ungated,7,0.0,0,0
2021-12-31,learned_vol_interaction,state,nonnegative_low,False,weekly_state_validated,0,,0,0
2021-12-31,learned_vol_interaction,state,nonnegative_low,False,weekly_state_ungated,0,,0,0
2021-12-31,learned_vol_interaction,state,nonnegative_high,False,weekly_state_validated,0,,0,0
2021-12-31,learned_vol_interaction,state,nonnegative_high,False,weekly_state_ungated,0,,0,0
2021-12-31,learned_vol_interaction,global,all,False,weekly_global_validated,11,0.0,0,0
2021-12-31,learned_vol_interaction,global,all,False,weekly_global_ungated,11,0.0,0,0
2021-12-31,learned_order_extension,state,negative_low,False,weekly_state_validated,4,0.0,0,0
2021-12-31,learned_order_extension,state,negative_low,False,weekly_state_ungated,4,0.0,0,0
