cutoff,role,used,row_index,date,joint_completed
2021-03-31,validation,False,2418,2021-01-08,2021-01-18
2021-03-31,validation,False,2423,2021-01-15,2021-01-25
2021-03-31,validation,False,2428,2021-01-22,2021-02-01
2021-03-31,validation,False,2433,2021-01-29,2021-02-08
2021-03-31,validation,False,2438,2021-02-05,2021-02-22
2021-03-31,validation,False,2443,2021-02-19,2021-03-01
2021-03-31,validation,False,2448,2021-02-26,2021-03-08
2021-03-31,validation,False,2453,2021-03-05,2021-03-15
2021-03-31,validation,False,2458,2021-03-12,2021-03-22
2021-03-31,validation,False,2463,2021-03-19,2021-03-29
2021-06-30,training,False,2418,2021-01-08,2021-01-18
2021-06-30,training,False,2423,2021-01-15,2021-01-25
2021-06-30,training,False,2428,2021-01-22,2021-02-01
2021-06-30,training,False,2433,2021-01-29,2021-02-08
2021-06-30,training,False,2438,2021-02-05,2021-02-22
2021-06-30,training,False,2443,2021-02-19,2021-03-01
2021-06-30,training,False,2448,2021-02-26,2021-03-08
2021-06-30,training,False,2453,2021-03-05,2021-03-15
2021-06-30,training,False,2458,2021-03-12,2021-03-22
2021-06-30,validation,False,2468,2021-03-26,2021-04-06
2021-06-30,validation,False,2473,2021-04-02,2021-04-12
2021-06-30,validation,False,2477,2021-04-09,2021-04-19
2021-06-30,validation,False,2482,2021-04-16,2021-04-26
2021-06-30,validation,False,2487,2021-04-23,2021-05-06
2021-06-30,validation,False,2492,2021-04-30,2021-05-12
2021-06-30,validation,False,2494,2021-05-07,2021-05-17
2021-06-30,validation,False,2499,2021-05-14,2021-05-24
2021-06-30,validation,False,2504,2021-05-21,2021-05-31
2021-06-30,validation,False,2509,2021-05-28,2021-06-07
2021-06-30,validation,False,2514,2021-06-04,2021-06-15
2021-06-30,validation,False,2519,2021-06-11,2021-06-21
2021-06-30,validation,False,2523,2021-06-18,2021-06-28
2021-09-30,training,False,2418,2021-01-08,2021-01-18
2021-09-30,training,False,2423,2021-01-15,2021-01-25
2021-09-30,training,False,2428,2021-01-22,2021-02-01
2021-09-30,training,False,2433,2021-01-29,2021-02-08
2021-09-30,training,False,2438,2021-02-05,2021-02-22
2021-09-30,training,False,2443,2021-02-19,2021-03-01
2021-09-30,training,False,2448,2021-02-26,2021-03-08
2021-09-30,training,False,2453,2021-03-05,2021-03-15
2021-09-30,training,False,2458,2021-03-12,2021-03-22
2021-09-30,training,False,2463,2021-03-19,2021-03-29
2021-09-30,training,False,2468,2021-03-26,2021-04-06
2021-09-30,training,False,2473,2021-04-02,2021-04-12
2021-09-30,training,False,2477,2021-04-09,2021-04-19
2021-09-30,training,False,2482,2021-04-16,2021-04-26
2021-09-30,training,False,2487,2021-04-23,2021-05-06
2021-09-30,training,False,2492,2021-04-30,2021-05-12
2021-09-30,training,False,2494,2021-05-07,2021-05-17
2021-09-30,training,False,2499,2021-05-14,2021-05-24
2021-09-30,training,False,2504,2021-05-21,2021-05-31
2021-09-30,training,False,2509,2021-05-28,2021-06-07
2021-09-30,training,False,2514,2021-06-04,2021-06-15
2021-09-30,training,False,2519,2021-06-11,2021-06-21
2021-09-30,validation,False,2528,2021-06-25,2021-07-05
2021-09-30,validation,False,2533,2021-07-02,2021-07-12
2021-09-30,validation,False,2538,2021-07-09,2021-07-19
2021-09-30,validation,False,2543,2021-07-16,2021-07-26
2021-09-30,validation,False,2548,2021-07-23,2021-08-02
2021-09-30,validation,False,2553,2021-07-30,2021-08-09
2021-09-30,validation,False,2558,2021-08-06,2021-08-16
2021-09-30,validation,False,2563,2021-08-13,2021-08-23
2021-09-30,validation,False,2568,2021-08-20,2021-08-30
2021-09-30,validation,False,2573,2021-08-27,2021-09-06
2021-09-30,validation,False,2578,2021-09-03,2021-09-13
2021-09-30,validation,False,2583,2021-09-10,2021-09-22
2021-09-30,validation,False,2588,2021-09-17,2021-09-28
2021-12-31,training,False,2418,2021-01-08,2021-01-18
2021-12-31,training,False,2423,2021-01-15,2021-01-25
2021-12-31,training,False,2428,2021-01-22,2021-02-01
2021-12-31,training,False,2433,2021-01-29,2021-02-08
2021-12-31,training,False,2438,2021-02-05,2021-02-22
2021-12-31,training,False,2443,2021-02-19,2021-03-01
2021-12-31,training,False,2448,2021-02-26,2021-03-08
2021-12-31,training,False,2453,2021-03-05,2021-03-15
2021-12-31,training,False,2458,2021-03-12,2021-03-22
2021-12-31,training,False,2463,2021-03-19,2021-03-29
2021-12-31,training,False,2468,2021-03-26,2021-04-06
2021-12-31,training,False,2473,2021-04-02,2021-04-12
2021-12-31,training,False,2477,2021-04-09,2021-04-19
2021-12-31,training,False,2482,2021-04-16,2021-04-26
2021-12-31,training,False,2487,2021-04-23,2021-05-06
2021-12-31,training,False,2492,2021-04-30,2021-05-12
2021-12-31,training,False,2494,2021-05-07,2021-05-17
2021-12-31,training,False,2499,2021-05-14,2021-05-24
2021-12-31,training,False,2504,2021-05-21,2021-05-31
2021-12-31,training,False,2509,2021-05-28,2021-06-07
2021-12-31,training,False,2514,2021-06-04,2021-06-15
2021-12-31,training,False,2519,2021-06-11,2021-06-21
2021-12-31,training,False,2523,2021-06-18,2021-06-28
2021-12-31,training,False,2528,2021-06-25,2021-07-05
2021-12-31,training,False,2533,2021-07-02,2021-07-12
2021-12-31,training,False,2538,2021-07-09,2021-07-19
2021-12-31,training,False,2543,2021-07-16,2021-07-26
2021-12-31,training,False,2548,2021-07-23,2021-08-02
2021-12-31,training,False,2553,2021-07-30,2021-08-09
2021-12-31,training,False,2558,2021-08-06,2021-08-16
2021-12-31,training,False,2563,2021-08-13,2021-08-23
2021-12-31,training,False,2568,2021-08-20,2021-08-30
2021-12-31,training,False,2573,2021-08-27,2021-09-06
2021-12-31,training,False,2578,2021-09-03,2021-09-13
2021-12-31,validation,False,2588,2021-09-17,2021-09-28
2021-12-31,validation,False,2591,2021-09-24,2021-10-11
2021-12-31,validation,False,2596,2021-10-08,2021-10-18
2021-12-31,validation,False,2601,2021-10-15,2021-10-25
2021-12-31,validation,False,2606,2021-10-22,2021-11-01
2021-12-31,validation,False,2611,2021-10-29,2021-11-08
2021-12-31,validation,False,2616,2021-11-05,2021-11-15
2021-12-31,validation,False,2621,2021-11-12,2021-11-22
2021-12-31,validation,False,2626,2021-11-19,2021-11-29
2021-12-31,validation,False,2631,2021-11-26,2021-12-06
2021-12-31,validation,False,2636,2021-12-03,2021-12-13
2021-12-31,validation,False,2641,2021-12-10,2021-12-20
2021-12-31,validation,False,2646,2021-12-17,2021-12-27
2022-03-31,training,False,2418,2021-01-08,2021-01-18
2022-03-31,training,False,2423,2021-01-15,2021-01-25
2022-03-31,training,False,2428,2021-01-22,2021-02-01
2022-03-31,training,False,2433,2021-01-29,2021-02-08
2022-03-31,training,False,2438,2021-02-05,2021-02-22
2022-03-31,training,False,2443,2021-02-19,2021-03-01
2022-03-31,training,False,2448,2021-02-26,2021-03-08
2022-03-31,training,False,2453,2021-03-05,2021-03-15
2022-03-31,training,False,2458,2021-03-12,2021-03-22
2022-03-31,training,False,2463,2021-03-19,2021-03-29
2022-03-31,training,False,2468,2021-03-26,2021-04-06
2022-03-31,training,False,2473,2021-04-02,2021-04-12
2022-03-31,training,False,2477,2021-04-09,2021-04-19
2022-03-31,training,False,2482,2021-04-16,2021-04-26
2022-03-31,training,False,2487,2021-04-23,2021-05-06
2022-03-31,training,False,2492,2021-04-30,2021-05-12
2022-03-31,training,False,2494,2021-05-07,2021-05-17
2022-03-31,training,False,2499,2021-05-14,2021-05-24
2022-03-31,training,False,2504,2021-05-21,2021-05-31
2022-03-31,training,False,2509,2021-05-28,2021-06-07
2022-03-31,training,False,2514,2021-06-04,2021-06-15
2022-03-31,training,False,2519,2021-06-11,2021-06-21
2022-03-31,training,False,2523,2021-06-18,2021-06-28
2022-03-31,training,False,2528,2021-06-25,2021-07-05
2022-03-31,training,False,2533,2021-07-02,2021-07-12
2022-03-31,training,False,2538,2021-07-09,2021-07-19
2022-03-31,training,False,2543,2021-07-16,2021-07-26
2022-03-31,training,False,2548,2021-07-23,2021-08-02
2022-03-31,training,False,2553,2021-07-30,2021-08-09
2022-03-31,training,False,2558,2021-08-06,2021-08-16
2022-03-31,training,False,2563,2021-08-13,2021-08-23
2022-03-31,training,False,2568,2021-08-20,2021-08-30
2022-03-31,training,False,2573,2021-08-27,2021-09-06
2022-03-31,training,False,2578,2021-09-03,2021-09-13
2022-03-31,training,False,2583,2021-09-10,2021-09-22
2022-03-31,training,False,2588,2021-09-17,2021-09-28
2022-03-31,training,False,2591,2021-09-24,2021-10-11
2022-03-31,training,False,2596,2021-10-08,2021-10-18
2022-03-31,training,False,2601,2021-10-15,2021-10-25
2022-03-31,training,False,2606,2021-10-22,2021-11-01
2022-03-31,training,False,2611,2021-10-29,2021-11-08
2022-03-31,training,False,2616,2021-11-05,2021-11-15
2022-03-31,training,False,2621,2021-11-12,2021-11-22
2022-03-31,training,False,2626,2021-11-19,2021-11-29
2022-03-31,training,False,2631,2021-11-26,2021-12-06
2022-03-31,training,False,2636,2021-12-03,2021-12-13
2022-03-31,validation,False,2646,2021-12-17,2021-12-27
