cadence,cutoff,method,state,mode,training_n,validation_n,accepted,reason,brier_difference,correct_difference,baseline_correct,candidate_correct,metric_eligible,loo_n,metric_flip_count,full_flip_count,minimum_support_boundary,sensitivity_class,helpful_brier_weeks,harmful_brier_weeks,largest_helpful_share,future_n,future_brier_vs_annual,future_recoveries,future_regressions
monthly,2021-07-31,learned_order_extension,nonnegative_high,insufficient_history,9,3,False,insufficient_history,0.0,0,3,3,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-07-31,learned_order_offset,negative_low,insufficient_history,0,2,False,insufficient_history,0.0,0,1,1,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-07-31,learned_order_offset,negative_high,insufficient_history,3,5,False,insufficient_history,0.0,0,2,2,False,0,0,0,False,unsupported,0,0,,4,0.0,0,0
monthly,2021-07-31,learned_order_offset,nonnegative_low,insufficient_history,1,3,False,insufficient_history,0.0,0,2,2,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-07-31,learned_order_offset,nonnegative_high,insufficient_history,9,3,False,insufficient_history,0.0,0,3,3,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-08-31,learned_market,negative_low,insufficient_history,1,0,False,insufficient_history,,0,0,0,False,0,0,0,False,unsupported,0,0,,1,0.0,0,0
monthly,2021-08-31,learned_market,negative_high,insufficient_history,7,6,False,insufficient_history,0.0,0,3,3,False,0,0,0,False,unsupported,0,0,,3,0.0,0,0
monthly,2021-08-31,learned_market,nonnegative_low,insufficient_history,1,3,False,insufficient_history,0.0,0,2,2,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-08-31,learned_market,nonnegative_high,insufficient_history,9,4,False,insufficient_history,0.0,0,4,4,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-08-31,learned_vol_interaction,negative_low,insufficient_history,1,0,False,insufficient_history,,0,0,0,False,0,0,0,False,unsupported,0,0,,1,0.0,0,0
monthly,2021-08-31,learned_vol_interaction,negative_high,insufficient_history,7,6,False,insufficient_history,0.0,0,3,3,False,0,0,0,False,unsupported,0,0,,3,0.0,0,0
monthly,2021-08-31,learned_vol_interaction,nonnegative_low,insufficient_history,1,3,False,insufficient_history,0.0,0,2,2,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-08-31,learned_vol_interaction,nonnegative_high,insufficient_history,9,4,False,insufficient_history,0.0,0,4,4,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-08-31,learned_order_extension,negative_low,insufficient_history,1,0,False,insufficient_history,,0,0,0,False,0,0,0,False,unsupported,0,0,,1,0.0,0,0
monthly,2021-08-31,learned_order_extension,negative_high,insufficient_history,7,6,False,insufficient_history,0.0,0,3,3,False,0,0,0,False,unsupported,0,0,,3,0.0,0,0
monthly,2021-08-31,learned_order_extension,nonnegative_low,insufficient_history,1,3,False,insufficient_history,0.0,0,2,2,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-08-31,learned_order_extension,nonnegative_high,insufficient_history,9,4,False,insufficient_history,0.0,0,4,4,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-08-31,learned_order_offset,negative_low,insufficient_history,1,0,False,insufficient_history,,0,0,0,False,0,0,0,False,unsupported,0,0,,1,0.0,0,0
monthly,2021-08-31,learned_order_offset,negative_high,insufficient_history,7,6,False,insufficient_history,0.0,0,3,3,False,0,0,0,False,unsupported,0,0,,3,0.0,0,0
monthly,2021-08-31,learned_order_offset,nonnegative_low,insufficient_history,1,3,False,insufficient_history,0.0,0,2,2,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-08-31,learned_order_offset,nonnegative_high,insufficient_history,9,4,False,insufficient_history,0.0,0,4,4,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-09-30,learned_market,negative_low,insufficient_history,2,0,False,insufficient_history,,0,0,0,False,0,0,0,False,unsupported,0,0,,3,0.0,0,0
monthly,2021-09-30,learned_market,negative_high,insufficient_history,8,9,False,insufficient_history,0.0,0,5,5,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-09-30,learned_market,nonnegative_low,insufficient_history,2,1,False,insufficient_history,0.0,0,1,1,False,0,0,0,False,unsupported,0,0,,1,0.0,0,0
monthly,2021-09-30,learned_market,nonnegative_high,insufficient_history,10,3,False,insufficient_history,0.0,0,3,3,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-09-30,learned_vol_interaction,negative_low,insufficient_history,2,0,False,insufficient_history,,0,0,0,False,0,0,0,False,unsupported,0,0,,3,0.0,0,0
monthly,2021-09-30,learned_vol_interaction,negative_high,insufficient_history,8,9,False,insufficient_history,0.0,0,5,5,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-09-30,learned_vol_interaction,nonnegative_low,insufficient_history,2,1,False,insufficient_history,0.0,0,1,1,False,0,0,0,False,unsupported,0,0,,1,0.0,0,0
monthly,2021-09-30,learned_vol_interaction,nonnegative_high,insufficient_history,10,3,False,insufficient_history,0.0,0,3,3,False,0,0,0,False,unsupported,0,0,,0,,0,0
monthly,2021-09-30,learned_order_extension,negative_low,insufficient_history,2,0,False,insufficient_history,,0,0,0,False,0,0,0,False,unsupported,0,0,,3,0.0,0,0
