period,cadence,method,cohort,cells,accepted_cells,metric_fragile_cells,minimum_support_cells,loo_deletions,metric_flips,future_nonempty_cells,future_weeks,future_worse_cells,future_better_cells,future_week_weighted_brier,future_recoveries,future_regressions
decision_2021_2023,monthly,learned_market,all_supported,13,8,0,3,116,0,7,19,3,4,-0.006184671902602221,2,0
decision_2021_2023,monthly,learned_market,accepted_all,8,8,0,2,70,0,5,16,3,2,-0.0028377097371112886,2,0
decision_2021_2023,monthly,learned_market,accepted_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_market,accepted_count_only_fragile,2,2,0,2,10,0,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_market,accepted_single_drop_stable,6,6,0,0,60,0,5,16,3,2,-0.0028377097371112886,2,0
decision_2021_2023,monthly,learned_market,rejected_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_market,rejected_single_drop_stable,5,0,0,1,46,0,2,3,0,2,-0.02403513678522053,0,0
decision_2021_2023,monthly,learned_order_extension,all_supported,13,8,1,3,116,1,7,19,3,4,-0.006778496626156667,1,2
decision_2021_2023,monthly,learned_order_extension,accepted_all,8,8,1,2,70,1,5,16,3,2,-0.003339281228585177,1,2
decision_2021_2023,monthly,learned_order_extension,accepted_metric_fragile,1,1,1,0,12,1,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_order_extension,accepted_count_only_fragile,2,2,0,2,10,0,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_order_extension,accepted_single_drop_stable,5,5,0,0,48,0,5,16,3,2,-0.003339281228585177,1,2
decision_2021_2023,monthly,learned_order_extension,rejected_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_order_extension,rejected_single_drop_stable,5,0,0,1,46,0,2,3,0,2,-0.025120978746537948,0,0
decision_2021_2023,monthly,learned_order_offset,all_supported,13,8,1,3,116,1,7,19,3,4,-0.006856817617370275,1,2
decision_2021_2023,monthly,learned_order_offset,accepted_all,8,8,1,2,70,1,5,16,3,2,-0.003425801363868705,1,2
decision_2021_2023,monthly,learned_order_offset,accepted_metric_fragile,1,1,1,0,12,1,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_order_offset,accepted_count_only_fragile,2,2,0,2,10,0,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_order_offset,accepted_single_drop_stable,5,5,0,0,48,0,5,16,3,2,-0.003425801363868705,1,2
decision_2021_2023,monthly,learned_order_offset,rejected_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_order_offset,rejected_single_drop_stable,5,0,0,1,46,0,2,3,0,2,-0.02515557096937865,0,0
decision_2021_2023,monthly,learned_vol_interaction,all_supported,13,7,2,3,116,2,7,19,3,4,-0.006318505710578332,1,2
decision_2021_2023,monthly,learned_vol_interaction,accepted_all,7,7,1,2,58,1,4,15,2,2,-0.00358917783868386,1,2
decision_2021_2023,monthly,learned_vol_interaction,accepted_metric_fragile,1,1,1,0,12,1,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_vol_interaction,accepted_count_only_fragile,2,2,0,2,10,0,0,0,0,0,,0,0
decision_2021_2023,monthly,learned_vol_interaction,accepted_single_drop_stable,4,4,0,0,36,0,4,15,2,2,-0.00358917783868386,1,2
decision_2021_2023,monthly,learned_vol_interaction,rejected_metric_fragile,1,0,1,0,12,1,1,1,1,0,0.005181584091072999,0,0
decision_2021_2023,monthly,learned_vol_interaction,rejected_single_drop_stable,5,0,0,1,46,0,2,3,0,2,-0.023798508337267803,0,0
decision_2021_2023,quarterly,learned_market,all_supported,4,2,0,1,38,0,3,17,0,3,-0.010680825178436026,2,0
decision_2021_2023,quarterly,learned_market,accepted_all,2,2,0,0,21,0,1,12,0,1,-0.0063342767242251345,2,0
decision_2021_2023,quarterly,learned_market,accepted_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_market,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_market,accepted_single_drop_stable,2,2,0,0,21,0,1,12,0,1,-0.0063342767242251345,2,0
decision_2021_2023,quarterly,learned_market,rejected_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_market,rejected_single_drop_stable,2,0,0,1,17,0,2,5,0,2,-0.021112541468542162,0,0
decision_2021_2023,quarterly,learned_order_extension,all_supported,4,2,1,1,38,1,3,17,0,3,-0.011619376443149568,1,0
decision_2021_2023,quarterly,learned_order_extension,accepted_all,2,2,1,0,21,1,1,12,0,1,-0.0071567764970031054,1,0
decision_2021_2023,quarterly,learned_order_extension,accepted_metric_fragile,1,1,1,0,12,1,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_order_extension,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_order_extension,accepted_single_drop_stable,1,1,0,0,9,0,1,12,0,1,-0.0071567764970031054,1,0
decision_2021_2023,quarterly,learned_order_extension,rejected_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_order_extension,rejected_single_drop_stable,2,0,0,1,17,0,2,5,0,2,-0.022329616313901075,0,0
decision_2021_2023,quarterly,learned_order_offset,all_supported,4,2,1,1,38,1,3,17,0,3,-0.011692232666022699,1,0
decision_2021_2023,quarterly,learned_order_offset,accepted_all,2,2,1,0,21,1,1,12,0,1,-0.007243730357238842,1,0
decision_2021_2023,quarterly,learned_order_offset,accepted_metric_fragile,1,1,1,0,12,1,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_order_offset,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_order_offset,accepted_single_drop_stable,1,1,0,0,9,0,1,12,0,1,-0.007243730357238842,1,0
decision_2021_2023,quarterly,learned_order_offset,rejected_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_order_offset,rejected_single_drop_stable,2,0,0,1,17,0,2,5,0,2,-0.02236863820710396,0,0
decision_2021_2023,quarterly,learned_vol_interaction,all_supported,4,2,1,1,38,1,3,17,0,3,-0.010926013648086094,1,0
decision_2021_2023,quarterly,learned_vol_interaction,accepted_all,2,2,1,0,21,1,1,12,0,1,-0.006745116387134087,1,0
