period,cadence,method,cohort,cells,accepted_cells,metric_fragile_cells,minimum_support_cells,loo_deletions,metric_flips,future_nonempty_cells,future_weeks,future_worse_cells,future_better_cells,future_week_weighted_brier,future_recoveries,future_regressions
decision_2021_2023,quarterly,learned_vol_interaction,accepted_metric_fragile,1,1,1,0,12,1,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_vol_interaction,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_vol_interaction,accepted_single_drop_stable,1,1,0,0,9,0,1,12,0,1,-0.006745116387134087,1,0
decision_2021_2023,quarterly,learned_vol_interaction,rejected_metric_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2021_2023,quarterly,learned_vol_interaction,rejected_single_drop_stable,2,0,0,1,17,0,2,5,0,2,-0.02096016707437091,0,0
decision_2024_2026,monthly,learned_market,all_supported,24,11,13,6,177,37,10,27,5,5,-0.0009140138359875323,1,1
decision_2024_2026,monthly,learned_market,accepted_all,11,11,4,1,86,15,5,10,4,1,0.005204816954785575,0,1
decision_2024_2026,monthly,learned_market,accepted_metric_fragile,4,4,4,0,33,15,2,5,1,1,0.002644312750880104,0,0
decision_2024_2026,monthly,learned_market,accepted_count_only_fragile,1,1,0,1,5,0,1,2,1,0,0.01713024756523579,0,1
decision_2024_2026,monthly,learned_market,accepted_single_drop_stable,6,6,0,0,48,0,2,3,2,0,0.0015220368876612174,0,0
decision_2024_2026,monthly,learned_market,rejected_metric_fragile,9,0,9,3,65,22,3,10,1,2,0.00632329201612609,0,0
decision_2024_2026,monthly,learned_market,rejected_single_drop_stable,4,0,0,2,26,0,2,7,0,2,-0.01999420904011143,1,0
decision_2024_2026,monthly,learned_order_extension,all_supported,24,14,13,6,177,41,10,27,4,6,-0.0017712364663067233,1,4
decision_2024_2026,monthly,learned_order_extension,accepted_all,14,14,9,1,110,28,6,18,3,3,0.000924780427313366,1,2
decision_2024_2026,monthly,learned_order_extension,accepted_metric_fragile,9,9,9,1,70,28,4,15,2,2,0.0008114061843741851,1,1
decision_2024_2026,monthly,learned_order_extension,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2024_2026,monthly,learned_order_extension,accepted_single_drop_stable,5,5,0,0,40,0,2,3,1,1,0.0014916516420092711,0,1
decision_2024_2026,monthly,learned_order_extension,rejected_metric_fragile,4,0,4,2,28,13,1,1,0,1,-0.01438669750178928,0,0
decision_2024_2026,monthly,learned_order_extension,rejected_single_drop_stable,6,0,0,3,39,0,3,8,1,2,-0.006260341847516605,0,2
decision_2024_2026,monthly,learned_order_offset,all_supported,24,14,13,6,177,41,10,27,4,6,-0.001845179722482533,1,4
decision_2024_2026,monthly,learned_order_offset,accepted_all,14,14,9,1,110,28,6,18,3,3,0.0008450944249184152,1,2
decision_2024_2026,monthly,learned_order_offset,accepted_metric_fragile,9,9,9,1,70,28,4,15,2,2,0.0007203183916042503,1,1
decision_2024_2026,monthly,learned_order_offset,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2024_2026,monthly,learned_order_offset,accepted_single_drop_stable,5,5,0,0,40,0,2,3,1,1,0.0014689745914892398,0,1
decision_2024_2026,monthly,learned_order_offset,rejected_metric_fragile,4,0,4,2,28,13,1,1,0,1,-0.0144200315085595,0,0
decision_2024_2026,monthly,learned_order_offset,rejected_single_drop_stable,6,0,0,3,39,0,3,8,1,2,-0.006326440080875045,0,2
decision_2024_2026,monthly,learned_vol_interaction,all_supported,24,14,14,6,177,45,10,27,5,5,-0.00055611234899064,2,1
decision_2024_2026,monthly,learned_vol_interaction,accepted_all,14,14,7,2,108,23,7,18,5,2,0.003976633886183177,1,1
decision_2024_2026,monthly,learned_vol_interaction,accepted_metric_fragile,7,7,7,1,54,23,3,10,1,2,-0.004378431214380259,1,1
decision_2024_2026,monthly,learned_vol_interaction,accepted_count_only_fragile,1,1,0,1,5,0,1,2,1,0,0.01798144354611511,0,0
decision_2024_2026,monthly,learned_vol_interaction,accepted_single_drop_stable,6,6,0,0,49,0,3,6,3,0,0.013233472500478257,0,0
decision_2024_2026,monthly,learned_vol_interaction,rejected_metric_fragile,7,0,7,3,48,22,2,7,0,2,-0.0011072536790225987,0,0
decision_2024_2026,monthly,learned_vol_interaction,rejected_single_drop_stable,3,0,0,1,21,0,1,2,0,1,-0.03942183381044313,1,0
decision_2024_2026,quarterly,learned_market,all_supported,7,4,4,2,59,15,5,15,2,3,-0.007804357789554702,1,1
decision_2024_2026,quarterly,learned_market,accepted_all,4,4,2,1,32,10,3,6,1,2,-0.014059940279534716,0,1
decision_2024_2026,quarterly,learned_market,accepted_metric_fragile,2,2,2,0,18,10,2,4,0,2,-0.02965503420191997,0,0
decision_2024_2026,quarterly,learned_market,accepted_count_only_fragile,1,1,0,1,5,0,1,2,1,0,0.01713024756523579,0,1
decision_2024_2026,quarterly,learned_market,accepted_single_drop_stable,1,1,0,0,9,0,0,0,0,0,,0,0
decision_2024_2026,quarterly,learned_market,rejected_metric_fragile,2,0,2,1,17,5,1,7,1,0,0.004525456117437093,0,0
decision_2024_2026,quarterly,learned_market,rejected_single_drop_stable,1,0,0,0,10,0,1,2,0,1,-0.032191958994085945,1,0
decision_2024_2026,quarterly,learned_order_extension,all_supported,7,3,4,2,59,19,5,15,2,3,-0.00849313614042507,1,2
decision_2024_2026,quarterly,learned_order_extension,accepted_all,3,3,2,0,28,11,1,3,0,1,-0.036977498629907096,1,0
decision_2024_2026,quarterly,learned_order_extension,accepted_metric_fragile,2,2,2,0,19,11,1,3,0,1,-0.036977498629907096,1,0
decision_2024_2026,quarterly,learned_order_extension,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2024_2026,quarterly,learned_order_extension,accepted_single_drop_stable,1,1,0,0,9,0,0,0,0,0,,0,0
decision_2024_2026,quarterly,learned_order_extension,rejected_metric_fragile,2,0,2,1,16,8,2,8,1,1,0.002383686751222007,0,0
decision_2024_2026,quarterly,learned_order_extension,rejected_single_drop_stable,2,0,0,1,15,0,2,4,1,1,-0.008883510056607702,0,2
decision_2024_2026,quarterly,learned_order_offset,all_supported,7,3,4,2,59,19,5,15,2,3,-0.008563971673909975,1,2
decision_2024_2026,quarterly,learned_order_offset,accepted_all,3,3,2,0,28,11,1,3,0,1,-0.0371511486308815,1,0
decision_2024_2026,quarterly,learned_order_offset,accepted_metric_fragile,2,2,2,0,19,11,1,3,0,1,-0.0371511486308815,1,0
decision_2024_2026,quarterly,learned_order_offset,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_2024_2026,quarterly,learned_order_offset,accepted_single_drop_stable,1,1,0,0,9,0,0,0,0,0,,0,0
decision_2024_2026,quarterly,learned_order_offset,rejected_metric_fragile,2,0,2,1,16,8,2,8,1,1,0.002367925773243307,0,0
decision_2024_2026,quarterly,learned_order_offset,rejected_single_drop_stable,2,0,0,1,15,0,2,4,1,1,-0.00898738385048789,0,2
decision_2024_2026,quarterly,learned_vol_interaction,all_supported,7,4,4,2,59,18,5,15,2,3,-0.007911669956908044,2,0
decision_2024_2026,quarterly,learned_vol_interaction,accepted_all,4,4,2,1,32,10,3,6,1,2,-0.014302233744477255,1,0
decision_2024_2026,quarterly,learned_vol_interaction,accepted_metric_fragile,2,2,2,0,18,10,2,4,0,2,-0.03044407238977344,1,0
decision_2024_2026,quarterly,learned_vol_interaction,accepted_count_only_fragile,1,1,0,1,5,0,1,2,1,0,0.01798144354611511,0,0
decision_2024_2026,quarterly,learned_vol_interaction,accepted_single_drop_stable,1,1,0,0,9,0,0,0,0,0,,0,0
decision_2024_2026,quarterly,learned_vol_interaction,rejected_metric_fragile,2,0,2,1,17,8,1,7,1,0,0.004669501205918637,0,0
decision_2024_2026,quarterly,learned_vol_interaction,rejected_single_drop_stable,1,0,0,0,10,0,1,2,0,1,-0.03277407766409379,1,0
decision_all_2020_2026,monthly,learned_market,all_supported,37,19,13,9,293,37,17,46,8,9,-0.0030910247765457734,3,1
decision_all_2020_2026,monthly,learned_market,accepted_all,19,19,4,3,156,15,10,26,7,3,0.0002555697597721206,2,1
decision_all_2020_2026,monthly,learned_market,accepted_metric_fragile,4,4,4,0,33,15,2,5,1,1,0.002644312750880104,0,0
decision_all_2020_2026,monthly,learned_market,accepted_count_only_fragile,3,3,0,3,15,0,1,2,1,0,0.01713024756523579,0,1
decision_all_2020_2026,monthly,learned_market,accepted_single_drop_stable,12,12,0,0,108,0,7,19,5,2,-0.0021493286910945772,2,0
decision_all_2020_2026,monthly,learned_market,rejected_metric_fragile,9,0,9,3,65,22,3,10,1,2,0.00632329201612609,0,0
decision_all_2020_2026,monthly,learned_market,rejected_single_drop_stable,9,0,0,3,72,0,4,10,0,4,-0.02120648736364416,1,0
decision_all_2020_2026,monthly,learned_order_extension,all_supported,37,22,14,9,293,42,17,46,7,10,-0.003839452619288222,2,6
decision_all_2020_2026,monthly,learned_order_extension,accepted_all,22,22,10,3,180,29,11,34,6,5,-0.0010818368225212426,2,4
decision_all_2020_2026,monthly,learned_order_extension,accepted_metric_fragile,10,10,10,1,82,29,4,15,2,2,0.0008114061843741851,1,1
decision_all_2020_2026,monthly,learned_order_extension,accepted_count_only_fragile,2,2,0,2,10,0,0,0,0,0,,0,0
decision_all_2020_2026,monthly,learned_order_extension,accepted_single_drop_stable,10,10,0,0,88,0,7,19,4,3,-0.0025765023542807905,1,3
decision_all_2020_2026,monthly,learned_order_extension,rejected_metric_fragile,4,0,4,2,28,13,1,1,0,1,-0.01438669750178928,0,0
decision_all_2020_2026,monthly,learned_order_extension,rejected_single_drop_stable,11,0,0,4,85,0,5,11,1,4,-0.011404151910886062,0,2
decision_all_2020_2026,monthly,learned_order_offset,all_supported,37,22,14,9,293,42,17,46,7,10,-0.003915204070370948,2,6
decision_all_2020_2026,monthly,learned_order_offset,accepted_all,22,22,10,3,180,29,11,34,6,5,-0.0011647388874519943,2,4
decision_all_2020_2026,monthly,learned_order_offset,accepted_metric_fragile,10,10,10,1,82,29,4,15,2,2,0.0007203183916042503,1,1
decision_all_2020_2026,monthly,learned_order_offset,accepted_count_only_fragile,2,2,0,2,10,0,0,0,0,0,,0,0
decision_all_2020_2026,monthly,learned_order_offset,accepted_single_drop_stable,10,10,0,0,88,0,7,19,4,3,-0.002652942002496398,1,3
decision_all_2020_2026,monthly,learned_order_offset,rejected_metric_fragile,4,0,4,2,28,13,1,1,0,1,-0.0144200315085595,0,0
decision_all_2020_2026,monthly,learned_order_offset,rejected_single_drop_stable,11,0,0,4,85,0,5,11,1,4,-0.011461657595921482,0,2
decision_all_2020_2026,monthly,learned_vol_interaction,all_supported,37,21,16,9,293,47,17,46,8,9,-0.0029362313461681645,3,3
decision_all_2020_2026,monthly,learned_vol_interaction,accepted_all,21,21,8,4,166,24,11,33,7,4,0.0005376285566981599,2,3
decision_all_2020_2026,monthly,learned_vol_interaction,accepted_metric_fragile,8,8,8,1,66,24,3,10,1,2,-0.004378431214380259,1,1
decision_all_2020_2026,monthly,learned_vol_interaction,accepted_count_only_fragile,3,3,0,3,15,0,1,2,1,0,0.01798144354611511,0,0
decision_all_2020_2026,monthly,learned_vol_interaction,accepted_single_drop_stable,10,10,0,0,85,0,7,21,5,2,0.0012172936867910304,1,2
decision_all_2020_2026,monthly,learned_vol_interaction,rejected_metric_fragile,8,0,8,3,60,23,3,8,1,2,-0.00032114895776064883,0,0
decision_all_2020_2026,monthly,learned_vol_interaction,rejected_single_drop_stable,8,0,0,2,67,0,3,5,0,3,-0.030047838526537935,1,0
decision_all_2020_2026,quarterly,learned_market,all_supported,11,6,4,3,97,15,8,32,2,6,-0.009332481089897905,3,1
decision_all_2020_2026,quarterly,learned_market,accepted_all,6,6,2,1,53,10,4,18,1,3,-0.008909497909328329,2,1
decision_all_2020_2026,quarterly,learned_market,accepted_metric_fragile,2,2,2,0,18,10,2,4,0,2,-0.02965503420191997,0,0
decision_all_2020_2026,quarterly,learned_market,accepted_count_only_fragile,1,1,0,1,5,0,1,2,1,0,0.01713024756523579,0,1
decision_all_2020_2026,quarterly,learned_market,accepted_single_drop_stable,3,3,0,0,30,0,1,12,0,1,-0.0063342767242251345,2,0
decision_all_2020_2026,quarterly,learned_market,rejected_metric_fragile,2,0,2,1,17,5,1,7,1,0,0.004525456117437093,0,0
decision_all_2020_2026,quarterly,learned_market,rejected_single_drop_stable,3,0,0,1,27,0,3,7,0,3,-0.024278089332983244,1,0
decision_all_2020_2026,quarterly,learned_order_extension,all_supported,11,5,5,3,97,20,8,32,2,6,-0.01015395130124746,2,2
decision_all_2020_2026,quarterly,learned_order_extension,accepted_all,5,5,3,0,49,12,2,15,0,2,-0.013120920923583905,2,0
decision_all_2020_2026,quarterly,learned_order_extension,accepted_metric_fragile,3,3,3,0,31,12,1,3,0,1,-0.036977498629907096,1,0
decision_all_2020_2026,quarterly,learned_order_extension,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_all_2020_2026,quarterly,learned_order_extension,accepted_single_drop_stable,2,2,0,0,18,0,1,12,0,1,-0.0071567764970031054,1,0
decision_all_2020_2026,quarterly,learned_order_extension,rejected_metric_fragile,2,0,2,1,16,8,2,8,1,1,0.002383686751222007,0,0
decision_all_2020_2026,quarterly,learned_order_extension,rejected_single_drop_stable,4,0,0,2,32,0,4,9,1,3,-0.016353569088437353,0,2
decision_all_2020_2026,quarterly,learned_order_offset,all_supported,11,5,5,3,97,20,8,32,2,6,-0.010225860325969859,2,2
decision_all_2020_2026,quarterly,learned_order_offset,accepted_all,5,5,3,0,49,12,2,15,0,2,-0.013225214011967374,2,0
decision_all_2020_2026,quarterly,learned_order_offset,accepted_metric_fragile,3,3,3,0,31,12,1,3,0,1,-0.0371511486308815,1,0
decision_all_2020_2026,quarterly,learned_order_offset,accepted_count_only_fragile,0,0,0,0,0,0,0,0,0,0,,0,0
decision_all_2020_2026,quarterly,learned_order_offset,accepted_single_drop_stable,2,2,0,0,18,0,1,12,0,1,-0.007243730357238842,1,0
decision_all_2020_2026,quarterly,learned_order_offset,rejected_metric_fragile,2,0,2,1,16,8,2,8,1,1,0.002367925773243307,0,0
decision_all_2020_2026,quarterly,learned_order_offset,rejected_single_drop_stable,4,0,0,2,32,0,4,9,1,3,-0.01642141404860793,0,2
decision_all_2020_2026,quarterly,learned_vol_interaction,all_supported,11,6,5,3,97,19,8,32,2,6,-0.009513040042846383,3,0
decision_all_2020_2026,quarterly,learned_vol_interaction,accepted_all,6,6,3,1,53,11,4,18,1,3,-0.009264155506248477,2,0
decision_all_2020_2026,quarterly,learned_vol_interaction,accepted_metric_fragile,3,3,3,0,30,11,2,4,0,2,-0.03044407238977344,1,0
decision_all_2020_2026,quarterly,learned_vol_interaction,accepted_count_only_fragile,1,1,0,1,5,0,1,2,1,0,0.01798144354611511,0,0
decision_all_2020_2026,quarterly,learned_vol_interaction,accepted_single_drop_stable,2,2,0,0,18,0,1,12,0,1,-0.006745116387134087,1,0
decision_all_2020_2026,quarterly,learned_vol_interaction,rejected_metric_fragile,2,0,2,1,17,8,1,7,1,0,0.004669501205918637,0,0
decision_all_2020_2026,quarterly,learned_vol_interaction,rejected_single_drop_stable,3,0,0,1,27,0,3,7,0,3,-0.02433557010000602,1,0
