method,year,n,accuracy,balanced_accuracy,true_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,return_correlation,conditional_return_long,conditional_return_cash,logloss,brier
a_close_annual,2021,50,0.52,0.5491143317230274,0.46,0.86,0.02629077948302271,-0.03442280686982335,0.03893896153179028,-0.0012092125951581366,-0.009356922302319829,,
a_close_annual,2022,49,0.5306122448979592,0.5724137931034483,0.40816326530612246,0.7142857142857143,0.027793057775605413,-0.023098039533509196,-0.04366249069498384,-0.0028344978778019575,-0.004822330101480085,,
a_close_annual,2023,48,0.4791666666666667,0.5508166969147006,0.3958333333333333,0.8333333333333334,0.02345620010835446,-0.07610727721317256,-0.07901060406882698,-0.003636101173822708,-0.0034316565349130886,,
a_close_annual,2024,47,0.48936170212765956,0.5009090909090909,0.46808510638297873,0.6808510638297872,0.03802342716567877,-0.005179910249869302,-0.07423569305264052,0.0030905567080990056,0.004013760206746972,,
a_close_annual,2025,48,0.5208333333333334,0.49444444444444446,0.625,0.6041666666666666,0.018264099105552895,-0.01881931351909083,-0.1750298357875433,0.0028615430325617443,0.008338439611246487,,
a_close_annual,2026,30,0.5333333333333333,0.5446428571428572,0.4666666666666667,0.6666666666666666,0.01982268514946062,-0.017690006101459765,0.012853098506985166,-0.002390683792273315,0.0009110786260405912,,
b_exec_annual,2021,50,0.5,0.5305958132045088,0.46,0.88,0.02630478661078528,-0.035525334256505836,0.03787792384556942,-0.001470461472748447,-0.008799048817851167,,
b_exec_annual,2022,49,0.5306122448979592,0.5801724137931035,0.40816326530612246,0.7551020408163265,0.027828534344581927,-0.02571158235135229,-0.05209684399124332,-0.0036407345651498905,-0.0026677390194369834,,
b_exec_annual,2023,48,0.4791666666666667,0.5417422867513612,0.3958333333333333,0.7916666666666666,0.023524861587533936,-0.08241650539374556,-0.09648378183518723,-0.004530826591045194,-7.258887724957054e-05,,
b_exec_annual,2024,47,0.5531914893617021,0.5636363636363637,0.46808510638297873,0.6595744680851063,0.03802135221950737,-0.0050702074979911416,-0.06464757748674112,0.007197582111300777,-0.00400130173062195,,
b_exec_annual,2025,48,0.4791666666666667,0.46111111111111114,0.625,0.5625,0.018275729147101415,-0.020117235020424618,-0.18085525257313395,0.0020706382657764036,0.008833707970571949,,
b_exec_annual,2026,30,0.5333333333333333,0.5446428571428572,0.4666666666666667,0.6666666666666666,0.01981738659367747,-0.017146026660333602,0.018084635933019545,-0.002390683792273315,0.0009110786260405912,,
c_econ_annual,2021,50,0.46,0.5,0.46,1.0,0.02612323020406416,-0.02128021231885069,0.041452986978016346,-0.002349891954160774,,,
c_econ_annual,2022,49,0.40816326530612246,0.5,0.40816326530612246,1.0,0.027674720130084735,-0.014404266776464558,0.29143378098390504,-0.003402449941709995,,,
c_econ_annual,2023,48,0.4166666666666667,0.5172413793103449,0.3958333333333333,0.9791666666666666,0.02272910540762293,-0.010426988592811215,0.10762472264977523,-0.0036702921048537922,-0.0003935703040848,,
c_econ_annual,2024,47,0.48936170212765956,0.5172727272727273,0.46808510638297873,0.9361702127659575,0.037824872145153295,0.005290603782570291,0.028525936613943325,0.0039850948304653334,-0.005413318260033967,,
c_econ_annual,2025,48,0.625,0.5111111111111111,0.625,0.9583333333333334,0.01779460972618576,0.03288616990997595,0.16000235207671926,0.005447787476828792,-0.0045915616880753,,
c_econ_annual,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.019856241177348213,-0.021138432828615272,-0.030368041994416985,-0.001290096319502013,,,
d_multi_exp_annual,2021,50,0.52,0.5523349436392915,0.46,0.9,0.026141608018950917,-0.02271766860177893,0.06308324048515819,-0.001852112517273246,-0.006829906886148521,,
d_multi_exp_annual,2022,49,0.4489795918367347,0.5189655172413793,0.40816326530612246,0.8775510204081632,0.02780569473388104,-0.024028616268786385,0.06769246896011884,-0.0027227190098746195,-0.00827385495319685,,
d_multi_exp_annual,2023,48,0.4791666666666667,0.5417422867513612,0.3958333333333333,0.7916666666666666,0.02286586648979735,-0.02262305367808426,0.00855708824215191,-0.00340579610158637,-0.004347704737193101,,
d_multi_exp_annual,2024,47,0.5106382978723404,0.5263636363636364,0.46808510638297873,0.7446808510638298,0.03788327273950419,0.002216622954358427,-0.0032596742469352797,0.0008715433762256368,0.01071668329937296,,
d_multi_exp_annual,2025,48,0.6041666666666666,0.5722222222222222,0.625,0.6458333333333334,0.017610867433696366,0.05275536350837928,0.14902289229277013,0.006097127122458194,0.0030825976330452827,,
d_multi_exp_annual,2026,30,0.4666666666666667,0.48660714285714285,0.4666666666666667,0.8,0.020045693921161966,-0.04071720267233836,-0.05975249799486376,-0.002190281351794925,0.002310643809669634,,
e_adaptive_annual,2021,50,0.46,0.5,0.46,1.0,0.0261152148790696,-0.02065359478955875,0.08150613158916366,-0.002349891954160774,,,
e_adaptive_annual,2022,49,0.42857142857142855,0.5172413793103449,0.40816326530612246,0.9795918367346939,0.02753994453905801,-0.0045480493369258745,0.36903879881793467,-0.0025431829621023485,-0.044647264962877,,
e_adaptive_annual,2023,48,0.4375,0.5344827586206896,0.3958333333333333,0.9583333333333334,0.022582054377939767,0.002605084308063388,0.309159361263181,-0.0028980739811483368,-0.019792948049694753,,
e_adaptive_annual,2024,47,0.48936170212765956,0.5145454545454545,0.46808510638297873,0.8936170212765957,0.037839034385736076,0.004545593939123682,0.012297116571904637,0.0037173465736013646,0.0005951323338231004,,
e_adaptive_annual,2025,48,0.5625,0.49444444444444446,0.625,0.7708333333333334,0.017759041440385842,0.03674848589112778,0.09290004873286536,0.004697939694334292,0.006144666533418636,,
e_adaptive_annual,2026,30,0.5,0.5267857142857143,0.4666666666666667,0.9,0.019918598795832177,-0.027562180974423978,-0.07838810298768663,-0.001330919124792607,-0.0009226910718866654,,
f_multi_exp_quarter,2021,50,0.52,0.5523349436392915,0.46,0.9,0.026176536355561286,-0.02545244232280175,0.043349303097628814,-0.001852112517273246,-0.006829906886148521,,
f_multi_exp_quarter,2022,49,0.46938775510204084,0.528448275862069,0.40816326530612246,0.8163265306122449,0.027772342130782786,-0.021573469101694664,0.048783537312409024,-0.0030248959772863756,-0.005080467561370521,,
f_multi_exp_quarter,2023,48,0.4791666666666667,0.5417422867513612,0.3958333333333333,0.7916666666666666,0.022846311637161512,-0.02087471037166644,0.01560684590218227,-0.00340579610158637,-0.004347704737193101,,
f_multi_exp_quarter,2024,47,0.5106382978723404,0.5290909090909091,0.46808510638297873,0.7872340425531915,0.03787246437582614,0.0027858909398276177,0.003969323576778145,0.005999436004683832,-0.0062874914412929,,
f_multi_exp_quarter,2025,48,0.6041666666666666,0.5722222222222222,0.625,0.6458333333333334,0.017600809667441684,0.05383701887142445,0.1519376052692525,0.006273626125852804,0.0027607465092080534,,
f_multi_exp_quarter,2026,30,0.4666666666666667,0.48660714285714285,0.4666666666666667,0.8,0.020048800543231864,-0.04103980218646286,-0.05804086277953217,-0.002190281351794925,0.002310643809669634,,
g_multi_3y_annual,2021,50,0.52,0.5330112721417068,0.46,0.66,0.026476725698395917,-0.04910683024527707,0.014411911464071397,-0.0019434537841867658,-0.003138860166463259,,
g_multi_3y_annual,2022,49,0.46938775510204084,0.5439655172413793,0.40816326530612246,0.8979591836734694,0.02951689748165264,-0.15394738098320215,-0.13329473184190221,-0.002883025561701727,-0.00797338448578276,,
g_multi_3y_annual,2023,48,0.5833333333333334,0.4827586206896552,0.3958333333333333,0.020833333333333332,0.02236076063086235,0.022057326404722466,0.06829342674696247,-0.0012061903149008,-0.003653002317389622,,
g_multi_3y_annual,2024,47,0.5319148936170213,0.5081818181818182,0.46808510638297873,0.1276595744680851,0.03817644040836179,-0.013286244711582906,0.12533791106925024,-0.0025312581687309335,0.004251018701774595,,
g_multi_3y_annual,2025,48,0.3958333333333333,0.4944444444444444,0.625,0.10416666666666667,0.020053845209519496,-0.22827602787086865,0.11652391021448097,0.00347158438924374,0.005210632060738491,,
g_multi_3y_annual,2026,30,0.6,0.6116071428571428,0.4666666666666667,0.6666666666666666,0.019580144656160068,0.0070615332086331195,0.1694324260955366,0.0017530705117061,-0.007376429981918241,,
h_multi_5y_annual,2021,50,0.5,0.5241545893719807,0.46,0.8,0.026064733330237226,-0.01671149624025836,0.07217422832362083,-0.0023366689870609894,-0.0024027838225599107,,
h_multi_5y_annual,2022,49,0.40816326530612246,0.43017241379310345,0.40816326530612246,0.6326530612244898,0.029057975430295438,-0.11834370227940472,-0.21538249512504598,-0.006960481642376339,0.002725271320548711,,
h_multi_5y_annual,2023,48,0.6041666666666666,0.5362976406533575,0.3958333333333333,0.16666666666666666,0.022314968989891812,0.026058598756808826,0.06914204227218344,-0.004513690673539152,-0.0034196943460974953,,
h_multi_5y_annual,2024,47,0.5531914893617021,0.5281818181818182,0.46808510638297873,0.10638297872340426,0.038565951167488725,-0.034068662471835376,-0.11731800163666882,0.00390776927854058,0.0033229850325635687,,
h_multi_5y_annual,2025,48,0.4375,0.4833333333333333,0.625,0.3125,0.01912221300804462,-0.11680400385585799,-0.08164695679064135,0.0029614439867489536,0.005969498204749681,,
h_multi_5y_annual,2026,30,0.5,0.5,0.4666666666666667,0.5,0.01960994520521025,0.004036772181324033,0.09324599995416609,-0.0023837694308140463,-0.00019642320818998027,,
i_multi_3y_quarter,2021,50,0.5,0.5144927536231884,0.46,0.68,0.026726274123131263,-0.06897610958341382,0.007369112596246944,-0.0019812907874577263,-0.003133169433404749,,
i_multi_3y_quarter,2022,49,0.4489795918367347,0.4956896551724138,0.40816326530612246,0.7551020408163265,0.028821322958513595,-0.10020196410041526,-0.1499054251265112,-0.004082361933351083,-0.0013060546341499754,,
i_multi_3y_quarter,2023,48,0.6041666666666666,0.5272232304900182,0.3958333333333333,0.125,0.022336176866552017,0.024206474798118105,0.05337820888562634,0.004267619546295951,-0.004726262297856875,,
i_multi_3y_quarter,2024,47,0.6170212765957447,0.6018181818181818,0.46808510638297873,0.2553191489361702,0.037998547722045056,-0.003864924354264332,0.11110199045634055,0.0038625083197087913,0.0032215462263962087,,
i_multi_3y_quarter,2025,48,0.375,0.4444444444444444,0.625,0.20833333333333334,0.0195571429474351,-0.16818460693282433,0.13800726150175294,-0.00023079643178556994,0.006413764865153408,,
i_multi_3y_quarter,2026,30,0.5,0.5133928571428572,0.4666666666666667,0.7,0.01968503744519719,-0.0036055035794095858,0.15502863755335242,-0.0006171721191802718,-0.002860252786919411,,
j_multi_5y_quarter,2021,50,0.54,0.5579710144927537,0.46,0.72,0.026354929369419022,-0.039476979034122284,0.017873650688815232,-0.0012922179168885722,-0.005069625192860721,,
j_multi_5y_quarter,2022,49,0.3673469387755102,0.3724137931034483,0.40816326530612246,0.5510204081632653,0.028938571591450243,-0.10917168172928893,-0.23126553650667192,-0.009738923580415615,0.004374131342155995,,
j_multi_5y_quarter,2023,48,0.5416666666666666,0.5027223230490019,0.3958333333333333,0.3125,0.022414323132101534,0.0173666280176642,0.054928846050372904,-0.005830533327930473,-0.0025890696761592703,,
j_multi_5y_quarter,2024,47,0.5319148936170213,0.5136363636363637,0.46808510638297873,0.2127659574468085,0.03819667440509191,-0.014360638433086992,0.019130221530837568,0.0019199839087325698,0.003781199423595868,,
j_multi_5y_quarter,2025,48,0.3958333333333333,0.4277777777777778,0.625,0.3541666666666667,0.018601641207807686,-0.05682526148970779,-0.06069473414114216,0.0017426578857794644,0.0068319327903136415,,
j_multi_5y_quarter,2026,30,0.5,0.5044642857142857,0.4666666666666667,0.5666666666666667,0.019666385250960483,-0.0017045088559277666,0.08823680458730453,-0.0006689938114512237,-0.002102307291568431,,
k_logit_exp_annual,2021,50,0.52,0.5394524959742351,0.46,0.74,0.026028360209520346,-0.013875851140864093,0.10402295821321443,-0.0005576513087888132,-0.00745088456021943,0.6924792252458741,0.24954350576646153
k_logit_exp_annual,2022,49,0.3469387755102041,0.38620689655172413,0.40816326530612246,0.7346938775510204,0.02815980163885811,-0.050276805445880424,-0.12294068135489815,-0.007222792308509579,0.007176959689427317,0.7213610487733354,0.2640117813097675
k_logit_exp_annual,2023,48,0.5,0.5226860254083484,0.3958333333333333,0.6041666666666666,0.022871896038497444,-0.023162440056786915,0.009297517485705838,-0.0029273386102879246,-0.0046318147123085894,0.6925059392851383,0.2496884234281398
k_logit_exp_annual,2024,47,0.5319148936170213,0.5381818181818182,0.46808510638297873,0.5957446808510638,0.03783693597762096,0.0046559990653356476,0.021687409355479647,0.0007651237048693712,0.0072463554749489685,0.6967438266786998,0.25173957540135733
k_logit_exp_annual,2025,48,0.5833333333333334,0.5666666666666667,0.625,0.5833333333333334,0.01777043662482186,0.035511938272198895,0.08615620554007823,0.006051534338424304,0.0035986069541046654,0.6895850170982382,0.24822650419038697
k_logit_exp_annual,2026,30,0.5,0.5178571428571428,0.4666666666666667,0.7666666666666667,0.01980020015474598,-0.015382571340652351,0.06124478793976718,-0.0021307653423316432,0.0014721018983667718,0.6922880378753066,0.2495807504470221
l_logit_5y_quarter,2021,50,0.46,0.5,0.46,1.0,0.026064784425503695,-0.01671548240770382,0.1125328801114021,-0.002349891954160774,,0.7024480381844167,0.2546403866491753
l_logit_5y_quarter,2022,49,0.40816326530612246,0.4844827586206897,0.40816326530612246,0.9183673469387755,0.027963769370339786,-0.035704862772181656,-0.2573691621054989,-0.0038369191097247703,0.0014853281984562251,0.7204135900872284,0.2635703890061956
l_logit_5y_quarter,2023,48,0.5833333333333334,0.5281306715063521,0.3958333333333333,0.22916666666666666,0.022629895538341892,-0.001625449745227714,-0.015454924885896518,-0.002388805844909511,-0.003962714457789416,0.6870162711423573,0.2469376706431503
l_logit_5y_quarter,2024,47,0.5319148936170213,0.5163636363636364,0.46808510638297873,0.2553191489361702,0.03799927045099236,-0.003903111557891803,-0.03468989889988773,-0.0027476275468938586,0.005487878523517117,0.68727680724892,0.24707283732573548
