method,n,accuracy,balanced_accuracy,true_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,return_correlation,conditional_return_long,conditional_return_cash,logloss,brier
a_close_annual,272,0.5110294117647058,0.5247395833333334,0.47058823529411764,0.7316176470588235,0.026745764300941846,-0.024878980975473697,-0.06323763376300559,-0.0008169785301999203,0.0009216878377949177,,
b_exec_annual,272,0.5110294117647058,0.5243055555555556,0.47058823529411764,0.7242647058823529,0.026766035006131308,-0.026433088173399177,-0.06808248450246403,-0.0007124887887836257,0.0006008636805282547,,
c_econ_annual,272,0.47794117647058826,0.5060763888888888,0.47058823529411764,0.9779411764705882,0.026479616622956507,-0.004583281660722305,0.022178236729891325,-0.0002611987477083383,-0.00430277474338955,,
d_multi_exp_annual,272,0.5073529411764706,0.5247395833333334,0.47058823529411764,0.7941176470588235,0.026536877079036916,-0.008932671794892988,0.026514975277334835,-0.0007541390094498316,0.0012071162623287209,,
e_adaptive_annual,272,0.47794117647058826,0.5026041666666666,0.47058823529411764,0.9191176470588235,0.026435057649078927,-0.0012051710281255623,0.07759632733592649,-0.0003154450984381969,-0.0007470109427820912,,
f_multi_exp_quarter,272,0.5110294117647058,0.5282118055555556,0.47058823529411764,0.7904411764705882,0.026530356945509176,-0.008436941452191205,0.027048318757524014,0.00014015644373315081,-0.0022005114167260105,,
g_multi_3y_annual,272,0.5110294117647058,0.5052083333333333,0.47058823529411764,0.4007352941176471,0.0271871800576655,-0.058987630319542905,-0.01669663691907877,-0.0014216651994494029,0.00036604902692778944,,
h_multi_5y_annual,272,0.5,0.4952256944444444,0.47058823529411764,0.41911764705882354,0.026996540294782437,-0.04418820434857351,-0.08150826687675139,-0.0027819934302867793,0.0014041249095059342,,
i_multi_3y_quarter,272,0.5073529411764706,0.50390625,0.47058823529411764,0.4411764705882353,0.02699481450411834,-0.04405470630506958,-0.0061923582701424035,-0.0013477003334492741,0.0004370297675207739,,
j_multi_5y_quarter,272,0.47794117647058826,0.4748263888888889,0.47058823529411764,0.4485294117647059,0.02688916259419093,-0.03589828677958229,-0.05960064188411914,-0.0029465299446496855,0.001761207585976709,,
k_logit_exp_annual,272,0.4963235294117647,0.5060763888888888,0.47058823529411764,0.6654411764705882,0.026571596178787838,-0.011574440752059934,-0.001544381458118084,-0.0012358431982943954,0.0014109022367091246,0.6978919836351004,0.25232666049803465
l_logit_5y_quarter,272,0.4632352941176471,0.46223958333333337,0.47058823529411764,0.4852941176470588,0.026607537332749495,-0.014312834117581774,-0.10756883508445352,-0.0030810443203564968,0.0022243023924021594,0.7026867173596663,0.2547458813470951
always_up,272,0.47058823529411764,0.5,0.47058823529411764,1.0,0.02641914266331541,-1.0039145070805944e-09,,-0.0003503511593777765,,,
cash,272,0.5294117647058824,0.5,0.47058823529411764,0.0,0.026419142650054128,0.0,,,-0.0003503511593777765,,
v1_adaptive_normalized,272,0.5330882352941176,0.5364583333333334,0.47058823529411764,0.5551470588235294,0.028837868880890356,-0.1914858416642229,0.028089169077484433,-0.0014342613879678948,0.0010022971424165025,,
v1_fixed_10,272,0.5147058823529411,0.5182291666666666,0.47058823529411764,0.5588235294117647,0.02830866466897834,-0.14815713318094703,-0.040439311582425995,-0.0011055862398696265,0.000606279942578567,,
selected_threshold_10bps,272,0.4963235294117647,0.50390625,0.47058823529411764,0.6286764705882353,0.026530356945509176,-0.008436941452191205,0.027048318757524014,-0.0011111672273474852,0.0009377631735214336,,
selected_threshold_20bps,272,0.5183823529411765,0.5134548611111112,0.47058823529411764,0.41544117647058826,0.026530356945509176,-0.008436941452191205,0.027048318757524014,-0.0018102471836794812,0.000687185008836643,,
selected_threshold_40bps,272,0.5477941176470589,0.5269097222222222,0.47058823529411764,0.14338235294117646,0.026530356945509176,-0.008436941452191205,0.027048318757524014,0.0015214155519142226,-0.0006636511668472525,,
