cutoff,row_index,date,actual_return,actual_up,training_frequency
2017-12-31,1687,2018-01-05,0.0214907567286908,1,0.5202622169249106
2017-12-31,1692,2018-01-12,0.0110264218031885,1,0.5202622169249106
2017-12-31,1697,2018-01-19,0.0258577147560612,1,0.5202622169249106
2017-12-31,1702,2018-01-26,-0.0416224077172412,0,0.5202622169249106
2017-12-31,1707,2018-02-02,-0.0851928666225865,0,0.5202622169249106
2017-12-31,1712,2018-02-09,0.0642518595938403,1,0.5202622169249106
2017-12-31,1717,2018-02-23,-0.0175257731958763,0,0.5202622169249106
2017-12-31,1722,2018-03-02,0.0271156686542373,1,0.5202622169249106
2017-12-31,1727,2018-03-09,-0.0184205620825476,0,0.5202622169249106
2017-12-31,1732,2018-03-16,-0.0473361252102539,0,0.5202622169249106
2017-12-31,1737,2018-03-23,0.0088849998317235,1,0.5202622169249106
2017-12-31,1742,2018-03-30,-0.0088632053805354,0,0.5202622169249106
2017-12-31,1750,2018-04-13,-0.0279044238531301,0,0.5202622169249106
2017-12-31,1755,2018-04-20,0.0040589236395014,1,0.5202622169249106
2017-12-31,1760,2018-04-27,0.003344889692912,1,0.5202622169249106
2017-12-31,1763,2018-05-04,0.0275819951672684,1,0.5202622169249106
2017-12-31,1768,2018-05-11,0.0099488791752746,1,0.5202622169249106
2017-12-31,1773,2018-05-18,-0.0278382082465087,0,0.5202622169249106
2017-12-31,1778,2018-05-25,-0.0081414788300587,0,0.5202622169249106
2017-12-31,1783,2018-06-01,-0.0039575292125362,0,0.5202622169249106
2017-12-31,1788,2018-06-08,-0.0179141214945586,0,0.5202622169249106
2017-12-31,1793,2018-06-15,-0.0207606943097817,0,0.5202622169249106
2017-12-31,1797,2018-06-22,-0.0334657179105301,0,0.5202622169249106
2017-12-31,1802,2018-06-29,-0.0358257762964908,0,0.5202622169249106
2017-12-31,1807,2018-07-06,0.0325726343702554,1,0.5202622169249106
2017-12-31,1812,2018-07-13,-0.0049040261165902,0,0.5202622169249106
2017-12-31,1817,2018-07-20,0.014110592016959,1,0.5202622169249106
2017-12-31,1822,2018-07-27,-0.0590851640938977,0,0.5202622169249106
2017-12-31,1827,2018-08-03,0.0172541822374894,1,0.5202622169249106
2017-12-31,1832,2018-08-10,-0.0390981548851923,0,0.5202622169249106
