family,cutoff,seed,iteration,objective,gradient_inf,last_step,last_backtracks
probe_mse,2017-12-31,20260910,0,0.6923258407995493,0.09326217350034825,0.0,0
probe_mse,2017-12-31,20260910,1,0.6529530077120519,0.007929777361004139,1.0,0
probe_mse,2017-12-31,20260910,2,0.6526773616132454,0.00024921358817070255,1.0,0
probe_mse,2017-12-31,20260910,3,0.6526771369159204,3.01552871766024e-07,1.0,0
probe_mse,2017-12-31,20260910,4,0.6526771369156245,4.5194663983449956e-13,1.0,0
probe_mse,2017-12-31,20260911,0,0.6923258407995493,0.0913114691085015,0.0,0
probe_mse,2017-12-31,20260911,1,0.6531787904466546,0.004478721043038454,1.0,0
probe_mse,2017-12-31,20260911,2,0.6530483878078963,4.5584152831695856e-05,1.0,0
probe_mse,2017-12-31,20260911,3,0.6530483737224276,5.132053785194754e-09,1.0,0
probe_mse,2017-12-31,20260911,4,0.6530483737224275,9.236420395570432e-17,1.0,0
probe_mse,2017-12-31,20260912,0,0.6923258407995493,0.11468873133660615,0.0,0
probe_mse,2017-12-31,20260912,1,0.64465570164008,0.007757509997078494,1.0,0
probe_mse,2017-12-31,20260912,2,0.6443907157750449,0.00013989404895723773,1.0,0
probe_mse,2017-12-31,20260912,3,0.6443906281331059,5.208777941465622e-08,1.0,0
probe_mse,2017-12-31,20260912,4,0.6443906281330936,7.739306157744652e-15,1.0,0
probe_mse,2018-12-31,20260910,0,0.6928966339915423,0.11884264383544016,0.0,0
probe_mse,2018-12-31,20260910,1,0.6331715775970743,0.010011807761341968,1.0,0
probe_mse,2018-12-31,20260910,2,0.632617415495814,0.0002693898860217332,1.0,0
probe_mse,2018-12-31,20260910,3,0.6326169794080602,2.2651915740693179e-07,1.0,0
probe_mse,2018-12-31,20260910,4,0.6326169794077264,2.0173272774481887e-13,1.0,0
probe_mse,2018-12-31,20260911,0,0.6928966339915423,0.09205860536770022,0.0,0
probe_mse,2018-12-31,20260911,1,0.6482183535724164,0.005751098829699067,1.0,0
probe_mse,2018-12-31,20260911,2,0.64801403195787,8.064946833984772e-05,1.0,0
probe_mse,2018-12-31,20260911,3,0.6480139923063695,1.6886044363348743e-08,1.0,0
probe_mse,2018-12-31,20260911,4,0.6480139923063678,7.489668607529865e-16,1.0,0
probe_mse,2018-12-31,20260912,0,0.6928966339915423,0.1020657667274838,0.0,0
probe_mse,2018-12-31,20260912,1,0.6507301219444958,0.005422313788339833,1.0,0
probe_mse,2018-12-31,20260912,2,0.6505415738698623,7.747144982451853e-05,1.0,0
probe_mse,2018-12-31,20260912,3,0.6505415372753238,1.7063291017117843e-08,1.0,0
probe_mse,2018-12-31,20260912,4,0.6505415372753223,8.053453737222327e-16,1.0,0
probe_mse,2019-12-31,20260910,0,0.6922242824846752,0.09168721191651402,0.0,0
probe_mse,2019-12-31,20260910,1,0.6523865029941497,0.005143167190498817,1.0,0
probe_mse,2019-12-31,20260910,2,0.6522226933402302,6.272619574595757e-05,1.0,0
probe_mse,2019-12-31,20260910,3,0.6522226668790695,1.0584385022301482e-08,1.0,0
probe_mse,2019-12-31,20260910,4,0.6522226668790686,3.176712365382528e-16,1.0,0
probe_mse,2019-12-31,20260911,0,0.6922242824846752,0.127474173585118,0.0,0
probe_mse,2019-12-31,20260911,1,0.6408145582415772,0.008525770893817463,1.0,0
probe_mse,2019-12-31,20260911,2,0.6404745745158635,0.00018734473418446175,1.0,0
probe_mse,2019-12-31,20260911,3,0.640474407459944,1.0374124477454012e-07,1.0,0
probe_mse,2019-12-31,20260911,4,0.6404744074598938,3.190904571820363e-14,1.0,0
probe_mse,2019-12-31,20260912,0,0.6922242824846752,0.09278631297893165,0.0,0
probe_mse,2019-12-31,20260912,1,0.6584119955815949,0.005606076822329063,1.0,0
probe_mse,2019-12-31,20260912,2,0.6582563978011673,8.00784608799228e-05,1.0,0
probe_mse,2019-12-31,20260912,3,0.6582563662881769,1.7655731003617982e-08,1.0,0
probe_mse,2019-12-31,20260912,4,0.6582563662881753,8.52291327790855e-16,1.0,0
probe_bce,2017-12-31,20260910,0,0.6923258407995493,0.1232986549603109,0.0,0
probe_bce,2017-12-31,20260910,1,0.6532296566617922,0.005136772360899781,1.0,0
probe_bce,2017-12-31,20260910,2,0.6531233174968243,4.774557005576569e-05,1.0,0
probe_bce,2017-12-31,20260910,3,0.6531233074108462,4.901247640056762e-09,1.0,0
probe_bce,2017-12-31,20260910,4,0.6531233074108462,6.862999751833243e-17,1.0,0
probe_bce,2017-12-31,20260911,0,0.6923258407995493,0.09007065243078029,0.0,0
probe_bce,2017-12-31,20260911,1,0.6644987968383019,0.002854647657730242,1.0,0
probe_bce,2017-12-31,20260911,2,0.6644543597137405,1.40535571670384e-05,1.0,0
probe_bce,2017-12-31,20260911,3,0.66445435839699,4.1986844014595126e-10,1.0,0
probe_bce,2017-12-31,20260912,0,0.6923258407995493,0.10564293573106433,0.0,0
probe_bce,2017-12-31,20260912,1,0.6483677114492596,0.0053872661110021935,1.0,0
probe_bce,2017-12-31,20260912,2,0.6481917742875306,6.035560230128719e-05,1.0,0
