family,cutoff,seed,iteration,objective,gradient_inf,last_step,last_backtracks
probe_bce,2017-12-31,20260912,3,0.6481917472210723,9.353595540034093e-09,1.0,0
probe_bce,2017-12-31,20260912,4,0.6481917472210715,2.5804011705155006e-16,1.0,0
probe_bce,2018-12-31,20260910,0,0.6928966339915423,0.05053962952283627,0.0,0
probe_bce,2018-12-31,20260910,1,0.6802924544245267,0.0007616942082121208,1.0,0
probe_bce,2018-12-31,20260910,2,0.6802895824164291,6.15632827467925e-07,1.0,0
probe_bce,2018-12-31,20260910,3,0.6802895824145162,4.3193134615857054e-13,1.0,0
probe_bce,2018-12-31,20260911,0,0.6928966339915423,0.07313349571180541,0.0,0
probe_bce,2018-12-31,20260911,1,0.6737602889140621,0.0018163412758012082,1.0,0
probe_bce,2018-12-31,20260911,2,0.673746449134833,4.071227139000773e-06,1.0,0
probe_bce,2018-12-31,20260911,3,0.6737464490546998,2.4588827176631745e-11,1.0,0
probe_bce,2018-12-31,20260912,0,0.6928966339915423,0.0642236450615531,0.0,0
probe_bce,2018-12-31,20260912,1,0.6727224065739601,0.0018771635691941801,1.0,0
probe_bce,2018-12-31,20260912,2,0.6727029163707059,5.713018366659828e-06,1.0,0
probe_bce,2018-12-31,20260912,3,0.67270291618606,5.767946840637417e-11,1.0,0
probe_bce,2019-12-31,20260910,0,0.6922242824846752,0.08325541538769327,0.0,0
probe_bce,2019-12-31,20260910,1,0.6624462461720231,0.003037150188611072,1.0,0
probe_bce,2019-12-31,20260910,2,0.6623999401695876,1.4652959866115825e-05,1.0,0
probe_bce,2019-12-31,20260910,3,0.662399938935297,4.3992448789734184e-10,1.0,0
probe_bce,2019-12-31,20260911,0,0.6922242824846752,0.1270232058378977,0.0,0
probe_bce,2019-12-31,20260911,1,0.6511409560814526,0.008057437414554298,1.0,0
probe_bce,2019-12-31,20260911,2,0.6509189276300061,0.00016296415425751093,1.0,0
probe_bce,2019-12-31,20260911,3,0.6509188349557606,7.735886338390736e-08,1.0,0
probe_bce,2019-12-31,20260911,4,0.6509188349557399,1.757849508315923e-14,1.0,0
probe_bce,2019-12-31,20260912,0,0.6922242824846752,0.048511651457304114,0.0,0
probe_bce,2019-12-31,20260912,1,0.6739639236644558,0.0013387110500337955,1.0,0
probe_bce,2019-12-31,20260912,2,0.6739499978946251,3.61903856034038e-06,1.0,0
probe_bce,2019-12-31,20260912,3,0.6739499978066953,2.5794873764642227e-11,1.0,0
