h,method,year,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
1,mse_5y_e10.add.U,2023,242,119,0.49173553719008267,0.4816501198219788,0.4539541252995549,0.2607569753018315,0.7151975723083437,0.47520661157024796,0.2975206611570248,0.46065500356810196,0.07208196752679157,0.3042731900230487,0.6363074304760722
1,mse_5y_e10.add.U,2024,242,135,0.5578512396694215,0.558208649313384,0.5965703354512537,0.24435149213926116,0.6818350266478218,0.49173553719008267,0.5206611570247934,0.509311796550746,0.05817453598112036,0.4012222048995093,0.6731135783110992
1,mse_5y_e10.add.U,2025,243,116,0.4773662551440329,0.47553537544049884,0.4627270262943887,0.25591818780398434,0.7051715992509042,0.5102880658436214,0.588477366255144,0.5071401459570178,0.04706080581835338,0.3556505629582827,0.6187100557747655
1,mse_5y_e10.add.U,2026,170,91,0.5352941176470588,0.5352941176470588,0.5446366782006921,0.24928959045836394,0.6917877007385278,0.5,0.6588235294117647,0.5159633413096695,0.03925630810084266,0.42233323724115374,0.6207652528671137
1,mse_5y_e10.add.W,2023,242,120,0.49586776859504134,0.48435467305717217,0.46011639849366653,0.26200728340757773,0.7181978373398423,0.47520661157024796,0.26859504132231404,0.4407422620510577,0.07787578598416679,0.27464023697663925,0.6159264170899771
1,mse_5y_e10.add.W,2024,242,136,0.5619834710743802,0.5613172098107536,0.5758693721390995,0.24630402626173173,0.6858139343762233,0.49173553719008267,0.45867768595041325,0.49985914587690905,0.0582140081650292,0.3962096630845446,0.660770489372214
1,mse_5y_e10.add.W,2025,243,118,0.48559670781893005,0.48343046896177827,0.4608294930875576,0.256845646335099,0.7070948185589992,0.5102880658436214,0.6049382716049383,0.5094927316657477,0.04843869200062617,0.3574041717230645,0.6420225422240192
1,mse_5y_e10.add.W,2026,170,95,0.5588235294117647,0.5588235294117647,0.5330103806228373,0.25054313220482377,0.6943212766861009,0.5,0.6470588235294118,0.5167472573362528,0.040306845312252,0.4237203076129048,0.6235028220864773
1,mse_5y_e10.add.I,2023,242,119,0.49173553719008267,0.4816501198219788,0.45388565559739813,0.2608399244931875,0.7153900363081351,0.47520661157024796,0.2975206611570248,0.45771924918167917,0.07201603478355438,0.3016448314349827,0.633455130454916
1,mse_5y_e10.add.I,2024,242,135,0.5578512396694215,0.5575254492040719,0.5964336954293913,0.24415762992900278,0.681439312836828,0.49173553719008267,0.4793388429752066,0.5024869235983441,0.05824646410225805,0.39452357068707816,0.6670081270859215
1,mse_5y_e10.add.I,2025,243,114,0.4691358024691358,0.46797912713472484,0.46293033342369205,0.2559615807776945,0.7052577819595224,0.5102880658436214,0.5555555555555556,0.5028698856690864,0.04704707503845667,0.35167993884380194,0.6146674759911654
1,mse_5y_e10.add.I,2026,170,91,0.5352941176470588,0.5352941176470588,0.5446366782006921,0.24941533328226642,0.6920498997097133,0.5,0.6705882352941176,0.519567368410136,0.03922359234584569,0.42591993843269016,0.6240758041192763
1,mse_5y_e10.add.S,2023,242,120,0.49586776859504134,0.4847654912701129,0.4603218076001369,0.26183832188170997,0.7177992964692725,0.47520661157024796,0.2768595041322314,0.44363430189841907,0.0779790748759595,0.2771254165403101,0.6188415699072601
1,mse_5y_e10.add.S,2024,242,136,0.5619834710743802,0.5620004099200656,0.5758010521281683,0.2464584002826019,0.6861343304926971,0.49173553719008267,0.5,0.5066740809667022,0.058131113217538694,0.402910719606097,0.666836707230817
1,mse_5y_e10.add.S,2025,243,117,0.48148148148148145,0.4783816752507455,0.4603551097858498,0.25685937092749783,0.7071282966148106,0.5102880658436214,0.6502057613168725,0.5137500783098675,0.0484393880323051,0.36140336216131286,0.6458184179149812
1,mse_5y_e10.add.S,2026,170,92,0.5411764705882353,0.5411764705882354,0.5330103806228373,0.25043720299565664,0.694097419736587,0.5,0.6058823529411764,0.51313986427325,0.04033624335669483,0.4201419550362475,0.6201454712529274
1,mse_5y_e10.vol.U,2023,242,114,0.47107438016528924,0.46032180760013697,0.4490927764464225,0.2592733039884399,0.7120651330927119,0.47520661157024796,0.28512396694214875,0.45974239073630363,0.06257182505225067,0.32775985757062415,0.6141280635603628
