h,method,bin_lower,bin_upper,n,mean_probability,actual_up_frequency
1,mse_5y_e10.add.U,0.0,0.1,0,,
1,mse_5y_e10.add.U,0.1,0.2,0,,
1,mse_5y_e10.add.U,0.2,0.3,0,,
1,mse_5y_e10.add.U,0.3,0.4,62,0.3653032113284512,0.4838709677419355
1,mse_5y_e10.add.U,0.4,0.5,382,0.46214503737981283,0.4790575916230366
1,mse_5y_e10.add.U,0.5,0.6,423,0.5384676298990058,0.5153664302600472
1,mse_5y_e10.add.U,0.6,0.7,30,0.6240259430076142,0.4
1,mse_5y_e10.add.U,0.7,0.8,0,,
1,mse_5y_e10.add.U,0.8,0.9,0,,
1,mse_5y_e10.add.U,0.9,1.0,0,,
1,mse_5y_e10.add.W,0.0,0.1,0,,
1,mse_5y_e10.add.W,0.1,0.2,0,,
1,mse_5y_e10.add.W,0.2,0.3,5,0.2801975985094407,0.4
1,mse_5y_e10.add.W,0.3,0.4,86,0.359840387805785,0.5116279069767442
1,mse_5y_e10.add.W,0.4,0.5,373,0.4612490184440789,0.46380697050938335
1,mse_5y_e10.add.W,0.5,0.6,405,0.5369366779512815,0.5234567901234568
1,mse_5y_e10.add.W,0.6,0.7,28,0.6223860166697326,0.42857142857142855
1,mse_5y_e10.add.W,0.7,0.8,0,,
1,mse_5y_e10.add.W,0.8,0.9,0,,
1,mse_5y_e10.add.W,0.9,1.0,0,,
1,mse_5y_e10.add.I,0.0,0.1,0,,
1,mse_5y_e10.add.I,0.1,0.2,0,,
1,mse_5y_e10.add.I,0.2,0.3,0,,
1,mse_5y_e10.add.I,0.3,0.4,67,0.3650013935859079,0.4626865671641791
1,mse_5y_e10.add.I,0.4,0.5,393,0.4610010981649119,0.4860050890585242
1,mse_5y_e10.add.I,0.5,0.6,409,0.5375930076311946,0.5134474327628362
1,mse_5y_e10.add.I,0.6,0.7,28,0.6210594139232865,0.39285714285714285
1,mse_5y_e10.add.I,0.7,0.8,0,,
1,mse_5y_e10.add.I,0.8,0.9,0,,
1,mse_5y_e10.add.I,0.9,1.0,0,,
1,mse_5y_e10.add.S,0.0,0.1,0,,
1,mse_5y_e10.add.S,0.1,0.2,0,,
1,mse_5y_e10.add.S,0.2,0.3,5,0.28266232834367816,0.4
1,mse_5y_e10.add.S,0.3,0.4,83,0.3613450909996472,0.5301204819277109
1,mse_5y_e10.add.S,0.4,0.5,360,0.4625597472827602,0.4638888888888889
1,mse_5y_e10.add.S,0.5,0.6,417,0.5375512185542554,0.5203836930455635
1,mse_5y_e10.add.S,0.6,0.7,32,0.6238860392344492,0.40625
1,mse_5y_e10.add.S,0.7,0.8,0,,
1,mse_5y_e10.add.S,0.8,0.9,0,,
1,mse_5y_e10.add.S,0.9,1.0,0,,
1,mse_5y_e10.vol.U,0.0,0.1,0,,
1,mse_5y_e10.vol.U,0.1,0.2,0,,
1,mse_5y_e10.vol.U,0.2,0.3,0,,
1,mse_5y_e10.vol.U,0.3,0.4,62,0.3729353400443272,0.46774193548387094
1,mse_5y_e10.vol.U,0.4,0.5,401,0.46310080154266503,0.48877805486284287
1,mse_5y_e10.vol.U,0.5,0.6,416,0.5338868808349416,0.5072115384615384
1,mse_5y_e10.vol.U,0.6,0.7,18,0.6256466402366944,0.3888888888888889
1,mse_5y_e10.vol.U,0.7,0.8,0,,
1,mse_5y_e10.vol.U,0.8,0.9,0,,
1,mse_5y_e10.vol.U,0.9,1.0,0,,
1,mse_5y_e10.vol.W,0.0,0.1,0,,
1,mse_5y_e10.vol.W,0.1,0.2,0,,
1,mse_5y_e10.vol.W,0.2,0.3,4,0.2923799447946389,0.25
1,mse_5y_e10.vol.W,0.3,0.4,95,0.362818492263165,0.5157894736842106
1,mse_5y_e10.vol.W,0.4,0.5,385,0.46257674251408054,0.4727272727272727
1,mse_5y_e10.vol.W,0.5,0.6,390,0.5335914532139703,0.5128205128205128
1,mse_5y_e10.vol.W,0.6,0.7,23,0.6241579748224565,0.4782608695652174
1,mse_5y_e10.vol.W,0.7,0.8,0,,
1,mse_5y_e10.vol.W,0.8,0.9,0,,
1,mse_5y_e10.vol.W,0.9,1.0,0,,
1,mse_5y_e10.vol.I,0.0,0.1,0,,
1,mse_5y_e10.vol.I,0.1,0.2,0,,
1,mse_5y_e10.vol.I,0.2,0.3,0,,
1,mse_5y_e10.vol.I,0.3,0.4,67,0.3716875174545676,0.4626865671641791
1,mse_5y_e10.vol.I,0.4,0.5,413,0.46180974571117156,0.48426150121065376
1,mse_5y_e10.vol.I,0.5,0.6,400,0.5327899775774446,0.5125
1,mse_5y_e10.vol.I,0.6,0.7,17,0.6212980434015422,0.4117647058823529
1,mse_5y_e10.vol.I,0.7,0.8,0,,
1,mse_5y_e10.vol.I,0.8,0.9,0,,
1,mse_5y_e10.vol.I,0.9,1.0,0,,
1,mse_5y_e10.vol.S,0.0,0.1,0,,
1,mse_5y_e10.vol.S,0.1,0.2,0,,
1,mse_5y_e10.vol.S,0.2,0.3,2,0.28840382342444026,0.5
1,mse_5y_e10.vol.S,0.3,0.4,94,0.3635501820434669,0.5
1,mse_5y_e10.vol.S,0.4,0.5,381,0.4648465626331322,0.46981627296587924
1,mse_5y_e10.vol.S,0.5,0.6,392,0.5349062142812252,0.5229591836734694
1,mse_5y_e10.vol.S,0.6,0.7,28,0.6249437881122245,0.39285714285714285
1,mse_5y_e10.vol.S,0.7,0.8,0,,
1,mse_5y_e10.vol.S,0.8,0.9,0,,
1,mse_5y_e10.vol.S,0.9,1.0,0,,
1,mse_5y_e10.order_joint.U,0.0,0.1,0,,
1,mse_5y_e10.order_joint.U,0.1,0.2,0,,
1,mse_5y_e10.order_joint.U,0.2,0.3,0,,
1,mse_5y_e10.order_joint.U,0.3,0.4,60,0.3730667321983123,0.5
