h,method,n,mse,accuracy,predicted_sd,actual_sd,correlation
1,mse_3y_e10.native_return,897,0.001283947448299304,0.4927536231884058,0.0007488100090995431,0.03578179145240549,-0.004290968757629489
1,mse_3y_e20.native_return,897,0.0012831039918304804,0.4927536231884058,0.0006803111755289137,0.03578179145240549,0.013832670002912493
1,mse_5y_e10.native_return,897,0.001281400573777395,0.4938684503901895,0.00020168739138171077,0.03578179145240549,0.03485655932132917
1,mse_5y_e20.native_return,897,0.001282450535371098,0.4927536231884058,0.000275493337539956,0.03578179145240549,0.023343110455626648
1,mse_q2026_e10.native_return,897,0.0012830365411615108,0.4938684503901895,0.0003212003211956471,0.03578179145240549,-0.05089132453212836
1,mse_q2026_e20.native_return,897,0.0012829289166359586,0.4927536231884058,0.0004234877706039697,0.03578179145240549,-0.004934000207937542
5,mse_3y_e10.native_return,893,0.007713322826457666,0.47592385218365063,0.0033697946928441525,0.08733152126123957,0.018319699016384194
5,mse_3y_e20.native_return,893,0.0077180508992143815,0.5375139977603584,0.007126321084797382,0.08733152126123957,0.06369181986524612
5,mse_5y_e10.native_return,893,0.007677002384136186,0.5128779395296752,0.0007639057585038245,0.08733152126123957,0.0525468668549598
5,mse_5y_e20.native_return,893,0.007847227837691602,0.5341545352743561,0.011484252288937569,0.08733152126123957,-0.00296863116188789
5,mse_q2026_e10.native_return,893,0.007696346682120427,0.5128779395296752,0.0015082490863278508,0.08733152126123957,-0.057795516471616314
5,mse_q2026_e20.native_return,893,0.0077889152397890085,0.5408734602463606,0.012015281245112419,0.08733152126123957,0.023144929584154268
