h,objective,years,cutoff,cadence,train_n,lower,last_label,last_anchor
1,mse,5,2022-12-31,annual,819,2018-01-01,2022-12-30,2022-12-29
1,mse,5,2023-12-31,annual,1028,2019-01-01,2023-12-29,2023-12-28
1,mse,5,2024-12-31,annual,1211,2020-01-01,2024-12-31,2024-12-30
1,mse,5,2025-12-31,annual,1211,2021-01-01,2025-12-31,2025-12-30
1,bce,5,2022-12-31,annual,819,2018-01-01,2022-12-30,2022-12-29
1,bce,5,2023-12-31,annual,1028,2019-01-01,2023-12-29,2023-12-28
1,bce,5,2024-12-31,annual,1211,2020-01-01,2024-12-31,2024-12-30
1,bce,5,2025-12-31,annual,1211,2021-01-01,2025-12-31,2025-12-30
1,mse,3,2022-12-31,annual,727,2020-01-01,2022-12-30,2022-12-29
1,mse,3,2023-12-31,annual,726,2021-01-01,2023-12-29,2023-12-28
1,mse,3,2024-12-31,annual,725,2022-01-01,2024-12-31,2024-12-30
1,mse,3,2025-12-31,annual,726,2023-01-01,2025-12-31,2025-12-30
1,mse,5,2026-03-31,quarterly_2026,1209,2021-04-01,2026-03-31,2026-03-30
1,mse,5,2026-06-30,quarterly_2026,1209,2021-07-01,2026-06-30,2026-06-29
5,mse,5,2022-12-31,annual,811,2018-01-01,2022-12-30,2022-12-23
5,mse,5,2023-12-31,annual,1024,2019-01-01,2023-12-29,2023-12-22
5,mse,5,2024-12-31,annual,1207,2020-01-01,2024-12-31,2024-12-24
5,mse,5,2025-12-31,annual,1207,2021-01-01,2025-12-31,2025-12-24
5,bce,5,2022-12-31,annual,811,2018-01-01,2022-12-30,2022-12-23
5,bce,5,2023-12-31,annual,1024,2019-01-01,2023-12-29,2023-12-22
5,bce,5,2024-12-31,annual,1207,2020-01-01,2024-12-31,2024-12-24
5,bce,5,2025-12-31,annual,1207,2021-01-01,2025-12-31,2025-12-24
5,mse,3,2022-12-31,annual,723,2020-01-01,2022-12-30,2022-12-23
5,mse,3,2023-12-31,annual,722,2021-01-01,2023-12-29,2023-12-22
5,mse,3,2024-12-31,annual,721,2022-01-01,2024-12-31,2024-12-24
5,mse,3,2025-12-31,annual,722,2023-01-01,2025-12-31,2025-12-24
5,mse,5,2026-03-31,quarterly_2026,1205,2021-04-01,2026-03-31,2026-03-24
5,mse,5,2026-06-30,quarterly_2026,1205,2021-07-01,2026-06-30,2026-06-23
