h,control,block,n,delta_brier,ci_low,ci_high,p_two_sided,p_holm
1,frequency_5y,20,897,0.005015817267103885,0.0012034317487694983,0.009132105110442048,0.0131986801319868,0.0527947205279472
1,frequency_5y,40,897,0.005015817267103885,0.0009882324549709731,0.009564835756663167,0.022497750224977502,0.08999100089991001
1,market4_5y,20,897,0.004244963235001283,0.000742642692291313,0.008136839670294252,0.025297470252974703,0.07589241075892411
1,market4_5y,40,897,0.004244963235001283,0.0005555858652680454,0.008517069920670252,0.03569643035696431,0.10708929107089292
5,frequency_5y,20,893,0.014473912033806775,-0.0008515738772617007,0.03142850185700868,0.07889211078892111,0.11638836116388361
5,frequency_5y,40,893,0.014473912033806775,-0.0022833312126147123,0.032184128547921326,0.09929007099290071,0.1613838616138386
5,market4_5y,20,893,0.014050382923230659,-0.000114597922642542,0.02907268980487962,0.058194180581941805,0.11638836116388361
5,market4_5y,40,893,0.014050382923230659,-0.0013399404831155872,0.03022494438453741,0.0806919308069193,0.1613838616138386
