task,seed,epoch,feature_max_delta,native_max_delta,probability_max_delta,truncated_prediction_probability_delta,status
h1_mse_5y_2025-12-31,20260912,10,4.76837158203125e-07,5.587935447692871e-09,3.23143896185929e-06,8.744968238438844e-07,PASS
h1_mse_5y_2025-12-31,20260912,20,5.364418029785156e-07,9.778887033462524e-09,2.782643082732683e-06,9.382278204350669e-08,PASS
h1_bce_5y_2022-12-31,20260910,10,4.76837158203125e-07,1.1175870895385742e-08,3.8038080811819697e-06,3.622480402865058e-07,PASS
h1_bce_5y_2022-12-31,20260910,20,8.344650268554688e-07,9.313225746154785e-09,2.358560718729308e-06,1.0981047330882454e-06,PASS
h1_bce_5y_2022-12-31,20260911,10,4.76837158203125e-07,1.1175870895385742e-08,3.4622487420366e-06,3.3422431777729855e-07,PASS
h1_bce_5y_2022-12-31,20260911,20,5.960464477539062e-07,1.30385160446167e-08,2.8226166406408737e-06,2.078547925443708e-06,PASS
h1_bce_5y_2022-12-31,20260912,10,7.152557373046875e-07,7.450580596923828e-09,4.462515240777343e-06,1.2860804943226611e-07,PASS
h1_bce_5y_2022-12-31,20260912,20,5.960464477539062e-07,7.450580596923828e-09,2.5878912448540348e-06,3.412813358916189e-06,PASS
h1_bce_5y_2023-12-31,20260910,10,5.364418029785156e-07,1.4901161193847656e-08,3.1345204127841697e-06,1.6966006051166715e-06,PASS
h1_bce_5y_2023-12-31,20260910,20,6.556510925292969e-07,1.4901161193847656e-08,3.2492901475555946e-06,3.245331454126976e-07,PASS
h1_bce_5y_2023-12-31,20260911,10,5.960464477539062e-07,1.4901161193847656e-08,1.6211487188777518e-06,1.404489284206889e-06,PASS
h1_bce_5y_2023-12-31,20260911,20,5.960464477539062e-07,1.6763806343078613e-08,2.314347054332977e-06,1.228032571631843e-06,PASS
h1_bce_5y_2023-12-31,20260912,10,5.364418029785156e-07,1.1175870895385742e-08,2.5997791121001868e-06,2.519769815578776e-07,PASS
h1_bce_5y_2023-12-31,20260912,20,5.960464477539062e-07,1.4901161193847656e-08,2.2705932049560396e-06,4.475771138157114e-07,PASS
h1_bce_5y_2024-12-31,20260910,10,4.76837158203125e-07,1.1175870895385742e-08,2.851486060051478e-06,5.245932399589037e-08,PASS
h1_bce_5y_2024-12-31,20260910,20,4.172325134277344e-07,1.1175870895385742e-08,1.7448505331141284e-06,5.416733808161212e-07,PASS
h1_bce_5y_2024-12-31,20260911,10,5.364418029785156e-07,1.1175870895385742e-08,2.4379957671571972e-06,1.290523946373412e-06,PASS
h1_bce_5y_2024-12-31,20260911,20,4.76837158203125e-07,1.862645149230957e-08,2.5804925937178425e-06,5.341538729108919e-07,PASS
h1_bce_5y_2024-12-31,20260912,10,5.960464477539062e-07,7.450580596923828e-09,4.020840325635877e-06,1.4970699718785951e-06,PASS
h1_bce_5y_2024-12-31,20260912,20,6.556510925292969e-07,7.450580596923828e-09,2.6500420658437385e-06,1.2020741085305708e-06,PASS
h1_bce_5y_2025-12-31,20260910,10,4.172325134277344e-07,1.4901161193847656e-08,2.2392276997074134e-06,1.7612516391984911e-06,PASS
h1_bce_5y_2025-12-31,20260910,20,4.172325134277344e-07,1.4901161193847656e-08,1.1633136058897264e-06,1.60315285047119e-07,PASS
h1_bce_5y_2025-12-31,20260911,10,5.960464477539062e-07,1.4901161193847656e-08,1.552351613254288e-06,8.511588538429038e-07,PASS
h1_bce_5y_2025-12-31,20260911,20,4.76837158203125e-07,1.4901161193847656e-08,1.5003474581609666e-06,8.83876227764091e-08,PASS
h1_bce_5y_2025-12-31,20260912,10,5.960464477539062e-07,2.2351741790771484e-08,3.5564914421248872e-06,1.591423421543059e-06,PASS
h1_bce_5y_2025-12-31,20260912,20,5.364418029785156e-07,1.4901161193847656e-08,1.0798639829556755e-06,8.574789476800682e-07,PASS
h1_mse_3y_2022-12-31,20260910,10,4.6193599700927734e-07,5.587935447692871e-09,4.342158711367894e-06,3.1897784968926146e-09,PASS
h1_mse_3y_2022-12-31,20260910,20,5.960464477539062e-07,7.450580596923828e-09,2.141509176656342e-06,1.0893612719664603e-06,PASS
h1_mse_3y_2022-12-31,20260911,10,7.152557373046875e-07,9.313225746154785e-09,2.6358406937099232e-06,1.5945721952848046e-06,PASS
h1_mse_3y_2022-12-31,20260911,20,7.152557373046875e-07,1.0710209608078003e-08,2.7765248072908477e-06,1.4659887278556383e-06,PASS
h1_mse_3y_2022-12-31,20260912,10,4.76837158203125e-07,1.1175870895385742e-08,4.683611256606213e-06,7.2175255105833e-08,PASS
h1_mse_3y_2022-12-31,20260912,20,5.960464477539062e-07,1.30385160446167e-08,1.96110288608331e-06,1.418063078961751e-06,PASS
h1_mse_3y_2023-12-31,20260910,10,6.556510925292969e-07,6.984919309616089e-09,1.9917413672798645e-06,1.1414243145102532e-06,PASS
h1_mse_3y_2023-12-31,20260910,20,5.960464477539062e-07,7.450580596923828e-09,6.3841553851751165e-06,6.411185796695307e-07,PASS
h1_mse_3y_2023-12-31,20260911,10,5.364418029785156e-07,8.381903171539307e-09,3.0948733755753466e-06,1.1709163928452782e-06,PASS
h1_mse_3y_2023-12-31,20260911,20,5.960464477539062e-07,1.210719347000122e-08,2.077169723169181e-06,4.917636643453349e-07,PASS
h1_mse_3y_2023-12-31,20260912,10,7.152557373046875e-07,3.725290298461914e-09,2.029626241351057e-06,6.201855178300519e-07,PASS
h1_mse_3y_2023-12-31,20260912,20,5.960464477539062e-07,1.1175870895385742e-08,3.743017084500977e-06,5.213000897064113e-07,PASS
h1_mse_3y_2024-12-31,20260910,10,5.364418029785156e-07,6.51925802230835e-09,2.822131320301402e-06,3.858519213584266e-07,PASS
h1_mse_3y_2024-12-31,20260910,20,5.364418029785156e-07,1.0244548320770264e-08,1.3081371570411449e-06,9.98592629974926e-07,PASS
h1_mse_3y_2024-12-31,20260911,10,4.76837158203125e-07,8.847564458847046e-09,1.7070062834911859e-06,1.1072634549802451e-06,PASS
h1_mse_3y_2024-12-31,20260911,20,5.066394805908203e-07,1.1175870895385742e-08,1.5267366143545402e-06,1.0835306447076753e-06,PASS
h1_mse_3y_2024-12-31,20260912,10,8.344650268554688e-07,7.450580596923828e-09,3.982293822479832e-06,1.3773721231902236e-06,PASS
h1_mse_3y_2024-12-31,20260912,20,5.364418029785156e-07,6.51925802230835e-09,2.102811514304026e-06,3.700451078891831e-07,PASS
h1_mse_3y_2025-12-31,20260910,10,5.066394805908203e-07,9.313225746154785e-09,3.2408233364700223e-06,3.5674400328256084e-06,PASS
h1_mse_3y_2025-12-31,20260910,20,5.364418029785156e-07,9.313225746154785e-09,3.009382001428751e-06,3.5043019686042953e-07,PASS
h1_mse_3y_2025-12-31,20260911,10,5.364418029785156e-07,6.984919309616089e-09,2.7403163803119135e-06,4.0888616359424645e-07,PASS
h1_mse_3y_2025-12-31,20260911,20,4.76837158203125e-07,1.257285475730896e-08,1.1835873466869984e-06,3.7718443884893205e-07,PASS
h1_mse_3y_2025-12-31,20260912,10,5.960464477539062e-07,7.450580596923828e-09,4.103836507618475e-06,1.7505843555865042e-06,PASS
h1_mse_3y_2025-12-31,20260912,20,5.960464477539062e-07,9.313225746154785e-09,2.400337670294128e-06,1.080563879596319e-06,PASS
h1_mse_5y_2026-03-31,20260910,10,5.662441253662109e-07,4.6566128730773926e-09,3.763650612664815e-06,1.4146084865718223e-06,PASS
h1_mse_5y_2026-03-31,20260910,20,4.172325134277344e-07,7.916241884231567e-09,1.5483409043781649e-06,5.28403407806799e-07,PASS
h1_mse_5y_2026-03-31,20260911,10,5.960464477539062e-07,1.0244548320770264e-08,1.8996792378600524e-06,1.323853108026185e-06,PASS
h1_mse_5y_2026-03-31,20260911,20,5.960464477539062e-07,1.0710209608078003e-08,1.4846468124329881e-06,1.0796523752798493e-07,PASS
h1_mse_5y_2026-03-31,20260912,10,5.066394805908203e-07,6.51925802230835e-09,1.6690546412734264e-06,1.258002425452709e-06,PASS
h1_mse_5y_2026-03-31,20260912,20,4.76837158203125e-07,9.313225746154785e-09,2.1321450480171755e-06,2.5976561957019584e-08,PASS
h1_mse_5y_2026-06-30,20260910,10,5.960464477539062e-07,8.381903171539307e-09,2.506262148371796e-06,7.84575523882225e-07,PASS
h1_mse_5y_2026-06-30,20260910,20,5.364418029785156e-07,6.51925802230835e-09,1.6965004965285857e-06,1.4614701915327544e-07,PASS
h1_mse_5y_2026-06-30,20260911,10,5.960464477539062e-07,7.450580596923828e-09,2.920737668554718e-06,3.2004640615479474e-07,PASS
h1_mse_5y_2026-06-30,20260911,20,5.960464477539062e-07,1.30385160446167e-08,1.3055717537069356e-06,4.747439337204895e-07,PASS
h1_mse_5y_2026-06-30,20260912,10,4.76837158203125e-07,9.313225746154785e-09,2.696561178239243e-06,7.276363224728577e-07,PASS
h1_mse_5y_2026-06-30,20260912,20,5.066394805908203e-07,1.1641532182693481e-08,1.5416420404146258e-06,3.3631073698137115e-07,PASS
h5_mse_5y_2022-12-31,20260910,10,4.172325134277344e-07,1.257285475730896e-08,3.0492020622885363e-06,9.080336754729856e-08,PASS
h5_mse_5y_2022-12-31,20260910,20,6.556510925292969e-07,8.940696716308594e-08,6.115556169805636e-07,1.1647393838298825e-07,PASS
h5_mse_5y_2022-12-31,20260911,10,5.364418029785156e-07,9.313225746154785e-09,2.8660054825491166e-06,5.604413093607263e-07,PASS
h5_mse_5y_2022-12-31,20260911,20,5.066394805908203e-07,5.960464477539063e-08,1.0215168551042098e-06,1.9646852200683185e-07,PASS
h5_mse_5y_2022-12-31,20260912,10,4.76837158203125e-07,8.381903171539307e-09,2.7667913633511176e-06,4.976557202995835e-07,PASS
h5_mse_5y_2022-12-31,20260912,20,4.76837158203125e-07,9.313225746154785e-09,9.90461100247586e-07,5.511012750591959e-07,PASS
h5_mse_5y_2023-12-31,20260910,10,4.917383193969727e-07,1.210719347000122e-08,1.8062538738594647e-06,1.9870500455043683e-06,PASS
h5_mse_5y_2023-12-31,20260910,20,8.344650268554688e-07,1.4901161193847656e-07,2.2311030245525387e-07,4.8278199438200886e-08,PASS
h5_mse_5y_2023-12-31,20260911,10,5.364418029785156e-07,1.30385160446167e-08,5.212324200476459e-06,2.6167650879482807e-06,PASS
h5_mse_5y_2023-12-31,20260911,20,1.0728836059570312e-06,7.450580596923828e-08,2.7832662091720195e-07,1.5922343110652548e-08,PASS
h5_mse_5y_2023-12-31,20260912,10,4.172325134277344e-07,7.450580596923828e-09,3.7716097780748914e-06,1.0053533230358624e-06,PASS
h5_mse_5y_2023-12-31,20260912,20,4.172325134277344e-07,1.4901161193847656e-08,1.7203748026717314e-06,1.234451965315131e-06,PASS
h5_mse_5y_2024-12-31,20260910,10,3.5762786865234375e-07,7.450580596923828e-09,2.7341629647015253e-06,2.4954962505319145e-06,PASS
h5_mse_5y_2024-12-31,20260910,20,3.0994415283203125e-06,4.172325134277344e-07,3.2287718487733486e-07,1.6936807711864788e-07,PASS
h5_mse_5y_2024-12-31,20260911,10,5.364418029785156e-07,8.381903171539307e-09,2.984310746245722e-06,9.109920251493264e-07,PASS
h5_mse_5y_2024-12-31,20260911,20,2.115964889526367e-06,2.384185791015625e-07,2.997981981556208e-07,3.5178397972401854e-09,PASS
h5_mse_5y_2024-12-31,20260912,10,4.76837158203125e-07,6.984919309616089e-09,3.1979834964612763e-06,9.9880196546831e-07,PASS
h5_mse_5y_2024-12-31,20260912,20,9.5367431640625e-07,7.450580596923828e-08,2.2473922517418643e-07,2.7925182943810967e-08,PASS
h5_mse_5y_2025-12-31,20260910,10,4.470348358154297e-07,1.210719347000122e-08,1.7520527035852496e-06,1.7383549488769745e-08,PASS
h5_mse_5y_2025-12-31,20260910,20,9.5367431640625e-07,1.564621925354004e-07,3.144412994426915e-07,1.726492504516841e-08,PASS
h5_mse_5y_2025-12-31,20260911,10,4.76837158203125e-07,1.210719347000122e-08,3.283403026022036e-06,3.9857780032015455e-07,PASS
h5_mse_5y_2025-12-31,20260911,20,7.748603820800781e-07,1.1920928955078125e-07,2.398349173704517e-07,1.514674290437057e-07,PASS
h5_mse_5y_2025-12-31,20260912,10,4.76837158203125e-07,3.725290298461914e-09,2.4667072100470477e-06,1.492937872882294e-06,PASS
h5_mse_5y_2025-12-31,20260912,20,3.5762786865234375e-07,6.51925802230835e-09,1.0894718243115165e-06,1.1328196918292122e-06,PASS
h5_bce_5y_2022-12-31,20260910,10,4.76837158203125e-07,7.450580596923828e-09,4.062377635116743e-06,1.7526350898355858e-06,PASS
h5_bce_5y_2022-12-31,20260910,20,3.5762786865234375e-07,1.4901161193847656e-08,2.232260471135561e-06,1.3062964064891602e-06,PASS
h5_bce_5y_2022-12-31,20260911,10,5.364418029785156e-07,9.313225746154785e-09,3.1012221128334794e-06,1.93830053063504e-06,PASS
h5_bce_5y_2022-12-31,20260911,20,4.76837158203125e-07,9.313225746154785e-09,2.25884232302187e-06,1.0736444263637068e-06,PASS
h5_bce_5y_2022-12-31,20260912,10,6.556510925292969e-07,9.313225746154785e-09,5.321851300199576e-06,2.158695590392945e-06,PASS
h5_bce_5y_2022-12-31,20260912,20,3.2782554626464844e-07,7.450580596923828e-09,2.605509326569777e-06,9.23774613470485e-08,PASS
h5_bce_5y_2023-12-31,20260910,10,4.6193599700927734e-07,9.313225746154785e-09,3.51685298094484e-06,2.3219006213270887e-06,PASS
h5_bce_5y_2023-12-31,20260910,20,4.172325134277344e-07,2.0489096641540527e-08,1.0567095757307854e-06,7.704604464420228e-07,PASS
h5_bce_5y_2023-12-31,20260911,10,4.76837158203125e-07,1.1175870895385742e-08,2.92071681684547e-06,3.7495434834777797e-07,PASS
h5_bce_5y_2023-12-31,20260911,20,4.76837158203125e-07,2.2351741790771484e-08,7.258226255579814e-07,2.0285535018427225e-07,PASS
h5_bce_5y_2023-12-31,20260912,10,3.5762786865234375e-07,5.587935447692871e-09,3.6344718120084885e-06,2.502567685969126e-06,PASS
h5_bce_5y_2023-12-31,20260912,20,4.172325134277344e-07,7.450580596923828e-09,1.21859061924523e-06,2.77201110954195e-07,PASS
h5_bce_5y_2024-12-31,20260910,10,4.172325134277344e-07,1.1175870895385742e-08,5.215836381911032e-06,3.622849169548914e-07,PASS
h5_bce_5y_2024-12-31,20260910,20,4.76837158203125e-07,3.725290298461914e-08,8.614474698021013e-07,4.414141829833795e-09,PASS
h5_bce_5y_2024-12-31,20260911,10,4.76837158203125e-07,1.1175870895385742e-08,3.306555304227743e-06,1.9179540650116067e-06,PASS
h5_bce_5y_2024-12-31,20260911,20,4.76837158203125e-07,2.9802322387695312e-08,7.22857308121938e-07,2.737637664340653e-07,PASS
h5_bce_5y_2024-12-31,20260912,10,4.76837158203125e-07,7.450580596923828e-09,5.670542726321504e-06,2.3474506947174234e-06,PASS
h5_bce_5y_2024-12-31,20260912,20,4.76837158203125e-07,1.4901161193847656e-08,6.969610802376458e-06,3.0321171609060116e-06,PASS
h5_bce_5y_2025-12-31,20260910,10,3.5762786865234375e-07,1.0244548320770264e-08,3.955346187134445e-06,2.8859653788959605e-07,PASS
h5_bce_5y_2025-12-31,20260910,20,4.3213367462158203e-07,2.6542693376541138e-08,1.4904282080729914e-06,8.278344856282871e-07,PASS
h5_bce_5y_2025-12-31,20260911,10,5.960464477539062e-07,1.0244548320770264e-08,5.052293756135917e-06,3.7387680051903516e-07,PASS
h5_bce_5y_2025-12-31,20260911,20,4.76837158203125e-07,2.2351741790771484e-08,1.0990777782327044e-06,5.097850521718073e-07,PASS
h5_bce_5y_2025-12-31,20260912,10,5.364418029785156e-07,9.313225746154785e-09,2.622820458264563e-06,4.3854370956886157e-07,PASS
h5_bce_5y_2025-12-31,20260912,20,3.5762786865234375e-07,9.313225746154785e-09,3.2540377972178902e-06,7.12187540941045e-07,PASS
h5_mse_3y_2022-12-31,20260910,10,5.21540641784668e-07,9.313225746154785e-09,6.703892086568075e-06,5.63841136025367e-06,PASS
h5_mse_3y_2022-12-31,20260910,20,7.152557373046875e-07,8.940696716308594e-08,6.359108027376159e-07,5.8065242947158424e-08,PASS
h5_mse_3y_2022-12-31,20260911,10,5.960464477539062e-07,7.450580596923828e-09,3.8561518430624275e-06,2.4207896045513877e-06,PASS
h5_mse_3y_2022-12-31,20260911,20,6.556510925292969e-07,6.705522537231445e-08,4.174986781846357e-07,3.8072527575039317e-08,PASS
h5_mse_3y_2022-12-31,20260912,10,4.172325134277344e-07,5.587935447692871e-09,3.6047829218843752e-06,1.7011550488277294e-06,PASS
h5_mse_3y_2022-12-31,20260912,20,3.5762786865234375e-07,1.30385160446167e-08,2.9487887232004795e-06,1.0719482866905494e-06,PASS
h5_mse_3y_2023-12-31,20260910,10,4.172325134277344e-07,4.6566128730773926e-09,3.297933545032272e-06,7.845967927577746e-07,PASS
h5_mse_3y_2023-12-31,20260910,20,4.76837158203125e-07,1.6763806343078613e-08,1.2989860966872158e-06,5.379403714700359e-07,PASS
h5_mse_3y_2023-12-31,20260911,10,5.364418029785156e-07,1.6298145055770874e-08,6.061588269545837e-06,6.665240313008525e-07,PASS
h5_mse_3y_2023-12-31,20260911,20,6.556510925292969e-07,8.195638656616211e-08,1.6307207317822758e-07,3.081990895825726e-08,PASS
h5_mse_3y_2023-12-31,20260912,10,4.172325134277344e-07,7.450580596923828e-09,4.619150005769068e-06,6.27156630850223e-07,PASS
h5_mse_3y_2023-12-31,20260912,20,5.364418029785156e-07,3.166496753692627e-08,1.1652443155929504e-06,4.05850919094064e-07,PASS
h5_mse_3y_2024-12-31,20260910,10,4.76837158203125e-07,6.984919309616089e-09,3.1150124423229286e-06,3.9540982710306594e-07,PASS
h5_mse_3y_2024-12-31,20260910,20,8.344650268554688e-07,1.341104507446289e-07,2.782950643820392e-07,1.076579736469796e-07,PASS
h5_mse_3y_2024-12-31,20260911,10,5.662441253662109e-07,8.381903171539307e-09,4.530590590579031e-06,4.679333505896999e-06,PASS
h5_mse_3y_2024-12-31,20260911,20,1.2516975402832031e-06,1.2665987014770508e-07,2.7097051524815896e-07,5.0806965190552944e-08,PASS
h5_mse_3y_2024-12-31,20260912,10,4.76837158203125e-07,5.587935447692871e-09,4.890636094101453e-06,6.561328746990114e-08,PASS
h5_mse_3y_2024-12-31,20260912,20,4.172325134277344e-07,9.313225746154785e-09,3.40852557889626e-06,5.997775355814916e-07,PASS
h5_mse_3y_2025-12-31,20260910,10,5.066394805908203e-07,7.450580596923828e-09,2.8563051978069964e-06,1.044321785048652e-06,PASS
h5_mse_3y_2025-12-31,20260910,20,4.76837158203125e-07,1.1641532182693481e-08,1.4317453997381158e-06,1.2856253828186226e-07,PASS
h5_mse_3y_2025-12-31,20260911,10,6.556510925292969e-07,7.916241884231567e-09,3.175789034637333e-06,7.471686825910595e-07,PASS
h5_mse_3y_2025-12-31,20260911,20,6.556510925292969e-07,3.91155481338501e-08,7.646490056134603e-07,1.1534054933370896e-08,PASS
h5_mse_3y_2025-12-31,20260912,10,5.364418029785156e-07,1.0244548320770264e-08,4.1972880464591356e-06,5.991090881174443e-07,PASS
h5_mse_3y_2025-12-31,20260912,20,3.5762786865234375e-07,1.0244548320770264e-08,4.419647054554332e-06,2.2937997604666194e-06,PASS
h5_mse_5y_2026-03-31,20260910,10,4.3213367462158203e-07,1.3969838619232178e-08,2.5521917360049606e-06,5.4725406761768625e-08,PASS
h5_mse_5y_2026-03-31,20260910,20,8.940696716308594e-07,1.1920928955078125e-07,2.49943747698822e-07,2.723257741532592e-08,PASS
h5_mse_5y_2026-03-31,20260911,10,5.364418029785156e-07,1.4901161193847656e-08,2.2577307482452014e-06,3.373981852794472e-07,PASS
h5_mse_5y_2026-03-31,20260911,20,9.387731552124023e-07,1.4901161193847656e-07,2.4094456629875083e-07,9.703605685640326e-08,PASS
h5_mse_5y_2026-03-31,20260912,10,4.76837158203125e-07,5.587935447692871e-09,2.2596386327622398e-06,1.924773352701692e-06,PASS
h5_mse_5y_2026-03-31,20260912,20,4.76837158203125e-07,1.30385160446167e-08,9.34582934930539e-07,3.730656702449764e-07,PASS
h5_mse_5y_2026-06-30,20260910,10,4.470348358154297e-07,1.1175870895385742e-08,1.1923397540414271e-06,2.3034191198867404e-07,PASS
h5_mse_5y_2026-06-30,20260910,20,7.152557373046875e-07,1.4901161193847656e-07,1.6125127644261994e-07,3.316270857922632e-08,PASS
h5_mse_5y_2026-06-30,20260911,10,4.76837158203125e-07,1.5832483768463135e-08,1.6131548545850194e-06,5.659797089885288e-07,PASS
h5_mse_5y_2026-06-30,20260911,20,8.940696716308594e-07,1.1920928955078125e-07,1.5220117988157256e-07,1.4158583749868114e-08,PASS
h5_mse_5y_2026-06-30,20260912,10,5.960464477539062e-07,7.916241884231567e-09,2.176210043614013e-06,2.0787624532836446e-07,PASS
h5_mse_5y_2026-06-30,20260912,20,4.76837158203125e-07,1.4901161193847656e-08,1.0858053559603675e-06,1.7509561012207797e-07,PASS
