task,seed,epoch,feature_max_delta,native_max_delta,probability_max_delta,truncated_prediction_probability_delta,status
h1_mse_5y_2022-12-31,20260910,10,5.513429641723633e-07,7.450580596923828e-09,2.690413732686636e-06,1.1232794161486481e-06,PASS
h1_mse_5y_2022-12-31,20260910,20,5.960464477539062e-07,6.51925802230835e-09,3.252472954407004e-06,2.661817291027546e-07,PASS
h1_mse_5y_2022-12-31,20260911,10,5.960464477539062e-07,1.0244548320770264e-08,2.432509080718681e-06,1.4303082365163533e-06,PASS
h1_mse_5y_2022-12-31,20260911,20,5.364418029785156e-07,9.313225746154785e-09,4.145446114378615e-06,1.953387744002555e-06,PASS
h1_mse_5y_2022-12-31,20260912,10,7.152557373046875e-07,7.450580596923828e-09,4.109072783697876e-06,1.7699895613620953e-06,PASS
h1_mse_5y_2022-12-31,20260912,20,4.76837158203125e-07,6.51925802230835e-09,2.5786155957718826e-06,6.485823762503173e-07,PASS
h1_mse_5y_2023-12-31,20260910,10,9.238719940185547e-07,9.313225746154785e-09,5.6810701617449055e-06,4.065130975727804e-06,PASS
h1_mse_5y_2023-12-31,20260910,20,3.8743019104003906e-07,4.190951585769653e-09,2.714126205893841e-06,8.472288455796395e-07,PASS
h1_mse_5y_2023-12-31,20260911,10,4.76837158203125e-07,9.313225746154785e-09,3.0593900406383767e-06,1.0517012460908859e-07,PASS
h1_mse_5y_2023-12-31,20260911,20,5.960464477539062e-07,1.30385160446167e-08,2.388435628886132e-06,8.88275530464e-07,PASS
h1_mse_5y_2023-12-31,20260912,10,4.76837158203125e-07,8.381903171539307e-09,1.6856203716719698e-06,6.65576661174061e-07,PASS
h1_mse_5y_2023-12-31,20260912,20,4.76837158203125e-07,5.587935447692871e-09,1.2181971072444675e-06,6.351626455902704e-07,PASS
h1_mse_5y_2024-12-31,20260910,10,5.364418029785156e-07,9.313225746154785e-09,3.804759501346844e-06,6.229105085631126e-07,PASS
h1_mse_5y_2024-12-31,20260910,20,5.364418029785156e-07,1.4901161193847656e-08,1.8433986657684365e-06,2.4001442511245585e-07,PASS
h1_mse_5y_2024-12-31,20260911,10,5.662441253662109e-07,1.30385160446167e-08,2.3027080784387977e-06,8.570870188018276e-07,PASS
h1_mse_5y_2024-12-31,20260911,20,4.76837158203125e-07,1.1175870895385742e-08,8.571279596081283e-07,8.389174555034629e-07,PASS
h1_mse_5y_2024-12-31,20260912,10,4.76837158203125e-07,6.51925802230835e-09,2.463360898596889e-06,1.8229284808324309e-06,PASS
h1_mse_5y_2024-12-31,20260912,20,5.364418029785156e-07,1.1175870895385742e-08,1.5333702148012662e-06,1.7118926859405192e-07,PASS
h1_mse_5y_2025-12-31,20260910,10,4.246830940246582e-07,1.257285475730896e-08,2.2153542792446856e-06,2.688563236485919e-07,PASS
h1_mse_5y_2025-12-31,20260910,20,6.258487701416016e-07,7.450580596923828e-09,2.635196867939449e-06,2.2390674403460764e-07,PASS
h1_mse_5y_2025-12-31,20260911,10,5.960464477539062e-07,1.30385160446167e-08,3.141696748865108e-06,1.0271763464242412e-06,PASS
h1_mse_5y_2025-12-31,20260911,20,5.960464477539062e-07,1.0244548320770264e-08,1.015718799068921e-06,4.8564233856573935e-08,PASS
