task,seed,epoch,method,scheme,gradient_inf,curvature_min
h1_mse_5y_2023-12-31,20260910,20,add,W,5.970440450624864e-11,0.014867389444549725
h1_mse_5y_2023-12-31,20260910,20,vol,U,5.37517044763014e-11,0.01492852729942999
h1_mse_5y_2023-12-31,20260910,20,vol,W,5.916866703623708e-11,0.014858743582312295
h1_mse_5y_2023-12-31,20260910,20,order_joint,U,5.458534362359768e-11,0.014921390633119945
h1_mse_5y_2023-12-31,20260910,20,order_joint,W,2.3405054207659842e-11,0.014837264306568877
h1_mse_5y_2023-12-31,20260910,20,order_fixed,U,8.865212166794811e-14,0.24736169124407287
h1_mse_5y_2023-12-31,20260910,20,order_fixed,W,3.105193261809108e-11,0.23767512702741928
h1_mse_5y_2023-12-31,20260911,10,add,U,3.4448997474068044e-12,0.020241187511415314
h1_mse_5y_2023-12-31,20260911,10,add,W,1.8963370804203628e-11,0.02037499218926093
h1_mse_5y_2023-12-31,20260911,10,vol,U,2.6137718779715297e-11,0.020239436536638775
h1_mse_5y_2023-12-31,20260911,10,vol,W,1.9295266231143804e-11,0.020357017055915534
h1_mse_5y_2023-12-31,20260911,10,order_joint,U,1.7031051915972206e-11,0.020248959921696535
h1_mse_5y_2023-12-31,20260911,10,order_joint,W,3.177159932170846e-11,0.020351028553880875
h1_mse_5y_2023-12-31,20260911,10,order_fixed,U,1.077127102788733e-12,0.24213039448005216
h1_mse_5y_2023-12-31,20260911,10,order_fixed,W,4.412537501184699e-14,0.23530655899081163
h1_mse_5y_2023-12-31,20260911,20,add,U,5.184018578990868e-12,0.014542302950427037
h1_mse_5y_2023-12-31,20260911,20,add,W,1.7813633597721368e-11,0.014811792903221661
h1_mse_5y_2023-12-31,20260911,20,vol,U,1.8456979531972922e-10,0.014535059055542178
h1_mse_5y_2023-12-31,20260911,20,vol,W,1.1426736510125601e-11,0.014802393711711897
h1_mse_5y_2023-12-31,20260911,20,order_joint,U,1.3880154068213885e-10,0.01453768456705587
h1_mse_5y_2023-12-31,20260911,20,order_joint,W,7.462026677985956e-11,0.014802445583242273
h1_mse_5y_2023-12-31,20260911,20,order_fixed,U,2.3135758716805177e-11,0.2434821610908005
h1_mse_5y_2023-12-31,20260911,20,order_fixed,W,2.1769020397063854e-11,0.24391731297837388
h1_mse_5y_2023-12-31,20260912,10,add,U,1.8998928949173766e-12,0.01297149868532855
h1_mse_5y_2023-12-31,20260912,10,add,W,1.1198100389672727e-11,0.012962543826601497
h1_mse_5y_2023-12-31,20260912,10,vol,U,5.0887061166411673e-11,0.0129691582191578
