h,method,seed,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
1,bce_5y_e10.add.I,20260910,897,466,0.5195094760312151,0.5192047612891677,0.5188790883145553,0.2532339608299282,0.6999664745462747,0.4938684503901895,0.47491638795986624,0.49937274920277414,0.0742964261370028,0.23853629215668903,0.7241662126337582
1,bce_5y_e10.add.I,20260911,897,442,0.4927536231884058,0.49345670786885576,0.4974194767355138,0.2560844831517976,0.7057379765818437,0.4938684503901895,0.5574136008918618,0.5032614498407822,0.07542974392185754,0.2705344167292601,0.6862292603194772
1,bce_5y_e10.add.I,20260912,897,460,0.5128205128205128,0.5126515249450583,0.5068018416682412,0.25647822295238404,0.7068670400146424,0.4938684503901895,0.48606465997770343,0.49359753818208224,0.08111904416330219,0.23443674760566616,0.7342427913493464
1,bce_5y_e10.add.S,20260910,897,464,0.5172798216276477,0.5169747715317071,0.5179393601893378,0.25389045558300044,0.7013423470706931,0.4938684503901895,0.47491638795986624,0.5007580878063875,0.07724575102935068,0.22137143754880562,0.7161461357480674
1,bce_5y_e10.add.S,20260911,897,445,0.496098104793757,0.49673332604091053,0.5002138005787532,0.2571382829414586,0.7080788385239373,0.4938684503901895,0.5518394648829431,0.5008667890143902,0.08310473091554074,0.25763350598479784,0.6820906534231801
1,bce_5y_e10.add.S,20260912,897,450,0.5016722408026756,0.5012281103012102,0.4981901532403218,0.25892569319173686,0.7121285060276591,0.4938684503901895,0.463768115942029,0.49165659712606397,0.08807253396932857,0.20628187852091806,0.7412048818153498
1,bce_5y_e10.add.U,20260910,897,462,0.5150501672240803,0.5149909010451368,0.5186056224580106,0.2533291711360115,0.7001640576243153,0.4938684503901895,0.49498327759197325,0.5024512274508341,0.07447668129504259,0.24110363208944574,0.726970319471595
1,bce_5y_e10.add.U,20260911,897,445,0.496098104793757,0.49706148506876424,0.49698690347152474,0.2561334068055917,0.705814231059164,0.4938684503901895,0.5785953177257525,0.5072015295459504,0.07499023478481388,0.2745828337533341,0.6820813090744311
1,bce_5y_e10.add.U,20260912,897,458,0.5105908584169454,0.510448881773252,0.5070305585664423,0.2564734349749764,0.7068556085110491,0.4938684503901895,0.4882943143812709,0.49573499486232236,0.08104862761742566,0.23550834637133755,0.7354043899881998
1,bce_5y_e10.add.W,20260910,897,462,0.5150501672240803,0.514662742017283,0.5178598064856157,0.25383774136033904,0.7012316281953189,0.4938684503901895,0.4682274247491639,0.497682962989163,0.07727484096990768,0.2189535904151182,0.7132747068142234
1,bce_5y_e10.add.W,20260911,897,454,0.5061315496098104,0.5064537942144569,0.5007855928242559,0.25712206236862334,0.7080836026737659,0.4938684503901895,0.5261984392419174,0.4969614887789194,0.08341393171272563,0.2541885005254986,0.6778736004194793
1,bce_5y_e10.add.W,20260912,897,454,0.5061315496098104,0.5056880898161316,0.49873211284692875,0.25892345130985056,0.7121371315770209,0.4938684503901895,0.463768115942029,0.4895293370341712,0.08802480013757698,0.20530755096149028,0.739019477291293
