h,method,state,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
1,mse_5y_e10.add.U,0,212,117,0.5518867924528302,0.5487891737891738,0.5322293447293447,0.2511296407962917,0.6957038189504825,0.49056603773584906,0.33490566037735847,0.4724734850862623,0.06514587318588028,0.3042731900230487,0.6433414593238572
1,mse_5y_e10.add.U,1,117,51,0.4358974358974359,0.4414519906323185,0.44994145199063235,0.2578468357244194,0.7089858243739469,0.47863247863247865,0.6324786324786325,0.5143836055425652,0.04582960930579734,0.3659353368986904,0.6102487744064565
1,mse_5y_e10.add.U,2,238,115,0.4831932773109244,0.4821024335031126,0.5015563101301641,0.25481961503165057,0.7030634293321816,0.4789915966386555,0.47478991596638653,0.49426039733801463,0.07544567374734967,0.30564837165272835,0.6731135783110992
1,mse_5y_e10.add.U,3,330,178,0.5393939393939394,0.537211951927671,0.529310154728215,0.2507544458452447,0.6947662104260552,0.5121212121212121,0.5909090909090909,0.5081804662598337,0.04309663033584247,0.37548328972741934,0.6207652528671137
1,mse_5y_e10.add.W,0,212,116,0.5471698113207547,0.5441595441595442,0.5178952991452992,0.2551008762040222,0.7041269627779005,0.49056603773584906,0.33962264150943394,0.46177354211584526,0.07303921585032237,0.27464023697663925,0.6420225422240192
1,mse_5y_e10.add.W,1,117,53,0.452991452991453,0.45930913348946134,0.45521077283372363,0.25898836025072014,0.7113433123583547,0.47863247863247865,0.6495726495726496,0.5168051842252708,0.05285936179655204,0.3467802630686648,0.6270276495990319
1,mse_5y_e10.add.W,2,238,119,0.5,0.49540181097906055,0.5089841539332202,0.2544686755548384,0.7025170692030234,0.4789915966386555,0.3907563025210084,0.47765588102628714,0.07843865914719426,0.2764938960245317,0.660770489372214
1,mse_5y_e10.add.W,3,330,181,0.5484848484848485,0.5465287221140064,0.5220699033408064,0.2517290690532833,0.6967526078078784,0.5121212121212121,0.5818181818181818,0.5067727608888951,0.04453334638550308,0.3574041717230645,0.6235028220864773
1,mse_5y_e10.add.I,0,212,120,0.5660377358490566,0.5626780626780626,0.5356125356125356,0.2510460726941027,0.6955667429136406,0.49056603773584906,0.32075471698113206,0.46810597374851626,0.06451924004115797,0.3016448314349827,0.6369871650336622
1,mse_5y_e10.add.I,1,117,49,0.4188034188034188,0.42359484777517564,0.44584309133489464,0.2579085621776667,0.7091214723081846,0.47863247863247865,0.6153846153846154,0.510772844623338,0.047136073299069124,0.3630671147844011,0.6035886375740799
1,mse_5y_e10.add.I,2,238,115,0.4831932773109244,0.4810413129598189,0.5000707413695529,0.2547176137091092,0.7028467267500722,0.4789915966386555,0.4495798319327731,0.4896740910577674,0.07478355104699112,0.30305641737282923,0.6670081270859215
1,mse_5y_e10.add.I,3,330,175,0.5303030303030303,0.5284832224631556,0.5289426292770775,0.2508752051770616,0.6950119507140293,0.5121212121212121,0.5757575757575758,0.5071285022203399,0.04375743012749593,0.3714319548479263,0.6240758041192763
1,mse_5y_e10.add.S,0,212,117,0.5518867924528302,0.5493233618233618,0.5165598290598291,0.255171371299415,0.7042211057014957,0.49056603773584906,0.3632075471698113,0.4661167333038485,0.07386026141955375,0.2771254165403101,0.6458184179149812
1,mse_5y_e10.add.S,1,117,52,0.4444444444444444,0.4511124121779859,0.45550351288056207,0.2590004363877529,0.7113569268652937,0.47863247863247865,0.6581196581196581,0.520398798761256,0.051976152088961836,0.3495901408706601,0.6335422239471197
1,mse_5y_e10.add.S,2,238,117,0.49159663865546216,0.48839841539332207,0.5087011884550084,0.25444723917724965,0.7024778427812054,0.4789915966386555,0.42436974789915966,0.4822138675084664,0.07900490576400618,0.27885375705105614,0.666836707230817
