cutoff,trial_start,incumbent_cutoff,evaluated_challenger_cutoff,selected_model_cutoff,next_challenger_cutoff,mandatory,paired_mature_weeks,ready,challenger_minus_incumbent_brier,challenger_correct_gain,promote,reason
2020-12-31,,,,2020-12-31,2020-12-31,True,0,False,,0,False,annual
2021-03-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2021-03-31,False,10,False,0.0,0,False,same_model
2021-06-30,2021-03-31,2020-12-31,2021-03-31,2020-12-31,2021-06-30,False,12,True,-0.01555661392402466,-1,False,hold
2021-09-30,2021-06-30,2020-12-31,2021-06-30,2021-06-30,2021-09-30,False,12,True,-0.006962357664309915,1,True,promote
2021-12-31,2021-09-30,2021-06-30,2021-09-30,2021-12-31,2021-12-31,True,11,False,,0,False,annual
2022-03-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2022-03-31,False,10,False,0.0,0,False,same_model
2022-06-30,2022-03-31,2021-12-31,2022-03-31,2021-12-31,2022-06-30,False,11,True,-0.043955685650546736,0,False,hold
2022-09-30,2022-06-30,2021-12-31,2022-06-30,2021-12-31,2022-09-30,False,12,True,-0.0208163714227359,-3,False,hold
2022-12-31,2022-09-30,2021-12-31,2022-09-30,2022-12-31,2022-12-31,True,10,False,,0,False,annual
2023-03-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2023-03-31,False,10,False,0.0,0,False,same_model
2023-06-30,2023-03-31,2022-12-31,2023-03-31,2023-03-31,2023-06-30,False,10,True,-0.012695464766347456,1,True,promote
2023-09-30,2023-06-30,2023-03-31,2023-06-30,2023-06-30,2023-09-30,False,11,True,-0.030635966559127734,2,True,promote
2023-12-31,2023-09-30,2023-06-30,2023-09-30,2023-12-31,2023-12-31,True,10,False,,0,False,annual
2024-03-31,2023-12-31,2023-12-31,2023-12-31,2023-12-31,2024-03-31,False,9,False,0.0,0,False,same_model
2024-06-30,2024-03-31,2023-12-31,2024-03-31,2023-12-31,2024-06-30,False,9,True,0.0340557474571759,-1,False,hold
2024-09-30,2024-06-30,2023-12-31,2024-06-30,2023-12-31,2024-09-30,False,12,True,0.012472430209631959,0,False,hold
2024-12-31,2024-09-30,2023-12-31,2024-09-30,2024-12-31,2024-12-31,True,11,False,,0,False,annual
2025-03-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2025-03-31,False,11,False,0.0,0,False,same_model
2025-06-30,2025-03-31,2024-12-31,2025-03-31,2024-12-31,2025-06-30,False,10,True,0.019873846954040316,-1,False,hold
2025-09-30,2025-06-30,2024-12-31,2025-06-30,2024-12-31,2025-09-30,False,12,True,-0.011245337809215368,-1,False,hold
2025-12-31,2025-09-30,2024-12-31,2025-09-30,2025-12-31,2025-12-31,True,11,False,,0,False,annual
2026-03-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2026-03-31,False,10,False,0.0,0,False,same_model
2026-06-30,2026-03-31,2025-12-31,2026-03-31,2025-12-31,2026-06-30,False,10,True,0.02052444689641528,-1,False,hold
