window,history,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
extension_2021_2023,annual_quarter_half,learned_market,147,0.4897959183673469,0.5102040816326531,72,0.5108159392789373,0.6326530612244898,0.4217687074829932,40,32,53,22,0.4817836812144213,0.26916410449296796,0.7337650013127958,0.5350976207127758,0.09544353439761952,0.11332891322978256,0.0
extension_2021_2023,annual_quarter_half,learned_order_extension,147,0.4897959183673469,0.5102040816326531,72,0.5108159392789373,0.6326530612244898,0.4217687074829932,40,32,53,22,0.48956356736242884,0.26885186295680813,0.7334688928954857,0.5338108251966337,0.09911304511383033,0.11204211771364048,0.0
extension_2021_2023,annual_quarter_half,learned_order_offset,147,0.4897959183673469,0.5102040816326531,72,0.5108159392789373,0.6326530612244898,0.4217687074829932,40,32,53,22,0.48842504743833015,0.2687849947586761,0.733285687903412,0.5338929371172275,0.0984733353960693,0.1121242296342343,0.0
extension_2021_2023,annual_quarter_half,learned_vol_interaction,147,0.4897959183673469,0.5102040816326531,72,0.5108159392789373,0.6326530612244898,0.4217687074829932,40,32,53,22,0.4846299810246679,0.2694183088782162,0.734407720980171,0.5351634986517808,0.0969645801857895,0.11339479116878759,0.0
extension_2021_2023,annual_quarter_half,native_mse,147,0.5034013605442177,0.4965986394557823,74,0.516034155597723,0.5782312925170068,0.4217687074829932,37,37,48,25,0.48690702087286525,,,,,,
extension_2021_2023,annual_quarter_half,training_frequency,147,0.4217687074829932,0.5782312925170068,62,0.5,1.0,0.4217687074829932,62,0,85,0,0.502561669829222,0.25611091966455135,0.7054104883627731,0.5331769137649882,0.021183903249024798,0.11140820628199499,0.0
extension_2021_2023,error16,learned_market,147,0.4489795918367347,0.5510204081632653,66,0.47552182163187856,0.673469387755102,0.4217687074829932,40,26,59,22,0.47210626185958254,0.2740541054781942,0.7438572945414056,0.5435057457319384,0.10187596665778714,0.12173703824894522,0.0
extension_2021_2023,error16,learned_order_extension,147,0.4557823129251701,0.54421768707483,67,0.48576850094876656,0.6938775510204082,0.4217687074829932,42,25,60,20,0.4812144212523719,0.2742679346226497,0.7448798864296755,0.5460331100593738,0.10928475433027879,0.1242644025763806,0.0
extension_2021_2023,error16,learned_order_offset,147,0.4557823129251701,0.54421768707483,67,0.48576850094876656,0.6938775510204082,0.4217687074829932,42,25,60,20,0.4791271347248577,0.27424243038604595,0.7448125137585827,0.5460478775359432,0.10884005550371532,0.12427917005294997,0.0
extension_2021_2023,error16,learned_vol_interaction,147,0.4489795918367347,0.5510204081632653,66,0.4798861480075901,0.7006802721088435,0.4217687074829932,42,24,61,20,0.4759013282732448,0.2746702731671164,0.7453384197105252,0.544233984591135,0.10467959211473381,0.12246527710814181,0.0
extension_2021_2023,error16,native_mse,147,0.47619047619047616,0.5238095238095238,70,0.49468690702087287,0.6190476190476191,0.4217687074829932,38,32,53,24,0.5003795066413662,,,,,,
