cutoff,paired_mature_weeks,ready,promoted,future_labels_probs_excluded,unissued_model_probs_excluded,stale_trial_excluded
2021-03-31,10,False,False,True,True,True
2021-06-30,12,True,False,True,True,True
2021-09-30,12,True,True,True,True,True
2022-03-31,10,False,False,True,True,True
2022-06-30,11,True,False,True,True,True
2022-09-30,12,True,False,True,True,True
2023-03-31,10,False,False,True,True,True
2023-06-30,10,True,True,True,True,True
2023-09-30,11,True,True,True,True,True
2024-03-31,9,False,False,True,True,True
2024-06-30,9,True,False,True,True,True
2024-09-30,12,True,False,True,True,True
2025-03-31,11,False,False,True,True,True
2025-06-30,10,True,False,True,True,True
2025-09-30,12,True,False,True,True,True
2026-03-31,10,False,False,True,True,True
2026-06-30,10,True,False,True,True,True
