head_cutoff,encoder_cutoff,seed,method,group,dimensions,old_norm,new_norm,delta_norm,old_intercept,new_intercept
2020-12-31,2020-12-31,20260910,learned_market,intercept,1,0.2441796569335598,0.2441796569335598,0.0,0.2441796569335598,0.2441796569335598
2020-12-31,2020-12-31,20260910,learned_market,decoded,25,0.6494616540667225,0.6494616540667225,0.0,,
2020-12-31,2020-12-31,20260910,learned_market,market,4,0.15676028662225575,0.15676028662225575,0.0,,
2020-12-31,2020-12-31,20260910,learned_market,vol,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260910,learned_market,order,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260910,learned_vol_interaction,intercept,1,0.24896001932283235,0.24896001932283235,0.0,0.24896001932283235,0.24896001932283235
2020-12-31,2020-12-31,20260910,learned_vol_interaction,decoded,25,0.6566333554645318,0.6566333554645318,0.0,,
2020-12-31,2020-12-31,20260910,learned_vol_interaction,market,4,0.16110084946241343,0.16110084946241343,0.0,,
2020-12-31,2020-12-31,20260910,learned_vol_interaction,vol,1,0.20601816816963212,0.20601816816963212,0.0,,
2020-12-31,2020-12-31,20260910,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260910,learned_order_extension,intercept,1,0.24881667360837004,0.24881667360837004,0.0,0.24881667360837004,0.24881667360837004
2020-12-31,2020-12-31,20260910,learned_order_extension,decoded,25,0.6570134497258157,0.6570134497258157,0.0,,
2020-12-31,2020-12-31,20260910,learned_order_extension,market,4,0.16074045750321755,0.16074045750321755,0.0,,
2020-12-31,2020-12-31,20260910,learned_order_extension,vol,1,0.2072216487890492,0.2072216487890492,0.0,,
2020-12-31,2020-12-31,20260910,learned_order_extension,order,1,0.053094720785684515,0.053094720785684515,0.0,,
2020-12-31,2020-12-31,20260910,learned_order_offset,intercept,1,0.24896001932283235,0.24896001932283235,0.0,0.24896001932283235,0.24896001932283235
2020-12-31,2020-12-31,20260910,learned_order_offset,decoded,25,0.6566333554645318,0.6566333554645318,0.0,,
2020-12-31,2020-12-31,20260910,learned_order_offset,market,4,0.16110084946241343,0.16110084946241343,0.0,,
2020-12-31,2020-12-31,20260910,learned_order_offset,vol,1,0.20601816816963212,0.20601816816963212,0.0,,
2020-12-31,2020-12-31,20260910,learned_order_offset,order,1,0.05302811275205938,0.05302811275205938,0.0,,
2020-12-31,2020-12-31,20260911,learned_market,intercept,1,0.25431711722375144,0.25431711722375144,0.0,0.25431711722375144,0.25431711722375144
2020-12-31,2020-12-31,20260911,learned_market,decoded,25,0.932890435662049,0.932890435662049,0.0,,
2020-12-31,2020-12-31,20260911,learned_market,market,4,0.14795604307093205,0.14795604307093205,0.0,,
2020-12-31,2020-12-31,20260911,learned_market,vol,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260911,learned_market,order,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260911,learned_vol_interaction,intercept,1,0.25278606547503246,0.25278606547503246,0.0,0.25278606547503246,0.25278606547503246
2020-12-31,2020-12-31,20260911,learned_vol_interaction,decoded,25,0.9359901816201128,0.9359901816201128,0.0,,
2020-12-31,2020-12-31,20260911,learned_vol_interaction,market,4,0.15001357396465248,0.15001357396465248,0.0,,
2020-12-31,2020-12-31,20260911,learned_vol_interaction,vol,1,0.0914085027319914,0.0914085027319914,0.0,,
2020-12-31,2020-12-31,20260911,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260911,learned_order_extension,intercept,1,0.2542483366469297,0.2542483366469297,0.0,0.2542483366469297,0.2542483366469297
2020-12-31,2020-12-31,20260911,learned_order_extension,decoded,25,0.93606909322087,0.93606909322087,0.0,,
2020-12-31,2020-12-31,20260911,learned_order_extension,market,4,0.15013012992898517,0.15013012992898517,0.0,,
2020-12-31,2020-12-31,20260911,learned_order_extension,vol,1,0.09111907227551733,0.09111907227551733,0.0,,
2020-12-31,2020-12-31,20260911,learned_order_extension,order,1,0.11573346269501528,0.11573346269501528,0.0,,
2020-12-31,2020-12-31,20260911,learned_order_offset,intercept,1,0.25278606547503246,0.25278606547503246,0.0,0.25278606547503246,0.25278606547503246
2020-12-31,2020-12-31,20260911,learned_order_offset,decoded,25,0.9359901816201128,0.9359901816201128,0.0,,
2020-12-31,2020-12-31,20260911,learned_order_offset,market,4,0.15001357396465248,0.15001357396465248,0.0,,
2020-12-31,2020-12-31,20260911,learned_order_offset,vol,1,0.0914085027319914,0.0914085027319914,0.0,,
2020-12-31,2020-12-31,20260911,learned_order_offset,order,1,0.11526961063687999,0.11526961063687999,0.0,,
2020-12-31,2020-12-31,20260912,learned_market,intercept,1,0.25854603623394196,0.25854603623394196,0.0,0.25854603623394196,0.25854603623394196
2020-12-31,2020-12-31,20260912,learned_market,decoded,25,0.5640461822485379,0.5640461822485379,0.0,,
2020-12-31,2020-12-31,20260912,learned_market,market,4,0.21436137078172365,0.21436137078172365,0.0,,
2020-12-31,2020-12-31,20260912,learned_market,vol,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260912,learned_market,order,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260912,learned_vol_interaction,intercept,1,0.25898153377762045,0.25898153377762045,0.0,0.25898153377762045,0.25898153377762045
