period,method,case,group,n,dominant_adverse_count
year_2023,learned_vol_interaction,regression,decoded,3,3
year_2023,learned_vol_interaction,regression,market,3,0
year_2023,learned_vol_interaction,regression,vol,3,0
year_2023,learned_vol_interaction,regression,order,3,0
year_2023,learned_vol_interaction,recovery,intercept,4,0
year_2023,learned_vol_interaction,recovery,decoded,4,0
year_2023,learned_vol_interaction,recovery,market,4,0
year_2023,learned_vol_interaction,recovery,vol,4,0
year_2023,learned_vol_interaction,recovery,order,4,0
year_2023,learned_vol_interaction,stable_correct,intercept,18,0
year_2023,learned_vol_interaction,stable_correct,decoded,18,5
year_2023,learned_vol_interaction,stable_correct,market,18,8
year_2023,learned_vol_interaction,stable_correct,vol,18,1
year_2023,learned_vol_interaction,stable_correct,order,18,0
year_2023,learned_vol_interaction,stable_wrong,intercept,23,0
year_2023,learned_vol_interaction,stable_wrong,decoded,23,2
year_2023,learned_vol_interaction,stable_wrong,market,23,12
year_2023,learned_vol_interaction,stable_wrong,vol,23,0
year_2023,learned_vol_interaction,stable_wrong,order,23,0
year_2024,learned_market,all,intercept,47,13
year_2024,learned_market,all,decoded,47,10
year_2024,learned_market,all,market,47,6
year_2024,learned_market,all,vol,47,0
year_2024,learned_market,all,order,47,0
year_2024,learned_market,regression,intercept,5,2
year_2024,learned_market,regression,decoded,5,1
year_2024,learned_market,regression,market,5,2
year_2024,learned_market,regression,vol,5,0
year_2024,learned_market,regression,order,5,0
year_2024,learned_market,recovery,intercept,1,0
year_2024,learned_market,recovery,decoded,1,0
year_2024,learned_market,recovery,market,1,0
year_2024,learned_market,recovery,vol,1,0
year_2024,learned_market,recovery,order,1,0
year_2024,learned_market,stable_correct,intercept,29,6
year_2024,learned_market,stable_correct,decoded,29,7
year_2024,learned_market,stable_correct,market,29,1
year_2024,learned_market,stable_correct,vol,29,0
year_2024,learned_market,stable_correct,order,29,0
year_2024,learned_market,stable_wrong,intercept,12,5
year_2024,learned_market,stable_wrong,decoded,12,2
year_2024,learned_market,stable_wrong,market,12,3
year_2024,learned_market,stable_wrong,vol,12,0
year_2024,learned_market,stable_wrong,order,12,0
year_2024,learned_order_extension,all,intercept,47,10
year_2024,learned_order_extension,all,decoded,47,10
year_2024,learned_order_extension,all,market,47,6
year_2024,learned_order_extension,all,vol,47,4
year_2024,learned_order_extension,all,order,47,2
year_2024,learned_order_extension,regression,intercept,4,2
year_2024,learned_order_extension,regression,decoded,4,1
year_2024,learned_order_extension,regression,market,4,1
year_2024,learned_order_extension,regression,vol,4,0
year_2024,learned_order_extension,regression,order,4,0
year_2024,learned_order_extension,recovery,intercept,2,0
year_2024,learned_order_extension,recovery,decoded,2,0
year_2024,learned_order_extension,recovery,market,2,0
year_2024,learned_order_extension,recovery,vol,2,0
year_2024,learned_order_extension,recovery,order,2,0
year_2024,learned_order_extension,stable_correct,intercept,29,5
year_2024,learned_order_extension,stable_correct,decoded,29,7
year_2024,learned_order_extension,stable_correct,market,29,1
year_2024,learned_order_extension,stable_correct,vol,29,4
year_2024,learned_order_extension,stable_correct,order,29,1
year_2024,learned_order_extension,stable_wrong,intercept,12,3
year_2024,learned_order_extension,stable_wrong,decoded,12,2
year_2024,learned_order_extension,stable_wrong,market,12,4
year_2024,learned_order_extension,stable_wrong,vol,12,0
year_2024,learned_order_extension,stable_wrong,order,12,1
year_2024,learned_order_offset,all,intercept,47,10
year_2024,learned_order_offset,all,decoded,47,9
year_2024,learned_order_offset,all,market,47,6
year_2024,learned_order_offset,all,vol,47,5
year_2024,learned_order_offset,all,order,47,2
year_2024,learned_order_offset,regression,intercept,3,2
year_2024,learned_order_offset,regression,decoded,3,1
year_2024,learned_order_offset,regression,market,3,0
year_2024,learned_order_offset,regression,vol,3,0
year_2024,learned_order_offset,regression,order,3,0
year_2024,learned_order_offset,recovery,intercept,3,1
year_2024,learned_order_offset,recovery,decoded,3,0
year_2024,learned_order_offset,recovery,market,3,0
year_2024,learned_order_offset,recovery,vol,3,0
year_2024,learned_order_offset,recovery,order,3,0
year_2024,learned_order_offset,stable_correct,intercept,29,4
year_2024,learned_order_offset,stable_correct,decoded,29,6
year_2024,learned_order_offset,stable_correct,market,29,2
year_2024,learned_order_offset,stable_correct,vol,29,5
year_2024,learned_order_offset,stable_correct,order,29,1
year_2024,learned_order_offset,stable_wrong,intercept,12,3
year_2024,learned_order_offset,stable_wrong,decoded,12,2
year_2024,learned_order_offset,stable_wrong,market,12,4
year_2024,learned_order_offset,stable_wrong,vol,12,0
year_2024,learned_order_offset,stable_wrong,order,12,1
year_2024,learned_vol_interaction,all,intercept,47,12
year_2024,learned_vol_interaction,all,decoded,47,9
year_2024,learned_vol_interaction,all,market,47,6
year_2024,learned_vol_interaction,all,vol,47,5
year_2024,learned_vol_interaction,all,order,47,0
year_2024,learned_vol_interaction,regression,intercept,4,2
year_2024,learned_vol_interaction,regression,decoded,4,1
year_2024,learned_vol_interaction,regression,market,4,1
year_2024,learned_vol_interaction,regression,vol,4,0
year_2024,learned_vol_interaction,regression,order,4,0
year_2024,learned_vol_interaction,recovery,intercept,2,0
year_2024,learned_vol_interaction,recovery,decoded,2,0
year_2024,learned_vol_interaction,recovery,market,2,0
year_2024,learned_vol_interaction,recovery,vol,2,0
year_2024,learned_vol_interaction,recovery,order,2,0
year_2024,learned_vol_interaction,stable_correct,intercept,30,6
year_2024,learned_vol_interaction,stable_correct,decoded,30,6
year_2024,learned_vol_interaction,stable_correct,market,30,2
year_2024,learned_vol_interaction,stable_correct,vol,30,5
year_2024,learned_vol_interaction,stable_correct,order,30,0
year_2024,learned_vol_interaction,stable_wrong,intercept,11,4
year_2024,learned_vol_interaction,stable_wrong,decoded,11,2
year_2024,learned_vol_interaction,stable_wrong,market,11,3
year_2024,learned_vol_interaction,stable_wrong,vol,11,0
year_2024,learned_vol_interaction,stable_wrong,order,11,0
year_2025,learned_market,all,intercept,48,1
year_2025,learned_market,all,decoded,48,17
year_2025,learned_market,all,market,48,14
year_2025,learned_market,all,vol,48,0
year_2025,learned_market,all,order,48,0
year_2025,learned_market,regression,intercept,1,0
year_2025,learned_market,regression,decoded,1,0
year_2025,learned_market,regression,market,1,1
year_2025,learned_market,regression,vol,1,0
year_2025,learned_market,regression,order,1,0
year_2025,learned_market,recovery,intercept,2,0
year_2025,learned_market,recovery,decoded,2,1
year_2025,learned_market,recovery,market,2,0
year_2025,learned_market,recovery,vol,2,0
year_2025,learned_market,recovery,order,2,0
year_2025,learned_market,stable_correct,intercept,20,1
year_2025,learned_market,stable_correct,decoded,20,5
year_2025,learned_market,stable_correct,market,20,6
year_2025,learned_market,stable_correct,vol,20,0
year_2025,learned_market,stable_correct,order,20,0
year_2025,learned_market,stable_wrong,intercept,25,0
year_2025,learned_market,stable_wrong,decoded,25,11
year_2025,learned_market,stable_wrong,market,25,7
year_2025,learned_market,stable_wrong,vol,25,0
year_2025,learned_market,stable_wrong,order,25,0
year_2025,learned_order_extension,all,intercept,48,1
year_2025,learned_order_extension,all,decoded,48,16
year_2025,learned_order_extension,all,market,48,14
year_2025,learned_order_extension,all,vol,48,2
year_2025,learned_order_extension,all,order,48,2
year_2025,learned_order_extension,regression,intercept,1,0
year_2025,learned_order_extension,regression,decoded,1,0
year_2025,learned_order_extension,regression,market,1,1
year_2025,learned_order_extension,regression,vol,1,0
year_2025,learned_order_extension,regression,order,1,0
year_2025,learned_order_extension,recovery,intercept,2,0
year_2025,learned_order_extension,recovery,decoded,2,1
year_2025,learned_order_extension,recovery,market,2,0
year_2025,learned_order_extension,recovery,vol,2,0
year_2025,learned_order_extension,recovery,order,2,1
year_2025,learned_order_extension,stable_correct,intercept,22,1
year_2025,learned_order_extension,stable_correct,decoded,22,5
year_2025,learned_order_extension,stable_correct,market,22,8
year_2025,learned_order_extension,stable_correct,vol,22,1
year_2025,learned_order_extension,stable_correct,order,22,1
year_2025,learned_order_extension,stable_wrong,intercept,23,0
year_2025,learned_order_extension,stable_wrong,decoded,23,10
year_2025,learned_order_extension,stable_wrong,market,23,5
year_2025,learned_order_extension,stable_wrong,vol,23,1
year_2025,learned_order_extension,stable_wrong,order,23,0
year_2025,learned_order_offset,all,intercept,48,1
year_2025,learned_order_offset,all,decoded,48,16
year_2025,learned_order_offset,all,market,48,14
year_2025,learned_order_offset,all,vol,48,2
year_2025,learned_order_offset,all,order,48,2
year_2025,learned_order_offset,regression,intercept,2,0
year_2025,learned_order_offset,regression,decoded,2,0
year_2025,learned_order_offset,regression,market,2,2
year_2025,learned_order_offset,regression,vol,2,0
year_2025,learned_order_offset,regression,order,2,0
year_2025,learned_order_offset,recovery,intercept,2,0
year_2025,learned_order_offset,recovery,decoded,2,1
year_2025,learned_order_offset,recovery,market,2,0
year_2025,learned_order_offset,recovery,vol,2,0
year_2025,learned_order_offset,recovery,order,2,1
year_2025,learned_order_offset,stable_correct,intercept,21,1
year_2025,learned_order_offset,stable_correct,decoded,21,5
year_2025,learned_order_offset,stable_correct,market,21,7
year_2025,learned_order_offset,stable_correct,vol,21,1
year_2025,learned_order_offset,stable_correct,order,21,1
year_2025,learned_order_offset,stable_wrong,intercept,23,0
year_2025,learned_order_offset,stable_wrong,decoded,23,10
year_2025,learned_order_offset,stable_wrong,market,23,5
year_2025,learned_order_offset,stable_wrong,vol,23,1
year_2025,learned_order_offset,stable_wrong,order,23,0
year_2025,learned_vol_interaction,all,intercept,48,1
year_2025,learned_vol_interaction,all,decoded,48,16
year_2025,learned_vol_interaction,all,market,48,14
year_2025,learned_vol_interaction,all,vol,48,2
year_2025,learned_vol_interaction,all,order,48,0
year_2025,learned_vol_interaction,regression,intercept,1,0
year_2025,learned_vol_interaction,regression,decoded,1,0
year_2025,learned_vol_interaction,regression,market,1,1
year_2025,learned_vol_interaction,regression,vol,1,0
year_2025,learned_vol_interaction,regression,order,1,0
year_2025,learned_vol_interaction,recovery,intercept,3,0
year_2025,learned_vol_interaction,recovery,decoded,3,1
year_2025,learned_vol_interaction,recovery,market,3,1
year_2025,learned_vol_interaction,recovery,vol,3,0
year_2025,learned_vol_interaction,recovery,order,3,0
year_2025,learned_vol_interaction,stable_correct,intercept,21,1
year_2025,learned_vol_interaction,stable_correct,decoded,21,4
year_2025,learned_vol_interaction,stable_correct,market,21,7
year_2025,learned_vol_interaction,stable_correct,vol,21,1
year_2025,learned_vol_interaction,stable_correct,order,21,0
year_2025,learned_vol_interaction,stable_wrong,intercept,23,0
year_2025,learned_vol_interaction,stable_wrong,decoded,23,11
year_2025,learned_vol_interaction,stable_wrong,market,23,5
year_2025,learned_vol_interaction,stable_wrong,vol,23,1
year_2025,learned_vol_interaction,stable_wrong,order,23,0
year_2026,learned_market,all,intercept,30,2
year_2026,learned_market,all,decoded,30,9
year_2026,learned_market,all,market,30,7
year_2026,learned_market,all,vol,30,0
year_2026,learned_market,all,order,30,0
year_2026,learned_market,regression,intercept,4,0
year_2026,learned_market,regression,decoded,4,0
year_2026,learned_market,regression,market,4,4
year_2026,learned_market,regression,vol,4,0
year_2026,learned_market,regression,order,4,0
year_2026,learned_market,recovery,intercept,1,0
year_2026,learned_market,recovery,decoded,1,1
year_2026,learned_market,recovery,market,1,0
year_2026,learned_market,recovery,vol,1,0
year_2026,learned_market,recovery,order,1,0
year_2026,learned_market,stable_correct,intercept,10,0
year_2026,learned_market,stable_correct,decoded,10,2
year_2026,learned_market,stable_correct,market,10,1
year_2026,learned_market,stable_correct,vol,10,0
year_2026,learned_market,stable_correct,order,10,0
year_2026,learned_market,stable_wrong,intercept,15,2
year_2026,learned_market,stable_wrong,decoded,15,6
year_2026,learned_market,stable_wrong,market,15,2
year_2026,learned_market,stable_wrong,vol,15,0
year_2026,learned_market,stable_wrong,order,15,0
year_2026,learned_order_extension,all,intercept,30,0
year_2026,learned_order_extension,all,decoded,30,7
year_2026,learned_order_extension,all,market,30,6
year_2026,learned_order_extension,all,vol,30,2
year_2026,learned_order_extension,all,order,30,3
year_2026,learned_order_extension,regression,intercept,7,0
year_2026,learned_order_extension,regression,decoded,7,0
year_2026,learned_order_extension,regression,market,7,4
year_2026,learned_order_extension,regression,vol,7,0
year_2026,learned_order_extension,regression,order,7,3
year_2026,learned_order_extension,recovery,intercept,1,0
year_2026,learned_order_extension,recovery,decoded,1,1
year_2026,learned_order_extension,recovery,market,1,0
year_2026,learned_order_extension,recovery,vol,1,0
year_2026,learned_order_extension,recovery,order,1,0
year_2026,learned_order_extension,stable_correct,intercept,9,0
year_2026,learned_order_extension,stable_correct,decoded,9,1
year_2026,learned_order_extension,stable_correct,market,9,1
year_2026,learned_order_extension,stable_correct,vol,9,0
year_2026,learned_order_extension,stable_correct,order,9,0
year_2026,learned_order_extension,stable_wrong,intercept,13,0
year_2026,learned_order_extension,stable_wrong,decoded,13,5
year_2026,learned_order_extension,stable_wrong,market,13,1
year_2026,learned_order_extension,stable_wrong,vol,13,2
year_2026,learned_order_extension,stable_wrong,order,13,0
year_2026,learned_order_offset,all,intercept,30,0
year_2026,learned_order_offset,all,decoded,30,7
year_2026,learned_order_offset,all,market,30,6
year_2026,learned_order_offset,all,vol,30,2
year_2026,learned_order_offset,all,order,30,3
year_2026,learned_order_offset,regression,intercept,7,0
year_2026,learned_order_offset,regression,decoded,7,0
year_2026,learned_order_offset,regression,market,7,4
year_2026,learned_order_offset,regression,vol,7,0
year_2026,learned_order_offset,regression,order,7,3
year_2026,learned_order_offset,recovery,intercept,1,0
year_2026,learned_order_offset,recovery,decoded,1,1
year_2026,learned_order_offset,recovery,market,1,0
year_2026,learned_order_offset,recovery,vol,1,0
year_2026,learned_order_offset,recovery,order,1,0
year_2026,learned_order_offset,stable_correct,intercept,9,0
year_2026,learned_order_offset,stable_correct,decoded,9,1
year_2026,learned_order_offset,stable_correct,market,9,1
year_2026,learned_order_offset,stable_correct,vol,9,0
year_2026,learned_order_offset,stable_correct,order,9,0
year_2026,learned_order_offset,stable_wrong,intercept,13,0
year_2026,learned_order_offset,stable_wrong,decoded,13,5
year_2026,learned_order_offset,stable_wrong,market,13,1
year_2026,learned_order_offset,stable_wrong,vol,13,2
year_2026,learned_order_offset,stable_wrong,order,13,0
year_2026,learned_vol_interaction,all,intercept,30,0
year_2026,learned_vol_interaction,all,decoded,30,9
year_2026,learned_vol_interaction,all,market,30,7
year_2026,learned_vol_interaction,all,vol,30,2
year_2026,learned_vol_interaction,all,order,30,0
year_2026,learned_vol_interaction,regression,intercept,2,0
year_2026,learned_vol_interaction,regression,decoded,2,0
year_2026,learned_vol_interaction,regression,market,2,2
year_2026,learned_vol_interaction,regression,vol,2,0
year_2026,learned_vol_interaction,regression,order,2,0
year_2026,learned_vol_interaction,recovery,intercept,0,0
year_2026,learned_vol_interaction,recovery,decoded,0,0
year_2026,learned_vol_interaction,recovery,market,0,0
year_2026,learned_vol_interaction,recovery,vol,0,0
year_2026,learned_vol_interaction,recovery,order,0,0
year_2026,learned_vol_interaction,stable_correct,intercept,10,0
year_2026,learned_vol_interaction,stable_correct,decoded,10,3
year_2026,learned_vol_interaction,stable_correct,market,10,1
year_2026,learned_vol_interaction,stable_correct,vol,10,0
year_2026,learned_vol_interaction,stable_correct,order,10,0
year_2026,learned_vol_interaction,stable_wrong,intercept,18,0
year_2026,learned_vol_interaction,stable_wrong,decoded,18,6
year_2026,learned_vol_interaction,stable_wrong,market,18,4
year_2026,learned_vol_interaction,stable_wrong,vol,18,2
year_2026,learned_vol_interaction,stable_wrong,order,18,0
