head_cutoff,encoder_cutoff,annual_train_n,quarter_train_n,annual_up_fraction,quarter_up_fraction,retained_n,retained_up_fraction,retained_mean_return,added_n,added_up_fraction,added_mean_return,removed_n,removed_up_fraction,removed_mean_return,up_fraction_change
2020-12-31,2020-12-31,1212,1212,0.5577557755775577,0.5577557755775577,1212,0.5577557755775577,0.002010763921983728,0,,,0,,,0.0
2021-03-31,2020-12-31,1212,1211,0.5577557755775577,0.5540875309661437,1153,0.5585429314830876,0.00229319343239791,58,0.46551724137931033,-3.584627830623653e-05,59,0.5423728813559322,-0.003508578883228999,-0.0036682446114140177
2021-06-30,2020-12-31,1212,1210,0.5577557755775577,0.5537190082644629,1092,0.5595238095238095,0.0024668739250606414,118,0.5,0.0017290349387495917,120,0.5416666666666666,-0.0021398371060161827,-0.00403676731309488
2021-09-30,2020-12-31,1212,1210,0.5577557755775577,0.5512396694214876,1028,0.5632295719844358,0.002441764247955721,182,0.4835164835164835,-0.0006545874880153738,184,0.5271739130434783,-0.00039721616007719037,-0.006516106156070123
2021-12-31,2021-12-31,1211,1211,0.5458298926507019,0.5458298926507019,1211,0.5458298926507019,0.001961164761850383,0,,,0,,,0.0
2022-03-31,2021-12-31,1211,1210,0.5458298926507019,0.5264462809917355,1152,0.5407986111111112,0.0018621678833734912,58,0.2413793103448276,-0.013658514885404385,59,0.6440677966101694,0.003894120761941555,-0.019383611658966404
2022-06-30,2021-12-31,1211,1209,0.5458298926507019,0.5318444995864351,1092,0.5439560439560439,0.0017916300387987407,117,0.4188034188034188,-0.004233877940326953,119,0.5630252100840336,0.0035168951616183957,-0.013985393064266827
2022-09-30,2021-12-31,1211,1209,0.5458298926507019,0.5119933829611248,1027,0.5404089581304771,0.001564218858707281,182,0.3516483516483517,-0.006444495138587784,184,0.5760869565217391,0.004176726949502372,-0.03383650968957708
2022-12-31,2022-12-31,1209,1209,0.5028949545078577,0.5028949545078577,1209,0.5028949545078577,0.0001495617154461914,0,,,0,,,0.0
2023-03-31,2022-12-31,1209,1209,0.5028949545078577,0.5062034739454094,1150,0.5017391304347826,0.0004085675751269641,59,0.5932203389830508,0.0036981190908482457,59,0.5254237288135594,-0.004898857583416326,0.003308519437551727
2023-06-30,2022-12-31,1209,1208,0.5028949545078577,0.5132450331125827,1090,0.5110091743119266,0.001035356013471764,118,0.5338983050847458,0.00010596004138211764,119,0.42857142857142855,-0.007964016308485523,0.010350078604725033
2023-09-30,2022-12-31,1209,1208,0.5028949545078577,0.5082781456953642,1026,0.5116959064327485,0.001318197573076023,182,0.489010989010989,-0.0009177098659488082,183,0.453551912568306,-0.006402462273232534,0.00538319118750652
2023-12-31,2023-12-31,1208,1208,0.5024834437086093,0.5024834437086093,1208,0.5024834437086093,0.0008143949005869524,0,,,0,,,0.0
2024-03-31,2023-12-31,1208,1208,0.5024834437086093,0.4900662251655629,1150,0.4860869565217391,-0.0004401878208358468,58,0.5689655172413793,0.004707053351613726,58,0.8275862068965517,0.025689741963280374,-0.012417218543046393
2024-06-30,2023-12-31,1208,1207,0.5024834437086093,0.48384424192212094,1090,0.4834862385321101,-0.0003451111194889809,117,0.48717948717948717,0.001642659232118724,118,0.6779661016949152,0.011525086102983282,-0.01863920178648837
2024-09-30,2023-12-31,1208,1206,0.5024834437086093,0.472636815920398,1025,0.48,-0.00036802350935628174,181,0.430939226519337,0.0015416903216653743,183,0.6284153005464481,0.007437230256826374,-0.02984662778821129
2024-12-31,2024-12-31,1206,1206,0.472636815920398,0.472636815920398,1206,0.472636815920398,0.00029770047382502113,0,,,0,,,0.0
2025-03-31,2024-12-31,1206,1205,0.472636815920398,0.4738589211618257,1148,0.4686411149825784,0.0006984960487082843,57,0.5789473684210527,-0.0011815514370755195,58,0.5517241379310345,-0.007635287801450606,0.0012221052414276845
2025-06-30,2024-12-31,1206,1206,0.472636815920398,0.4701492537313433,1089,0.45821854912764004,-0.00013679031286794653,117,0.5811965811965812,-0.0005009400289336522,117,0.6068376068376068,0.004341807026890332,-0.002487562189054715
2025-09-30,2024-12-31,1206,1206,0.472636815920398,0.48258706467661694,1023,0.4525904203323558,-0.0004919569129709884,183,0.6502732240437158,0.003918392608085819,183,0.5846994535519126,0.004712014718045337,0.009950248756218916
2025-12-31,2025-12-31,1206,1206,0.4792703150912106,0.4792703150912106,1206,0.4792703150912106,-0.00027303125318743724,0,,,0,,,0.0
2026-03-31,2025-12-31,1206,1204,0.4792703150912106,0.4792358803986711,1148,0.4808362369337979,-4.803427187020824e-05,56,0.44642857142857145,-0.002930475982073598,58,0.4482758620689655,-0.004726419779949146,-3.4434692539497824e-05
2026-06-30,2025-12-31,1206,1204,0.4792703150912106,0.4908637873754153,1088,0.4806985294117647,-7.912497349547139e-05,116,0.5862068965517241,0.002746660886417311,118,0.4661016949152542,-0.0020609128828896336,0.011593472284204709
