period,method,n,annual_correct,quarter_head_correct,annual_accuracy,quarter_head_accuracy,annual_brier,quarter_head_brier,regression,recovery,stable_correct,stable_wrong
extension_2021_2023,learned_market,147,68,65,0.46258503401360546,0.4421768707482993,0.27734435271068364,0.27537589341751856,9,6,59,73
extension_2021_2023,learned_order_extension,147,68,65,0.46258503401360546,0.4421768707482993,0.27619463046064996,0.2707258508942985,12,9,56,70
extension_2021_2023,learned_order_offset,147,68,64,0.46258503401360546,0.43537414965986393,0.27610798228259453,0.2707475415103204,13,9,55,70
extension_2021_2023,learned_vol_interaction,147,71,67,0.48299319727891155,0.4557823129251701,0.27796696614179484,0.27566203513195864,11,7,60,69
recent_2024_2026,learned_market,125,69,63,0.552,0.504,0.2461523397568928,0.24934199897192705,10,4,59,52
recent_2024_2026,learned_order_extension,125,72,65,0.576,0.52,0.24979019168659042,0.25245768272560265,12,5,60,48
recent_2024_2026,learned_order_offset,125,71,65,0.568,0.52,0.24982431126055007,0.2524744204242924,12,6,59,48
recent_2024_2026,learned_vol_interaction,125,68,66,0.544,0.528,0.2468426342538934,0.25040720147547735,7,5,61,52
pooled_2021_2026,learned_market,272,137,128,0.5036764705882353,0.47058823529411764,0.2630097879341253,0.2634117875142136,19,10,118,125
pooled_2021_2026,learned_order_extension,272,140,130,0.5147058823529411,0.47794117647058826,0.2640602376416888,0.2623305530226552,24,14,116,118
pooled_2021_2026,learned_order_offset,272,139,129,0.5110294117647058,0.4742647058823529,0.2640290893496697,0.2623499674818149,25,15,114,118
pooled_2021_2026,learned_vol_interaction,272,139,133,0.5110294117647058,0.4889705882352941,0.26366350479625184,0.26405595348835514,18,12,121,121
year_2021,learned_market,50,29,28,0.58,0.56,0.26094551746765576,0.2563126460941869,2,1,27,20
year_2021,learned_order_extension,50,29,28,0.58,0.56,0.2647650764059568,0.25762451378546425,2,1,27,20
year_2021,learned_order_offset,50,29,28,0.58,0.56,0.264724145089318,0.25763258033379655,2,1,27,20
year_2021,learned_vol_interaction,50,29,29,0.58,0.58,0.2626379063442903,0.2574248401244812,1,1,28,20
year_2022,learned_market,49,18,16,0.3673469387755102,0.32653061224489793,0.3057236543478833,0.295646958008164,4,2,14,29
year_2022,learned_order_extension,49,19,15,0.3877551020408163,0.30612244897959184,0.3034151187049206,0.2853853706885426,6,2,13,28
year_2022,learned_order_offset,49,19,15,0.3877551020408163,0.30612244897959184,0.30336212513532623,0.28527832248172236,6,2,13,28
year_2022,learned_vol_interaction,49,21,16,0.42857142857142855,0.32653061224489793,0.3060813859219992,0.2961357914696307,7,2,14,26
year_2023,learned_market,48,21,21,0.4375,0.4375,0.26545593566752973,0.27454006427637184,3,3,18,24
year_2023,learned_order_extension,48,20,22,0.4166666666666667,0.4583333333333333,0.2603128341849292,0.26940815059270995,4,6,16,22
year_2023,learned_order_offset,48,20,21,0.4166666666666667,0.4375,0.26014420853009396,0.2695754538275598,5,6,15,22
year_2023,learned_vol_interaction,48,21,22,0.4375,0.4583333333333333,0.26523459990523673,0.27375882033670756,3,4,18,23
year_2024,learned_market,47,34,30,0.723404255319149,0.6382978723404256,0.22135338515848307,0.22145365607513848,5,1,29,12
year_2024,learned_order_extension,47,33,31,0.7021276595744681,0.6595744680851063,0.23149579641952137,0.22957503425517478,4,2,29,12
year_2024,learned_order_offset,47,32,32,0.6808510638297872,0.6808510638297872,0.23175374278726688,0.22975052372462565,3,3,29,12
year_2024,learned_vol_interaction,47,34,32,0.723404255319149,0.6808510638297872,0.22280804607377586,0.22321612638191485,4,2,30,11
year_2025,learned_market,48,21,22,0.4375,0.4583333333333333,0.26306621694994814,0.2668939834662015,1,2,20,25
year_2025,learned_order_extension,48,23,24,0.4791666666666667,0.5,0.26310957448667444,0.267225815676839,1,2,22,23
year_2025,learned_order_offset,48,23,23,0.4791666666666667,0.4791666666666667,0.26297237896251674,0.26711091203940646,2,2,21,23
year_2025,learned_vol_interaction,48,22,24,0.4583333333333333,0.5,0.2637150567241412,0.26814021125618653,1,3,21,23
year_2026,learned_market,30,14,11,0.4666666666666667,0.36666666666666664,0.2579418317855127,0.26495056098605685,4,1,10,15
year_2026,learned_order_extension,30,16,10,0.5333333333333333,0.3333333333333333,0.25714039845819736,0.2646781526072949,7,1,9,13
year_2026,learned_order_offset,30,16,10,0.5333333333333333,0.3333333333333333,0.2570979602122138,0.2646568053362545,7,1,9,13
year_2026,learned_vol_interaction,30,12,10,0.4,0.3333333333333333,0.25750094645034777,0.2646337368062573,2,0,10,18
