method,date,year,row_index,joint_completed,head_cutoff,encoder_cutoff,actual_up,actual,old_probability,new_probability,probability_change,old_up,new_up,old_correct,new_correct,case,old_margin,new_margin,brier_change,p_intercept,coef_intercept,transform_intercept,signed_intercept,p_decoded,coef_decoded,transform_decoded,signed_decoded,p_market,coef_market,transform_market,signed_market,p_vol,coef_vol,transform_vol,signed_vol,p_order,coef_order,transform_order,signed_order,signed_probability_change,dominant_adverse_group,dominant_ties
learned_market,2021-04-09,2021,2477,2021-04-19,2021-03-31,2020-12-31,0,-0.0120489836840408,0.6321055329611007,0.6343363805601602,0.002230847599059449,1,1,False,False,stable_wrong,0.13210553296110072,0.13433638056016017,0.0028252389021271584,-0.00345764184869606,-0.00345764184869606,0.0,0.00345764184869606,0.012073521532085829,0.01113921040782608,0.0009343111242597464,-0.012073521532085829,-0.0063850320843302465,-0.007531121158789186,0.0011460890744589402,0.0063850320843302465,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.002230847599059449,decoded,1
learned_market,2021-04-16,2021,2482,2021-04-26,2021-03-31,2020-12-31,1,0.0382932540809155,0.567805440823208,0.5505288084988468,-0.017276632324361274,1,1,True,True,stable_correct,0.06780544082320805,0.05052880849884678,0.015232215007444844,-0.003688239108124327,-0.003688239108124327,0.0,-0.003688239108124327,-0.00706974343778901,-0.007531613703869366,0.0004618702660803618,-0.00706974343778901,-0.006518649778447974,-0.008165890406265797,0.0016472406278178282,-0.006518649778447974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017276632324361274,decoded,1
learned_market,2021-04-23,2021,2487,2021-05-06,2021-03-31,2020-12-31,0,-0.0112070185917437,0.6348872722727549,0.6233080002843137,-0.01157927198844122,1,1,False,False,stable_wrong,0.13488727227275488,0.12330800028431366,-0.01456898527550926,-0.003484360761338316,-0.003484360761338316,0.0,0.003484360761338316,-0.0018389898392121944,-0.003225565692080233,0.0013865758528680645,0.0018389898392121944,-0.006255921387890748,-0.008198682083833559,0.0019427606959428096,0.006255921387890748,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.01157927198844122,none,0
learned_market,2021-04-30,2021,2492,2021-05-12,2021-03-31,2020-12-31,0,-0.0190946889464188,0.6259373673250876,0.6142715142093851,-0.011665853115702562,1,1,False,False,stable_wrong,0.12593736732508765,0.11427151420938508,-0.014468094644770946,-0.003409201660710159,-0.003409201660710159,0.0,0.003409201660710159,-0.002339679166490263,-0.0027134376918954623,0.00037375852540519886,0.002339679166490263,-0.005916972288502166,-0.008196441507128437,0.002279469218626271,0.005916972288502166,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.011665853115702562,none,0
learned_market,2021-05-07,2021,2494,2021-05-17,2021-03-31,2020-12-31,1,0.0227674429764228,0.6867029795215412,0.6761049979128498,-0.01059798160869141,1,1,True,True,stable_correct,0.18670297952154125,0.17610499791284984,0.006752949336355202,-0.0031681816793200017,-0.0031681816793200017,0.0,-0.0031681816793200017,0.0003466988227709168,-0.0006534293358056593,0.0010001281585765704,0.0003466988227709168,-0.007776498752142393,-0.009692772223426476,0.0019162734712840832,-0.007776498752142393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01059798160869141,market,1
learned_market,2021-05-14,2021,2499,2021-05-24,2021-03-31,2020-12-31,1,0.0045940519733895,0.5300139783759729,0.49836383256688754,-0.03165014580908532,1,0,True,False,regression,0.03001397837597286,-0.0016361674331124565,0.030751983955001144,-0.0036687130016899647,-0.0036687130016899647,0.0,-0.0036687130016899647,-0.018454103544289318,-0.018379726163376343,-7.43773809129553e-05,-0.018454103544289318,-0.009527329263105995,-0.011621451936422979,0.0020941226733169806,-0.009527329263105995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03165014580908532,decoded,1
learned_market,2021-05-21,2021,2504,2021-05-31,2021-03-31,2020-12-31,1,0.0348855085126711,0.6171517717115208,0.5900677102130586,-0.02708406149846221,1,1,True,True,stable_correct,0.1171517717115208,0.0900677102130586,0.02147171630633743,-0.003607085867652717,-0.003607085867652717,0.0,-0.003607085867652717,-0.012863410757446481,-0.013156492475334266,0.00029308171788777006,-0.012863410757446481,-0.010613564873363004,-0.013214309338822389,0.002600744465459384,-0.010613564873363004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02708406149846221,decoded,1
learned_market,2021-05-28,2021,2509,2021-06-07,2021-03-31,2020-12-31,0,-0.0062409741861724,0.5499439655342768,0.4734899284976379,-0.07645403703663894,1,0,False,True,recovery,0.049943965534276824,-0.02651007150236212,-0.07824565283886761,-0.0036959839947776373,-0.0036959839947776373,0.0,0.0036959839947776373,-0.06882536442239358,-0.07029740759592522,0.0014720431735316091,0.06882536442239358,-0.003932688619467733,-0.005322569226081064,0.0013898806066133297,0.003932688619467733,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.07645403703663894,none,0
learned_market,2021-06-04,2021,2514,2021-06-15,2021-03-31,2020-12-31,0,-0.0125508761771767,0.420707971879259,0.39750366362996686,-0.02320430824929215,0,0,True,True,stable_correct,-0.07929202812074099,-0.10249633637003314,-0.018986035003513563,-0.0035761347285178536,-0.0035761347285178536,0.0,0.0035761347285178536,-0.014471271101528897,-0.01375666969771938,-0.0007146014038095366,0.014471271101528897,-0.005156902419245362,-0.0064196031812229805,0.0012627007619776195,0.005156902419245362,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.02320430824929215,none,0
learned_market,2021-06-11,2021,2519,2021-06-21,2021-03-31,2020-12-31,0,-0.0250011497424577,0.3417208038382485,0.3182847098837585,-0.023436093954489978,0,0,True,True,stable_correct,-0.1582791961617515,-0.1817152901162415,-0.015467951230070373,-0.0032143975243396766,-0.0032143975243396766,0.0,0.0032143975243396766,-0.016660358918684445,-0.015034963774071269,-0.0016253951446131658,0.016660358918684445,-0.003561337511465935,-0.005352256162599776,0.001790918651133842,0.003561337511465935,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.023436093954489978,none,0
learned_market,2021-06-18,2021,2523,2021-06-28,2021-03-31,2020-12-31,1,0.0325308711127356,0.38627372137468335,0.3701473715097759,-0.016126349864907463,0,0,False,False,stable_wrong,-0.11372627862531665,-0.1298526284902241,0.020054388540764634,-0.0035290045609924947,-0.0035290045609924947,0.0,-0.0035290045609924947,-0.007349120208228536,-0.005429377762254967,-0.0019197424459735577,-0.007349120208228536,-0.005248225095686432,-0.006935005119313643,0.0016867800236272095,-0.005248225095686432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016126349864907463,decoded,1
learned_market,2021-06-25,2021,2528,2021-07-05,2021-03-31,2020-12-31,0,-0.0342297962734196,0.3771981442930659,0.3539035817025258,-0.023294562590540135,0,0,True,True,stable_correct,-0.12280185570693408,-0.14609641829747422,-0.01703069491625625,-0.003450190159456449,-0.003450190159456449,0.0,0.003450190159456449,-0.013223560206658486,-0.012851844836427156,-0.0003717153702313112,0.013223560206658486,-0.006620812224425235,-0.008992843049287503,0.0023720308248622664,0.006620812224425235,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.023294562590540135,none,0
learned_market,2021-07-02,2021,2533,2021-07-12,2021-06-30,2020-12-31,1,0.0068193733271841,0.45748776938154395,0.4692620346416086,0.011774265260064642,0,0,False,False,stable_wrong,-0.04251223061845605,-0.030737965358391406,-0.012636732497847636,-0.0045785309250299,-0.0045785309250299,0.0,-0.0045785309250299,0.016066051157304497,0.02119639924701032,-0.005130348089705838,0.016066051157304497,0.00028674502779011887,-0.0016801027330979417,0.001966847760888059,0.00028674502779011887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011774265260064642,intercept,1
learned_market,2021-07-09,2021,2538,2021-07-19,2021-06-30,2020-12-31,0,-0.0048254045313779,0.41715766584427105,0.44004122180320754,0.022883555958936486,0,0,True,True,stable_correct,-0.08284233415572895,-0.05995877819679246,0.019615758713419196,-0.003938791157521438,-0.003938791157521438,0.0,0.003938791157521438,0.025919870112524706,0.03305324438922822,-0.007133374276703532,-0.025919870112524706,0.0009024770039332595,-0.00048325350464752944,0.0013857305085807892,-0.0009024770039332595,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.022883555958936486,decoded,1
learned_market,2021-07-16,2021,2543,2021-07-26,2021-06-30,2020-12-31,0,-0.0032299118953994,0.3961869094917308,0.42504764737853123,0.028860737886800436,0,0,True,True,stable_correct,-0.1038130905082692,-0.07495235262146877,0.023701435289415346,-0.004460397443753385,-0.004460397443753385,0.0,0.004460397443753385,0.030352148567938903,0.03355061112811337,-0.0031984625601744567,-0.030352148567938903,0.002968986762614917,0.0013082084191076814,0.0016607783435072365,-0.002968986762614917,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.028860737886800436,decoded,1
learned_market,2021-07-23,2021,2548,2021-08-02,2021-06-30,2020-12-31,0,-0.0537740931579083,0.47917206557692377,0.5423655040992951,0.0631934385223713,0,1,True,False,regression,-0.020827934423076233,0.04236550409929507,0.06455447160762673,-0.004483410809209797,-0.004483410809209797,0.0,0.004483410809209797,0.06579752825846753,0.06650087261043706,-0.0007033443519695275,-0.06579752825846753,0.0018793210731136354,0.00022477948070892106,0.0016545415924047117,-0.0018793210731136354,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0631934385223713,decoded,1
