method,date,year,row_index,joint_completed,head_cutoff,encoder_cutoff,actual_up,actual,old_probability,new_probability,probability_change,old_up,new_up,old_correct,new_correct,case,old_margin,new_margin,brier_change,p_intercept,coef_intercept,transform_intercept,signed_intercept,p_decoded,coef_decoded,transform_decoded,signed_decoded,p_market,coef_market,transform_market,signed_market,p_vol,coef_vol,transform_vol,signed_vol,p_order,coef_order,transform_order,signed_order,signed_probability_change,dominant_adverse_group,dominant_ties
learned_market,2021-05-14,2021,2499,2021-05-24,2021-03-31,2020-12-31,1,0.0045940519733895,0.5300139783759729,0.49836383256688754,-0.03165014580908532,1,0,True,False,regression,0.03001397837597286,-0.0016361674331124565,0.030751983955001144,-0.0036687130016899647,-0.0036687130016899647,0.0,-0.0036687130016899647,-0.018454103544289318,-0.018379726163376343,-7.43773809129553e-05,-0.018454103544289318,-0.009527329263105995,-0.011621451936422979,0.0020941226733169806,-0.009527329263105995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03165014580908532,decoded,1
learned_market,2021-05-28,2021,2509,2021-06-07,2021-03-31,2020-12-31,0,-0.0062409741861724,0.5499439655342768,0.4734899284976379,-0.07645403703663894,1,0,False,True,recovery,0.049943965534276824,-0.02651007150236212,-0.07824565283886761,-0.0036959839947776373,-0.0036959839947776373,0.0,0.0036959839947776373,-0.06882536442239358,-0.07029740759592522,0.0014720431735316091,0.06882536442239358,-0.003932688619467733,-0.005322569226081064,0.0013898806066133297,0.003932688619467733,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.07645403703663894,none,0
learned_market,2021-07-23,2021,2548,2021-08-02,2021-06-30,2020-12-31,0,-0.0537740931579083,0.47917206557692377,0.5423655040992951,0.0631934385223713,0,1,True,False,regression,-0.020827934423076233,0.04236550409929507,0.06455447160762673,-0.004483410809209797,-0.004483410809209797,0.0,0.004483410809209797,0.06579752825846753,0.06650087261043706,-0.0007033443519695275,-0.06579752825846753,0.0018793210731136354,0.00022477948070892106,0.0016545415924047117,-0.0018793210731136354,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0631934385223713,decoded,1
learned_market,2022-04-29,2022,2733,2022-05-11,2022-03-31,2021-12-31,0,-0.0278824133054675,0.5023319608025917,0.4945562129482983,-0.007775747854293358,1,0,False,True,recovery,0.0023319608025916816,-0.005443787051701676,-0.007751551078013896,-0.020206825499029576,-0.020206825499029576,0.0,0.020206825499029576,0.023771470693586424,0.022178170748506962,0.0015932999450794588,-0.023771470693586424,-0.0113403930488501,-0.00955898092785694,-0.0017814121209931597,0.0113403930488501,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.007775747854293358,decoded,1
learned_market,2022-07-01,2022,2774,2022-07-11,2022-06-30,2021-12-31,0,-0.0092349827532707,0.49633439488206865,0.5248288281321308,0.02849443325006218,0,1,True,False,regression,-0.0036656051179313476,0.02482882813213083,0.02909746729559648,-0.01567291067398055,-0.01567291067398055,0.0,0.01567291067398055,0.029418257069871497,0.026429580590352265,0.0029886764795192373,-0.029418257069871497,0.014749086854171145,0.017108453399197008,-0.0023593665450258668,-0.014749086854171145,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.02849443325006218,decoded,1
learned_market,2022-07-22,2022,2789,2022-08-01,2022-06-30,2021-12-31,0,-0.0173077967751003,0.47899863601678566,0.5112924958525321,0.03229385983574645,0,1,True,False,regression,-0.02100136398321434,0.011292495852532114,0.031980323009170475,-0.015279148956903701,-0.015279148956903701,0.0,0.015279148956903701,0.04011730342602891,0.03791398921809938,0.002203314207929519,-0.04011730342602891,0.007455705366621319,0.00866386372446428,-0.0012081583578429636,-0.007455705366621319,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.03229385983574645,decoded,1
learned_market,2022-12-02,2022,2878,2022-12-12,2022-09-30,2021-12-31,1,0.0175374394775362,0.5211543827116397,0.4726265217720454,-0.048527860939594325,1,0,True,False,regression,0.02115438271163972,-0.027373478227954606,0.04882966034198019,-0.036042562373786606,-0.036042562373786606,0.0,-0.036042562373786606,0.028925128726446803,0.026314561733748285,0.0026105669926984945,0.028925128726446803,-0.04141042729225457,-0.035463081916413695,-0.005947345375840872,-0.04141042729225457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048527860939594325,market,1
learned_market,2022-12-16,2022,2888,2022-12-26,2022-09-30,2021-12-31,0,-0.0309150292073658,0.5623433034730375,0.4957621899294871,-0.0665811135435504,1,0,False,True,recovery,0.062343303473037515,-0.004237810070512882,-0.0704498419972879,-0.03589535321933887,-0.03589535321933887,0.0,0.03589535321933887,0.0015596850450480145,-9.190231300652135e-05,0.0016515873580545228,-0.0015596850450480145,-0.03224544536925947,-0.025950557922024813,-0.006294887447234651,0.03224544536925947,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0665811135435504,decoded,1
learned_market,2022-12-23,2022,2893,2023-01-03,2022-09-30,2021-12-31,1,0.0089464492229616,0.5238621504900975,0.41801824884162025,-0.10584390164847729,1,0,True,False,regression,0.023862150490097545,-0.08198175115837975,0.11199550694545976,-0.03588269924970219,-0.03588269924970219,0.0,-0.03588269924970219,0.00826868513254435,0.005378971142069031,0.002889713990475323,0.00826868513254435,-0.07822988753131942,-0.07245786772355099,-0.005772019807768403,-0.07822988753131942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10584390164847729,market,1
learned_market,2023-05-26,2023,2993,2023-06-05,2023-03-31,2022-12-31,0,-0.0003935703040848,0.49788297412809596,0.5194414184387536,0.02155844431065762,0,1,True,False,regression,-0.0021170258719040436,0.019441418438753577,0.021931931263026033,0.003115816062041869,0.003115816062041869,0.0,-0.003115816062041869,-0.024747568399030483,-0.023338376107680556,-0.0014091922913499338,0.024747568399030483,0.04319019664764626,0.04261916533995178,0.0005710313076944801,-0.04319019664764626,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.02155844431065762,market,1
learned_market,2023-07-07,2023,3021,2023-07-17,2023-06-30,2022-12-31,1,0.0104280552692135,0.46486168201210815,0.5406256620069226,0.07576397999481449,0,1,False,True,recovery,-0.035138317987891854,0.040625662006922636,-0.07534823697233206,0.010371877590491284,0.010371877590491284,0.0,0.010371877590491284,0.01618670460480795,0.01785177488424545,-0.0016650702794374873,0.01618670460480795,0.049205397799515195,0.04664660810122575,0.002558789698289446,0.049205397799515195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07576397999481449,none,0
learned_market,2023-07-28,2023,3036,2023-08-07,2023-06-30,2022-12-31,0,-0.0039612927947766,0.46601968623152207,0.5236272655386979,0.057607579307175805,0,1,True,False,regression,-0.03398031376847793,0.023627265538697872,0.05701116526020775,0.010268511150751475,0.010268511150751475,0.0,-0.010268511150751475,0.028478390872720166,0.030785423039885157,-0.002307032167164989,-0.028478390872720166,0.018860677283704125,0.016361246100057517,0.002499431183646607,-0.018860677283704125,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.057607579307175805,decoded,1
learned_market,2023-08-04,2023,3041,2023-08-14,2023-06-30,2022-12-31,0,-0.0404899362223548,0.48315939615600567,0.5227383346801652,0.0395789385241595,0,1,True,False,regression,-0.01684060384399433,0.022738334680165173,0.039812364450356325,0.009764338798122513,0.009764338798122513,0.0,-0.009764338798122513,0.022968256626027018,0.025494119597233123,-0.0025258629712061197,-0.022968256626027018,0.006846343100009922,0.0044618478125203745,0.002384495287489541,-0.006846343100009922,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0395789385241595,decoded,1
learned_market,2023-08-18,2023,3051,2023-08-28,2023-06-30,2022-12-31,1,0.0366582477081969,0.4990632713040057,0.5189260904441028,0.019862819140097077,0,1,False,True,recovery,-0.0009367286959943155,0.01892609044410276,-0.01950549970124857,0.010162972364293733,0.010162972364293733,0.0,0.010162972364293733,-0.009870015821769192,-0.006847105739162092,-0.0030229100826070967,-0.009870015821769192,0.019569862597572568,0.017293733164756468,0.0022761294328160994,0.019569862597572568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019862819140097077,decoded,1
learned_market,2023-12-15,2023,3130,2023-12-25,2023-09-30,2022-12-31,1,0.0003424256350643,0.47065036969970947,0.5090237695461114,0.03837339984640192,0,1,False,True,recovery,-0.02934963030029053,0.009023769546111393,-0.03915337222834428,0.004695483840321872,0.004695483840321872,0.0,0.004695483840321872,0.029300070771570458,0.033146039346109324,-0.0038459685745388683,0.029300070771570458,0.0043778452345095585,-0.0009609435062130266,0.005338788740722581,0.0043778452345095585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03837339984640192,none,0
learned_market,2024-06-28,2024,3257,2024-07-08,2024-03-31,2023-12-31,0,-0.0108320369203009,0.4931675128202729,0.5063141576650142,0.013146644844741318,0,1,True,False,regression,-0.00683248717972712,0.006314157665014197,0.013139830550698839,-0.013113509898425642,-0.013113509898425642,0.0,0.013113509898425642,0.02775326856502086,0.027138170090726207,0.000615098474294635,-0.02775326856502086,-0.0014931138218538824,1.8309164089402575e-05,-0.0015114229859432852,0.0014931138218538824,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.013146644844741318,decoded,1
