head_cutoff,encoder_cutoff,seed,group,parameter,dimensions,old_norm,new_norm,delta_norm,maximum_absolute_change,maximum_abs_log_ratio
2021-03-31,2020-12-31,20260910,rep,mean,25,2.511178814824568,2.502511039095058,0.09460055365892027,0.04895373334300519,
2021-03-31,2020-12-31,20260910,rep,sd,25,2.102431151479999,2.0892262385910283,0.019199056914308333,0.010790888918710495,0.031289754409016594
2021-03-31,2020-12-31,20260910,market,lower,4,1.7581780932364166,1.7206821249041597,0.03749736784773127,0.0319762544372586,
2021-03-31,2020-12-31,20260910,market,upper,4,2.8590215426351118,2.85987700897344,0.007798338349350019,0.00570508974829026,
2021-03-31,2020-12-31,20260910,market,mean,4,0.31883295672664425,0.41993306048880447,0.10138164926181163,0.10121112143985572,
2021-03-31,2020-12-31,20260910,market,sd,4,1.0005765385727114,0.982783573942136,0.01836926343160972,0.018067708214271616,0.1497895682044664
2021-03-31,2020-12-31,20260910,vol,ray,25,0.6494616540667225,0.680326083604737,0.21155282775464218,0.10831684829551996,
2021-03-31,2020-12-31,20260910,vol,projection,30,1.7050950983180369,1.9445747613008981,0.8900949940685832,0.43631027209954637,
2021-03-31,2020-12-31,20260910,vol,residual_mean,1,3.136471647125855e-16,9.98925687557036e-16,6.852785228444506e-16,6.852785228444506e-16,
2021-03-31,2020-12-31,20260910,vol,residual_sd,1,0.40093881821854543,0.42105337508987983,0.0201145568713344,0.0201145568713344,0.048950764687400006
2021-03-31,2020-12-31,20260910,order,ray,25,0.6494616540667225,0.680326083604737,0.21155282775464218,0.10831684829551996,
2021-03-31,2020-12-31,20260910,order,projection,31,0.21362084990056276,0.21832067913534092,0.058423837879636044,0.02967246547442874,
2021-03-31,2020-12-31,20260910,order,residual_mean,1,1.0076281576630959e-17,9.534532994303574e-18,5.417485823273847e-19,5.417485823273847e-19,
2021-03-31,2020-12-31,20260910,order,residual_sd,1,0.036108380299244736,0.03485122970655177,0.0012571505926929627,0.0012571505926929627,0.03543655737020829
2021-03-31,2020-12-31,20260911,rep,lower,25,6.992691591935535,6.995182879363249,0.05325378027794659,0.0375196552276611,
2021-03-31,2020-12-31,20260911,rep,upper,25,4.208350909662475,4.210375961875694,0.013021755085478507,0.012479579448699929,
2021-03-31,2020-12-31,20260911,rep,mean,25,2.427472714836193,2.4809017570051335,0.08531103486911891,0.03353176964134186,
2021-03-31,2020-12-31,20260911,rep,sd,25,3.442420269733136,3.4237350221044642,0.03945850639137337,0.020205205712143348,0.02426160858739935
2021-03-31,2020-12-31,20260911,market,lower,4,1.7581780932364166,1.7206821249041597,0.03749736784773127,0.0319762544372586,
2021-03-31,2020-12-31,20260911,market,upper,4,2.8590215426351118,2.85987700897344,0.007798338349350019,0.00570508974829026,
2021-03-31,2020-12-31,20260911,market,mean,4,0.31883295672664425,0.41993306048880447,0.10138164926181163,0.10121112143985572,
2021-03-31,2020-12-31,20260911,market,sd,4,1.0005765385727114,0.982783573942136,0.01836926343160972,0.018067708214271616,0.1497895682044664
2021-03-31,2020-12-31,20260911,vol,ray,25,0.932890435662049,0.8562580202939981,0.2482247265093617,0.09527813969718643,
2021-03-31,2020-12-31,20260911,vol,projection,30,2.296883079374309,1.9580425561766392,1.4711908786267935,0.6333499202423857,
2021-03-31,2020-12-31,20260911,vol,residual_mean,1,2.696779360145595e-16,1.4081771806971432e-16,4.104956540842738e-16,4.104956540842738e-16,
2021-03-31,2020-12-31,20260911,vol,residual_sd,1,0.5409159482377265,0.46696488703920097,0.07395106119852551,0.07395106119852551,0.14700983658600875
2021-03-31,2020-12-31,20260911,order,ray,25,0.932890435662049,0.8562580202939981,0.2482247265093617,0.09527813969718643,
2021-03-31,2020-12-31,20260911,order,projection,31,0.14950397294069787,0.16706019703286337,0.07810971043598396,0.041954857428261313,
2021-03-31,2020-12-31,20260911,order,residual_mean,1,5.862563826403467e-18,1.0267958609250002e-17,4.405394782846535e-18,4.405394782846535e-18,
2021-03-31,2020-12-31,20260911,order,residual_sd,1,0.05340044258146025,0.04660171402462367,0.006798728556836581,0.006798728556836581,0.13618171187467343
2021-03-31,2020-12-31,20260912,rep,lower,25,3.213742639084841,3.205042709880062,0.035801614119175235,0.018357878327369702,
2021-03-31,2020-12-31,20260912,rep,upper,25,2.837164635855945,2.838979004614589,0.021416530607653427,0.013506264686584779,
2021-03-31,2020-12-31,20260912,rep,mean,25,2.78341537756562,2.779196275309727,0.029885778199989003,0.015133568509682394,
2021-03-31,2020-12-31,20260912,rep,sd,25,0.630153125094924,0.6260035371011587,0.006452222357319913,0.0026976592684021805,0.027691438706348742
2021-03-31,2020-12-31,20260912,market,lower,4,1.7581780932364166,1.7206821249041597,0.03749736784773127,0.0319762544372586,
2021-03-31,2020-12-31,20260912,market,upper,4,2.8590215426351118,2.85987700897344,0.007798338349350019,0.00570508974829026,
