cutoff,schedule,train_n,total_epochs,steps_per_epoch,total_steps,total_presentations,last_batch_n,lr1_20,lr21_40,weight_decay,nominal_cumulative_decay_factor
2017-12-31,constant40,1678,40,14,560,67120,14,0.001,0.001,0.1,0.9455364882080147
2017-12-31,decay40,1678,40,14,560,67120,14,0.001,0.0001,0.1,0.9696681163791749
2018-12-31,constant40,1921,40,16,640,76840,1,0.001,0.001,0.1,0.938001997719418
2018-12-31,decay40,1921,40,16,640,76840,1,0.001,0.0001,0.1,0.9654107542770258
2019-12-31,constant40,2165,40,17,680,86600,117,0.001,0.001,0.1,0.9342572968852296
2019-12-31,decay40,2165,40,17,680,86600,117,0.001,0.0001,0.1,0.9632890879006708
