cutoff,year,method,seed,source,target,source_n,target_n,status,overall_delta,composition,within_state
2021-03-31,2021,learned_vol_interaction,20260911,friday,future,11,13,target_state_absent_in_source,-0.15831001277538131,,
2021-03-31,2021,learned_vol_interaction,20260911,daily,future,58,13,target_state_absent_in_source,-0.14619543699772897,,
2021-03-31,2021,learned_vol_interaction,20260912,daily,friday,58,11,defined,-0.013046904819919963,0.0013555305972422264,-0.014402435417162178
2021-03-31,2021,learned_vol_interaction,20260912,friday,future,11,13,target_state_absent_in_source,-0.11747350998257705,,
2021-03-31,2021,learned_vol_interaction,20260912,daily,future,58,13,target_state_absent_in_source,-0.13052041480249701,,
2021-03-31,2021,learned_vol_interaction,-1,daily,friday,58,11,defined,-0.003211108774002742,0.0036097435333011223,-0.006820852307303872
2021-03-31,2021,learned_vol_interaction,-1,friday,future,11,13,target_state_absent_in_source,-0.14060483901747195,,
2021-03-31,2021,learned_vol_interaction,-1,daily,future,58,13,target_state_absent_in_source,-0.1438159477914747,,
2021-03-31,2021,learned_order_extension,20260910,daily,friday,58,11,defined,-0.008768586805345768,0.0036490381143387857,-0.012417624919684567
2021-03-31,2021,learned_order_extension,20260910,friday,future,11,13,target_state_absent_in_source,-0.14349891958988564,,
2021-03-31,2021,learned_order_extension,20260910,daily,future,58,13,target_state_absent_in_source,-0.15226750639523143,,
2021-03-31,2021,learned_order_extension,20260911,daily,friday,58,11,defined,0.012683732463724796,0.005790296674106248,0.006893435789618554
2021-03-31,2021,learned_order_extension,20260911,friday,future,11,13,target_state_absent_in_source,-0.14900298089792777,,
2021-03-31,2021,learned_order_extension,20260911,daily,future,58,13,target_state_absent_in_source,-0.13631924843420296,,
2021-03-31,2021,learned_order_extension,20260912,daily,friday,58,11,defined,-0.01307014704464512,0.001350195670178122,-0.014420342714823252
2021-03-31,2021,learned_order_extension,20260912,friday,future,11,13,target_state_absent_in_source,-0.11402775649601811,,
2021-03-31,2021,learned_order_extension,20260912,daily,future,58,13,target_state_absent_in_source,-0.12709790354066322,,
2021-03-31,2021,learned_order_extension,-1,daily,friday,58,11,defined,-0.0030516671287553745,0.003596510152874387,-0.0066481772816297455
2021-03-31,2021,learned_order_extension,-1,friday,future,11,13,target_state_absent_in_source,-0.13550988566127717,,
2021-03-31,2021,learned_order_extension,-1,daily,future,58,13,target_state_absent_in_source,-0.13856155279003254,,
2021-03-31,2021,learned_order_offset,20260910,daily,friday,58,11,defined,-0.008720015712786036,0.00364514179524348,-0.012365157508029495
2021-03-31,2021,learned_order_offset,20260910,friday,future,11,13,target_state_absent_in_source,-0.14332245813964942,,
2021-03-31,2021,learned_order_offset,20260910,daily,future,58,13,target_state_absent_in_source,-0.15204247385243547,,
2021-03-31,2021,learned_order_offset,20260911,daily,friday,58,11,defined,0.012704079163571797,0.005834799699280919,0.0068692794642908755
2021-03-31,2021,learned_order_offset,20260911,friday,future,11,13,target_state_absent_in_source,-0.1493143148819957,,
2021-03-31,2021,learned_order_offset,20260911,daily,future,58,13,target_state_absent_in_source,-0.1366102357184239,,
2021-03-31,2021,learned_order_offset,20260912,daily,friday,58,11,defined,-0.013034189312449073,0.0013489079024734956,-0.014383097214922563
2021-03-31,2021,learned_order_offset,20260912,friday,future,11,13,target_state_absent_in_source,-0.1139529795869343,,
2021-03-31,2021,learned_order_offset,20260912,daily,future,58,13,target_state_absent_in_source,-0.12698716889938338,,
2021-03-31,2021,learned_order_offset,-1,daily,friday,58,11,defined,-0.003016708620554468,0.0036096164656659645,-0.006626325086220429
