period,method,seed,view,cohort,cells,future_weeks,same_cells,opposite_cells,near_zero_cells,undefined_cells,same_weeks,opposite_weeks,near_zero_weeks,undefined_weeks
extension_2021_2023,learned_market,20260910,daily,available,20,109,9,11,0,0,49,60,0,0
extension_2021_2023,learned_market,20260910,daily,r37_eligible,12,72,7,5,0,0,43,29,0,0
extension_2021_2023,learned_market,20260910,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_market,20260910,friday,available,20,109,11,9,0,0,64,45,0,0
extension_2021_2023,learned_market,20260910,friday,r37_eligible,12,72,8,4,0,0,49,23,0,0
extension_2021_2023,learned_market,20260910,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_market,20260911,daily,available,20,109,10,10,0,0,65,44,0,0
extension_2021_2023,learned_market,20260911,daily,r37_eligible,12,72,8,4,0,0,59,13,0,0
extension_2021_2023,learned_market,20260911,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_market,20260911,friday,available,20,109,11,9,0,0,67,42,0,0
extension_2021_2023,learned_market,20260911,friday,r37_eligible,12,72,8,4,0,0,56,16,0,0
extension_2021_2023,learned_market,20260911,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_market,20260912,daily,available,20,109,9,11,0,0,48,61,0,0
extension_2021_2023,learned_market,20260912,daily,r37_eligible,12,72,7,5,0,0,42,30,0,0
extension_2021_2023,learned_market,20260912,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_market,20260912,friday,available,20,109,10,10,0,0,54,55,0,0
extension_2021_2023,learned_market,20260912,friday,r37_eligible,12,72,7,5,0,0,39,33,0,0
extension_2021_2023,learned_market,20260912,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_market,-1,daily,available,20,109,10,10,0,0,65,44,0,0
extension_2021_2023,learned_market,-1,daily,r37_eligible,12,72,8,4,0,0,59,13,0,0
extension_2021_2023,learned_market,-1,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_market,-1,friday,available,20,109,10,10,0,0,62,47,0,0
extension_2021_2023,learned_market,-1,friday,r37_eligible,12,72,7,5,0,0,47,25,0,0
extension_2021_2023,learned_market,-1,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_vol_interaction,20260910,daily,available,20,109,10,10,0,0,52,57,0,0
extension_2021_2023,learned_vol_interaction,20260910,daily,r37_eligible,12,72,7,5,0,0,43,29,0,0
extension_2021_2023,learned_vol_interaction,20260910,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_vol_interaction,20260910,friday,available,20,109,10,10,0,0,61,48,0,0
extension_2021_2023,learned_vol_interaction,20260910,friday,r37_eligible,12,72,8,4,0,0,49,23,0,0
extension_2021_2023,learned_vol_interaction,20260910,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_vol_interaction,20260911,daily,available,20,109,10,10,0,0,65,44,0,0
extension_2021_2023,learned_vol_interaction,20260911,daily,r37_eligible,12,72,8,4,0,0,59,13,0,0
extension_2021_2023,learned_vol_interaction,20260911,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_vol_interaction,20260911,friday,available,20,109,11,9,0,0,67,42,0,0
extension_2021_2023,learned_vol_interaction,20260911,friday,r37_eligible,12,72,8,4,0,0,56,16,0,0
extension_2021_2023,learned_vol_interaction,20260911,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_vol_interaction,20260912,daily,available,20,109,9,11,0,0,48,61,0,0
extension_2021_2023,learned_vol_interaction,20260912,daily,r37_eligible,12,72,7,5,0,0,42,30,0,0
