period,method,seed,view,cohort,cells,future_weeks,same_cells,opposite_cells,near_zero_cells,undefined_cells,same_weeks,opposite_weeks,near_zero_weeks,undefined_weeks
extension_2021_2023,learned_vol_interaction,20260912,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_vol_interaction,20260912,friday,available,20,109,10,10,0,0,50,59,0,0
extension_2021_2023,learned_vol_interaction,20260912,friday,r37_eligible,12,72,7,5,0,0,39,33,0,0
extension_2021_2023,learned_vol_interaction,20260912,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_vol_interaction,-1,daily,available,20,109,10,10,0,0,65,44,0,0
extension_2021_2023,learned_vol_interaction,-1,daily,r37_eligible,12,72,8,4,0,0,59,13,0,0
extension_2021_2023,learned_vol_interaction,-1,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_vol_interaction,-1,friday,available,20,109,10,10,0,0,62,47,0,0
extension_2021_2023,learned_vol_interaction,-1,friday,r37_eligible,12,72,7,5,0,0,47,25,0,0
extension_2021_2023,learned_vol_interaction,-1,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_extension,20260910,daily,available,20,109,11,9,0,0,61,48,0,0
extension_2021_2023,learned_order_extension,20260910,daily,r37_eligible,12,72,8,4,0,0,52,20,0,0
extension_2021_2023,learned_order_extension,20260910,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_extension,20260910,friday,available,20,109,11,9,0,0,70,39,0,0
extension_2021_2023,learned_order_extension,20260910,friday,r37_eligible,12,72,9,3,0,0,58,14,0,0
extension_2021_2023,learned_order_extension,20260910,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_extension,20260911,daily,available,20,109,10,10,0,0,65,44,0,0
extension_2021_2023,learned_order_extension,20260911,daily,r37_eligible,12,72,8,4,0,0,59,13,0,0
extension_2021_2023,learned_order_extension,20260911,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_extension,20260911,friday,available,20,109,11,9,0,0,67,42,0,0
extension_2021_2023,learned_order_extension,20260911,friday,r37_eligible,12,72,8,4,0,0,56,16,0,0
extension_2021_2023,learned_order_extension,20260911,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_extension,20260912,daily,available,20,109,9,11,0,0,48,61,0,0
extension_2021_2023,learned_order_extension,20260912,daily,r37_eligible,12,72,7,5,0,0,42,30,0,0
extension_2021_2023,learned_order_extension,20260912,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_extension,20260912,friday,available,20,109,10,10,0,0,54,55,0,0
extension_2021_2023,learned_order_extension,20260912,friday,r37_eligible,12,72,7,5,0,0,39,33,0,0
extension_2021_2023,learned_order_extension,20260912,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_extension,-1,daily,available,20,109,10,10,0,0,65,44,0,0
extension_2021_2023,learned_order_extension,-1,daily,r37_eligible,12,72,8,4,0,0,59,13,0,0
extension_2021_2023,learned_order_extension,-1,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_extension,-1,friday,available,20,109,11,9,0,0,71,38,0,0
extension_2021_2023,learned_order_extension,-1,friday,r37_eligible,12,72,8,4,0,0,56,16,0,0
extension_2021_2023,learned_order_extension,-1,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_offset,20260910,daily,available,20,109,11,9,0,0,61,48,0,0
extension_2021_2023,learned_order_offset,20260910,daily,r37_eligible,12,72,8,4,0,0,52,20,0,0
extension_2021_2023,learned_order_offset,20260910,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_offset,20260910,friday,available,20,109,11,9,0,0,70,39,0,0
extension_2021_2023,learned_order_offset,20260910,friday,r37_eligible,12,72,9,3,0,0,58,14,0,0
extension_2021_2023,learned_order_offset,20260910,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_offset,20260911,daily,available,20,109,10,10,0,0,65,44,0,0
extension_2021_2023,learned_order_offset,20260911,daily,r37_eligible,12,72,8,4,0,0,59,13,0,0
extension_2021_2023,learned_order_offset,20260911,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_offset,20260911,friday,available,20,109,11,9,0,0,67,42,0,0
extension_2021_2023,learned_order_offset,20260911,friday,r37_eligible,12,72,8,4,0,0,56,16,0,0
extension_2021_2023,learned_order_offset,20260911,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_offset,20260912,daily,available,20,109,9,11,0,0,48,61,0,0
extension_2021_2023,learned_order_offset,20260912,daily,r37_eligible,12,72,7,5,0,0,42,30,0,0
extension_2021_2023,learned_order_offset,20260912,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_offset,20260912,friday,available,20,109,10,10,0,0,54,55,0,0
extension_2021_2023,learned_order_offset,20260912,friday,r37_eligible,12,72,7,5,0,0,39,33,0,0
extension_2021_2023,learned_order_offset,20260912,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_offset,-1,daily,available,20,109,10,10,0,0,65,44,0,0
extension_2021_2023,learned_order_offset,-1,daily,r37_eligible,12,72,8,4,0,0,59,13,0,0
extension_2021_2023,learned_order_offset,-1,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
extension_2021_2023,learned_order_offset,-1,friday,available,20,109,11,9,0,0,71,38,0,0
extension_2021_2023,learned_order_offset,-1,friday,r37_eligible,12,72,8,4,0,0,56,16,0,0
extension_2021_2023,learned_order_offset,-1,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
recent_2024_2026,learned_market,20260910,daily,available,19,91,11,8,0,0,50,41,0,0
recent_2024_2026,learned_market,20260910,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_market,20260910,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_market,20260910,friday,available,17,84,8,9,0,0,42,42,0,0
recent_2024_2026,learned_market,20260910,friday,r37_eligible,7,31,2,5,0,0,13,18,0,0
recent_2024_2026,learned_market,20260910,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_market,20260911,daily,available,19,91,11,8,0,0,50,41,0,0
recent_2024_2026,learned_market,20260911,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_market,20260911,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_market,20260911,friday,available,17,84,9,8,0,0,43,41,0,0
recent_2024_2026,learned_market,20260911,friday,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_market,20260911,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_market,20260912,daily,available,19,91,11,8,0,0,51,40,0,0
recent_2024_2026,learned_market,20260912,daily,r37_eligible,7,31,4,3,0,0,25,6,0,0
recent_2024_2026,learned_market,20260912,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_market,20260912,friday,available,17,84,8,9,0,0,43,41,0,0
recent_2024_2026,learned_market,20260912,friday,r37_eligible,7,31,3,4,0,0,24,7,0,0
recent_2024_2026,learned_market,20260912,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_market,-1,daily,available,19,91,10,9,0,0,40,51,0,0
recent_2024_2026,learned_market,-1,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_market,-1,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_market,-1,friday,available,17,84,8,9,0,0,33,51,0,0
recent_2024_2026,learned_market,-1,friday,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_market,-1,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_vol_interaction,20260910,daily,available,19,91,10,9,0,0,40,51,0,0
recent_2024_2026,learned_vol_interaction,20260910,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_vol_interaction,20260910,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_vol_interaction,20260910,friday,available,17,84,7,10,0,0,32,52,0,0
recent_2024_2026,learned_vol_interaction,20260910,friday,r37_eligible,7,31,2,5,0,0,13,18,0,0
recent_2024_2026,learned_vol_interaction,20260910,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_vol_interaction,20260911,daily,available,19,91,11,8,0,0,50,41,0,0
recent_2024_2026,learned_vol_interaction,20260911,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_vol_interaction,20260911,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_vol_interaction,20260911,friday,available,17,84,9,8,0,0,43,41,0,0
recent_2024_2026,learned_vol_interaction,20260911,friday,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_vol_interaction,20260911,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_vol_interaction,20260912,daily,available,19,91,10,9,0,0,40,51,0,0
recent_2024_2026,learned_vol_interaction,20260912,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_vol_interaction,20260912,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_vol_interaction,20260912,friday,available,17,84,7,10,0,0,32,52,0,0
recent_2024_2026,learned_vol_interaction,20260912,friday,r37_eligible,7,31,2,5,0,0,13,18,0,0
recent_2024_2026,learned_vol_interaction,20260912,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_vol_interaction,-1,daily,available,19,91,10,9,0,0,40,51,0,0
recent_2024_2026,learned_vol_interaction,-1,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_vol_interaction,-1,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_vol_interaction,-1,friday,available,17,84,8,9,0,0,33,51,0,0
recent_2024_2026,learned_vol_interaction,-1,friday,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_vol_interaction,-1,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_extension,20260910,daily,available,19,91,10,9,0,0,40,51,0,0
recent_2024_2026,learned_order_extension,20260910,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_order_extension,20260910,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_extension,20260910,friday,available,17,84,7,10,0,0,32,52,0,0
recent_2024_2026,learned_order_extension,20260910,friday,r37_eligible,7,31,2,5,0,0,13,18,0,0
recent_2024_2026,learned_order_extension,20260910,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_extension,20260911,daily,available,19,91,11,8,0,0,50,41,0,0
recent_2024_2026,learned_order_extension,20260911,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_order_extension,20260911,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_extension,20260911,friday,available,17,84,8,9,0,0,42,42,0,0
recent_2024_2026,learned_order_extension,20260911,friday,r37_eligible,7,31,2,5,0,0,13,18,0,0
recent_2024_2026,learned_order_extension,20260911,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_extension,20260912,daily,available,19,91,11,8,0,0,51,40,0,0
recent_2024_2026,learned_order_extension,20260912,daily,r37_eligible,7,31,4,3,0,0,25,6,0,0
recent_2024_2026,learned_order_extension,20260912,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_extension,20260912,friday,available,17,84,7,10,0,0,36,48,0,0
recent_2024_2026,learned_order_extension,20260912,friday,r37_eligible,7,31,2,5,0,0,17,14,0,0
recent_2024_2026,learned_order_extension,20260912,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_extension,-1,daily,available,19,91,11,8,0,0,51,40,0,0
recent_2024_2026,learned_order_extension,-1,daily,r37_eligible,7,31,4,3,0,0,25,6,0,0
recent_2024_2026,learned_order_extension,-1,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_extension,-1,friday,available,17,84,8,9,0,0,43,41,0,0
recent_2024_2026,learned_order_extension,-1,friday,r37_eligible,7,31,3,4,0,0,24,7,0,0
recent_2024_2026,learned_order_extension,-1,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_offset,20260910,daily,available,19,91,10,9,0,0,40,51,0,0
recent_2024_2026,learned_order_offset,20260910,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_order_offset,20260910,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_offset,20260910,friday,available,17,84,7,10,0,0,32,52,0,0
recent_2024_2026,learned_order_offset,20260910,friday,r37_eligible,7,31,2,5,0,0,13,18,0,0
recent_2024_2026,learned_order_offset,20260910,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_offset,20260911,daily,available,19,91,11,8,0,0,50,41,0,0
recent_2024_2026,learned_order_offset,20260911,daily,r37_eligible,7,31,3,4,0,0,14,17,0,0
recent_2024_2026,learned_order_offset,20260911,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_offset,20260911,friday,available,17,84,8,9,0,0,42,42,0,0
recent_2024_2026,learned_order_offset,20260911,friday,r37_eligible,7,31,2,5,0,0,13,18,0,0
recent_2024_2026,learned_order_offset,20260911,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_offset,20260912,daily,available,19,91,11,8,0,0,51,40,0,0
recent_2024_2026,learned_order_offset,20260912,daily,r37_eligible,7,31,4,3,0,0,25,6,0,0
recent_2024_2026,learned_order_offset,20260912,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_offset,20260912,friday,available,17,84,7,10,0,0,36,48,0,0
recent_2024_2026,learned_order_offset,20260912,friday,r37_eligible,7,31,2,5,0,0,17,14,0,0
recent_2024_2026,learned_order_offset,20260912,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_offset,-1,daily,available,19,91,11,8,0,0,51,40,0,0
recent_2024_2026,learned_order_offset,-1,daily,r37_eligible,7,31,4,3,0,0,25,6,0,0
recent_2024_2026,learned_order_offset,-1,daily,weekly_count10,0,0,0,0,0,0,0,0,0,0
recent_2024_2026,learned_order_offset,-1,friday,available,17,84,8,9,0,0,43,41,0,0
recent_2024_2026,learned_order_offset,-1,friday,r37_eligible,7,31,3,4,0,0,24,7,0,0
recent_2024_2026,learned_order_offset,-1,friday,weekly_count10,0,0,0,0,0,0,0,0,0,0
pooled_2021_2026,learned_market,20260910,daily,available,39,200,20,19,0,0,99,101,0,0
pooled_2021_2026,learned_market,20260910,daily,r37_eligible,19,103,10,9,0,0,57,46,0,0
pooled_2021_2026,learned_market,20260910,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_market,20260910,friday,available,37,193,19,18,0,0,106,87,0,0
pooled_2021_2026,learned_market,20260910,friday,r37_eligible,19,103,10,9,0,0,62,41,0,0
pooled_2021_2026,learned_market,20260910,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_market,20260911,daily,available,39,200,21,18,0,0,115,85,0,0
pooled_2021_2026,learned_market,20260911,daily,r37_eligible,19,103,11,8,0,0,73,30,0,0
pooled_2021_2026,learned_market,20260911,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_market,20260911,friday,available,37,193,20,17,0,0,110,83,0,0
pooled_2021_2026,learned_market,20260911,friday,r37_eligible,19,103,11,8,0,0,70,33,0,0
pooled_2021_2026,learned_market,20260911,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_market,20260912,daily,available,39,200,20,19,0,0,99,101,0,0
pooled_2021_2026,learned_market,20260912,daily,r37_eligible,19,103,11,8,0,0,67,36,0,0
pooled_2021_2026,learned_market,20260912,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_market,20260912,friday,available,37,193,18,19,0,0,97,96,0,0
pooled_2021_2026,learned_market,20260912,friday,r37_eligible,19,103,10,9,0,0,63,40,0,0
pooled_2021_2026,learned_market,20260912,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_market,-1,daily,available,39,200,20,19,0,0,105,95,0,0
pooled_2021_2026,learned_market,-1,daily,r37_eligible,19,103,11,8,0,0,73,30,0,0
pooled_2021_2026,learned_market,-1,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_market,-1,friday,available,37,193,18,19,0,0,95,98,0,0
pooled_2021_2026,learned_market,-1,friday,r37_eligible,19,103,10,9,0,0,61,42,0,0
pooled_2021_2026,learned_market,-1,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_vol_interaction,20260910,daily,available,39,200,20,19,0,0,92,108,0,0
pooled_2021_2026,learned_vol_interaction,20260910,daily,r37_eligible,19,103,10,9,0,0,57,46,0,0
pooled_2021_2026,learned_vol_interaction,20260910,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_vol_interaction,20260910,friday,available,37,193,17,20,0,0,93,100,0,0
pooled_2021_2026,learned_vol_interaction,20260910,friday,r37_eligible,19,103,10,9,0,0,62,41,0,0
pooled_2021_2026,learned_vol_interaction,20260910,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_vol_interaction,20260911,daily,available,39,200,21,18,0,0,115,85,0,0
pooled_2021_2026,learned_vol_interaction,20260911,daily,r37_eligible,19,103,11,8,0,0,73,30,0,0
pooled_2021_2026,learned_vol_interaction,20260911,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_vol_interaction,20260911,friday,available,37,193,20,17,0,0,110,83,0,0
pooled_2021_2026,learned_vol_interaction,20260911,friday,r37_eligible,19,103,11,8,0,0,70,33,0,0
pooled_2021_2026,learned_vol_interaction,20260911,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_vol_interaction,20260912,daily,available,39,200,19,20,0,0,88,112,0,0
pooled_2021_2026,learned_vol_interaction,20260912,daily,r37_eligible,19,103,10,9,0,0,56,47,0,0
pooled_2021_2026,learned_vol_interaction,20260912,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_vol_interaction,20260912,friday,available,37,193,17,20,0,0,82,111,0,0
pooled_2021_2026,learned_vol_interaction,20260912,friday,r37_eligible,19,103,9,10,0,0,52,51,0,0
pooled_2021_2026,learned_vol_interaction,20260912,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_vol_interaction,-1,daily,available,39,200,20,19,0,0,105,95,0,0
pooled_2021_2026,learned_vol_interaction,-1,daily,r37_eligible,19,103,11,8,0,0,73,30,0,0
pooled_2021_2026,learned_vol_interaction,-1,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_vol_interaction,-1,friday,available,37,193,18,19,0,0,95,98,0,0
pooled_2021_2026,learned_vol_interaction,-1,friday,r37_eligible,19,103,10,9,0,0,61,42,0,0
pooled_2021_2026,learned_vol_interaction,-1,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_extension,20260910,daily,available,39,200,21,18,0,0,101,99,0,0
pooled_2021_2026,learned_order_extension,20260910,daily,r37_eligible,19,103,11,8,0,0,66,37,0,0
pooled_2021_2026,learned_order_extension,20260910,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_extension,20260910,friday,available,37,193,18,19,0,0,102,91,0,0
pooled_2021_2026,learned_order_extension,20260910,friday,r37_eligible,19,103,11,8,0,0,71,32,0,0
pooled_2021_2026,learned_order_extension,20260910,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_extension,20260911,daily,available,39,200,21,18,0,0,115,85,0,0
pooled_2021_2026,learned_order_extension,20260911,daily,r37_eligible,19,103,11,8,0,0,73,30,0,0
pooled_2021_2026,learned_order_extension,20260911,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_extension,20260911,friday,available,37,193,19,18,0,0,109,84,0,0
pooled_2021_2026,learned_order_extension,20260911,friday,r37_eligible,19,103,10,9,0,0,69,34,0,0
pooled_2021_2026,learned_order_extension,20260911,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_extension,20260912,daily,available,39,200,20,19,0,0,99,101,0,0
pooled_2021_2026,learned_order_extension,20260912,daily,r37_eligible,19,103,11,8,0,0,67,36,0,0
pooled_2021_2026,learned_order_extension,20260912,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_extension,20260912,friday,available,37,193,17,20,0,0,90,103,0,0
pooled_2021_2026,learned_order_extension,20260912,friday,r37_eligible,19,103,9,10,0,0,56,47,0,0
pooled_2021_2026,learned_order_extension,20260912,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_extension,-1,daily,available,39,200,21,18,0,0,116,84,0,0
pooled_2021_2026,learned_order_extension,-1,daily,r37_eligible,19,103,12,7,0,0,84,19,0,0
pooled_2021_2026,learned_order_extension,-1,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_extension,-1,friday,available,37,193,19,18,0,0,114,79,0,0
pooled_2021_2026,learned_order_extension,-1,friday,r37_eligible,19,103,11,8,0,0,80,23,0,0
pooled_2021_2026,learned_order_extension,-1,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_offset,20260910,daily,available,39,200,21,18,0,0,101,99,0,0
pooled_2021_2026,learned_order_offset,20260910,daily,r37_eligible,19,103,11,8,0,0,66,37,0,0
pooled_2021_2026,learned_order_offset,20260910,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_offset,20260910,friday,available,37,193,18,19,0,0,102,91,0,0
pooled_2021_2026,learned_order_offset,20260910,friday,r37_eligible,19,103,11,8,0,0,71,32,0,0
pooled_2021_2026,learned_order_offset,20260910,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_offset,20260911,daily,available,39,200,21,18,0,0,115,85,0,0
pooled_2021_2026,learned_order_offset,20260911,daily,r37_eligible,19,103,11,8,0,0,73,30,0,0
pooled_2021_2026,learned_order_offset,20260911,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_offset,20260911,friday,available,37,193,19,18,0,0,109,84,0,0
pooled_2021_2026,learned_order_offset,20260911,friday,r37_eligible,19,103,10,9,0,0,69,34,0,0
pooled_2021_2026,learned_order_offset,20260911,friday,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_offset,20260912,daily,available,39,200,20,19,0,0,99,101,0,0
pooled_2021_2026,learned_order_offset,20260912,daily,r37_eligible,19,103,11,8,0,0,67,36,0,0
pooled_2021_2026,learned_order_offset,20260912,daily,weekly_count10,2,22,2,0,0,0,22,0,0,0
pooled_2021_2026,learned_order_offset,20260912,friday,available,37,193,17,20,0,0,90,103,0,0
pooled_2021_2026,learned_order_offset,20260912,friday,r37_eligible,19,103,9,10,0,0,56,47,0,0
