cutoff,daily_n,friday_n,future_n,training_mature,train_future_execution_disjoint
2020-12-31,0,0,11,True,True
2021-03-31,58,11,13,True,True
2021-06-30,118,24,13,True,True
2021-09-30,182,37,13,True,True
2021-12-31,0,0,11,True,True
2022-03-31,58,12,12,True,True
2022-06-30,117,24,14,True,True
2022-09-30,182,37,12,True,True
2022-12-31,0,0,12,True,True
2023-03-31,59,12,12,True,True
2023-06-30,118,24,12,True,True
2023-09-30,182,37,12,True,True
2023-12-31,0,0,11,True,True
2024-03-31,58,11,11,True,True
2024-06-30,117,22,13,True,True
2024-09-30,181,36,12,True,True
2024-12-31,0,0,12,True,True
2025-03-31,57,12,11,True,True
2025-06-30,117,23,13,True,True
2025-09-30,183,36,12,True,True
2025-12-31,0,0,11,True,True
2026-03-31,56,11,11,True,True
2026-06-30,116,22,8,True,True
