period,history,method,seed,scope,n,squared_shift,alignment_term,brier_change,regressions,recoveries
extension_2021_2023,annual_shared_offset,learned_market,-1,all,147,0.0016084075530437946,-0.0015009639498666098,0.0001074436031771856,8,4
extension_2021_2023,annual_shared_offset,learned_market,-1,eligible,72,0.0032838320874644133,-0.0030644680643109917,0.00021936402315341944,8,4
extension_2021_2023,annual_shared_offset,learned_market,20260910,all,147,0.0020985290183551508,-0.003077450923194517,-0.0009789219048393681,6,3
extension_2021_2023,annual_shared_offset,learned_market,20260910,eligible,72,0.004284496745808432,-0.0062831289681888015,-0.00199863222238038,6,3
extension_2021_2023,annual_shared_offset,learned_market,20260911,all,147,0.0012965211746633848,-0.0014934799713996142,-0.00019695879673623095,1,3
extension_2021_2023,annual_shared_offset,learned_market,20260911,eligible,72,0.002647064064937744,-0.0030491882749408786,-0.00040212421000313664,1,3
extension_2021_2023,annual_shared_offset,learned_market,20260912,all,147,0.0015456567177543833,0.0001197513225011701,0.0016654080402555525,5,4
extension_2021_2023,annual_shared_offset,learned_market,20260912,eligible,72,0.003155715798748533,0.0002444922834398878,0.0034002080821884193,5,4
extension_2021_2023,annual_shared_offset,learned_order_extension,-1,all,147,0.001521826564019089,-0.0013508634249601527,0.00017096313905893233,9,6
extension_2021_2023,annual_shared_offset,learned_order_extension,-1,eligible,72,0.003107062568205639,-0.002758012825960313,0.00034904974224531863,9,6
extension_2021_2023,annual_shared_offset,learned_order_extension,20260910,all,147,0.001899879366448543,-0.002532316024527523,-0.0006324366580789815,5,2
extension_2021_2023,annual_shared_offset,learned_order_extension,20260910,eligible,72,0.003878920373165775,-0.005170145216743692,-0.0012912248435779218,5,2
extension_2021_2023,annual_shared_offset,learned_order_extension,20260911,all,147,0.0013151583884095381,-0.0014454509778657968,-0.00013029258945625668,2,4
extension_2021_2023,annual_shared_offset,learned_order_extension,20260911,eligible,72,0.002685115043002807,-0.0029511290798093334,-0.00026601403680652426,2,4
extension_2021_2023,annual_shared_offset,learned_order_extension,20260912,all,147,0.0014504126179426871,3.1511331397782924e-05,0.001481923949340473,6,5
extension_2021_2023,annual_shared_offset,learned_order_extension,20260912,eligible,72,0.0029612590949663195,6.433563493713898e-05,0.0030255947299034657,6,5
