cutoff,year,method,seed,state,daily_n,friday_n,future_n,daily_residual,friday_residual,future_residual,daily_friday,daily_future,friday_future,r37_eligible,weekly_count_flag,daily_auroc,friday_auroc,future_auroc
2020-12-31,2021,learned_order_extension,20260912,nonnegative_low,0,0,1,,,-0.4980709373270918,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260912,nonnegative_high,0,0,9,,,-0.016190857004184916,undefined,undefined,undefined,False,False,,,0.6
2020-12-31,2021,learned_order_extension,-1,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,-1,negative_high,0,0,1,,,0.4613151061059285,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,-1,nonnegative_low,0,0,1,,,-0.5006390642110335,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,-1,nonnegative_high,0,0,9,,,0.0024400302990550283,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_order_offset,20260910,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260910,negative_high,0,0,1,,,0.40947743437616746,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260910,nonnegative_low,0,0,1,,,-0.5336151486659025,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260910,nonnegative_high,0,0,9,,,-0.018074971417775018,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_order_offset,20260911,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260911,negative_high,0,0,1,,,0.4687295125014297,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260911,nonnegative_low,0,0,1,,,-0.46966493933917947,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260911,nonnegative_high,0,0,9,,,0.04218542591440863,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_order_offset,20260912,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260912,negative_high,0,0,1,,,0.506829779893469,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260912,nonnegative_low,0,0,1,,,-0.4978619856473434,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260912,nonnegative_high,0,0,9,,,-0.01598291404221366,undefined,undefined,undefined,False,False,,,0.6
2020-12-31,2021,learned_order_offset,-1,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,-1,negative_high,0,0,1,,,0.4616789089236888,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,-1,nonnegative_low,0,0,1,,,-0.5003806912174752,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,-1,nonnegative_high,0,0,9,,,0.0027091801514733177,undefined,undefined,undefined,False,False,,,0.55
2021-03-31,2021,learned_market,20260910,negative_low,0,0,2,,,-0.15024740459972913,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_market,20260910,negative_high,4,1,7,0.4255191488101207,0.32169519230953314,-0.20350913355698172,same,opposite,opposite,False,False,,,0.6666666666666666
2021-03-31,2021,learned_market,20260910,nonnegative_low,12,2,3,0.22473329336355197,-0.11032428069419753,-0.03641024382351321,opposite,opposite,same,False,False,0.9,1.0,0.0
2021-03-31,2021,learned_market,20260910,nonnegative_high,42,8,1,-0.147024798015078,-0.06595045255895995,-0.5021950734156202,same,same,same,True,False,0.4350132625994695,0.6,
2021-03-31,2021,learned_market,20260911,negative_low,0,0,2,,,-0.15638720682781154,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_market,20260911,negative_high,4,1,7,0.5836711254090294,0.46829044208580917,-0.13119744939224617,same,opposite,opposite,False,False,,,0.3333333333333333
2021-03-31,2021,learned_market,20260911,nonnegative_low,12,2,3,0.27195883068067983,-0.02186467062307948,-0.02475432647793918,opposite,opposite,same,False,False,0.9,1.0,1.0
2021-03-31,2021,learned_market,20260911,nonnegative_high,42,8,1,-0.12401611966706072,-0.029117748334628213,-0.43021338956165145,same,same,same,True,False,0.3076923076923077,0.4666666666666667,
2021-03-31,2021,learned_market,20260912,negative_low,0,0,2,,,-0.057999097127372085,undefined,undefined,undefined,False,False,,,1.0
2021-03-31,2021,learned_market,20260912,negative_high,4,1,7,0.4634418581371491,0.5137439151160255,-0.1673119032471117,same,opposite,opposite,False,False,,,0.4166666666666667
2021-03-31,2021,learned_market,20260912,nonnegative_low,12,2,3,0.3317628807513566,-0.06607206828449688,-0.04402809920454539,opposite,opposite,same,False,False,0.7,1.0,0.5
2021-03-31,2021,learned_market,20260912,nonnegative_high,42,8,1,-0.14241160071445721,-0.06905184009954485,-0.32971545266050545,same,same,same,True,False,0.46419098143236076,0.4666666666666667,
2021-03-31,2021,learned_market,-1,negative_low,0,0,2,,,-0.12154456951830422,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_market,-1,negative_high,4,1,7,0.4908773774520997,0.43457651650378926,-0.16733949539877985,same,opposite,opposite,False,False,,,0.4166666666666667
