cutoff,encoder_cutoff,year,view,row_index,date,weekday,state,entry,exit,joint_completed,method,seed,probability,actual_up,residual,score,direction_up
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_market,20260910,0.6727953563011808,1,0.3272046436988192,0.6727953563011808,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_vol_interaction,20260910,0.6763232859295449,1,0.32367671407045506,0.6763232859295449,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_order_extension,20260910,0.6721587654267555,1,0.32784123457324454,0.6721587654267555,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_order_offset,20260910,0.67203532963146,1,0.32796467036854005,0.67203532963146,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_market,20260911,0.532736316385268,1,0.46726368361473203,0.532736316385268,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_vol_interaction,20260911,0.5428132553086864,1,0.4571867446913136,0.5428132553086864,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_order_extension,20260911,0.5431275185354696,1,0.4568724814645304,0.5431275185354696,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_order_offset,20260911,0.5443136643668111,1,0.45568633563318894,0.5443136643668111,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_market,20260912,0.6986903045925661,1,0.3013096954074339,0.6986903045925661,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_vol_interaction,20260912,0.7006298284549175,1,0.2993701715450825,0.7006298284549175,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_order_extension,20260912,0.6985744261949923,1,0.3014255738050077,0.6985744261949923,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_order_offset,20260912,0.6986223621694969,1,0.3013776378305031,0.6986223621694969,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_market,-1,0.6347406590930049,1,0.3652593409069951,0.6347406590930049,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_vol_interaction,-1,0.6399221232310496,1,0.3600778767689504,0.6399221232310496,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_order_extension,-1,0.6379535700524058,1,0.3620464299475942,0.6379535700524058,1
2021-03-31,2020-12-31,2021,daily,2408,2020-12-24,3,nonnegative_low,2669,2674,2021-01-04,learned_order_offset,-1,0.6383237853892559,1,0.36167621461074406,0.6383237853892559,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_market,20260910,0.6678116011246504,1,0.33218839887534957,0.6678116011246504,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_vol_interaction,20260910,0.6643055894603891,1,0.3356944105396109,0.6643055894603891,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_order_extension,20260910,0.6612366329427134,1,0.3387633670572866,0.6612366329427134,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_order_offset,20260910,0.6611445653600769,1,0.33885543463992307,0.6611445653600769,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_market,20260911,0.5701351197896026,1,0.42986488021039737,0.5701351197896026,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_vol_interaction,20260911,0.5742959331013753,1,0.4257040668986247,0.5742959331013753,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_order_extension,20260911,0.5722619283051152,1,0.42773807169488476,0.5722619283051152,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_order_offset,20260911,0.5739214679626026,1,0.42607853203739743,0.5739214679626026,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_market,20260912,0.6359160445320231,1,0.3640839554679769,0.6359160445320231,1
2021-03-31,2020-12-31,2021,daily,2409,2020-12-25,4,nonnegative_low,2670,2679,2021-01-11,learned_vol_interaction,20260912,0.637628816790354,1,0.362371183209646,0.637628816790354,1
