row_index,date,head_cutoff,encoder_cutoff,state,trend60,volatility20,range20,volume_change20,order60,market5_outside_any,market5_outside_fraction,market5_mean_squared_raw_z,outside_trend60,outside_volatility20,outside_range20,outside_volume_change20,outside_order60,decoded25_outside_any,decoded25_outside_fraction,decoded25_mean_squared_raw_z,annual_state_n,added_state_n,annual_state_up_rate,added_state_up_rate,conditional_up_rate_delta,training_support
2418,2021-01-08,2020-12-31,2020-12-31,nonnegative_low,1.874251459347904,0.009419862225107201,0.014645966845490044,0.48411036646010785,0.04971751412429379,0.0,0.0,0.9176842588497088,0,0,0,0,0,0.6666666666666666,0.06666666666666667,0.9560099323343438,504,0,0.5476190476190477,,,False
2423,2021-01-15,2020-12-31,2020-12-31,nonnegative_high,1.6642463118613788,0.012060137720639264,0.017423443315563513,0.5817021139513407,0.04971751412429379,0.0,0.0,0.9653621979099114,0,0,0,0,0,0.6666666666666666,0.04,1.0314630925492025,253,0,0.5335968379446641,,,False
2428,2021-01-22,2020-12-31,2020-12-31,nonnegative_high,1.8967259291251937,0.012015370980447138,0.018435493643488243,0.5549470851363587,0.005649717514124294,0.0,0.0,1.0891059494031152,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.8577006105441521,253,0,0.5335968379446641,,,False
2433,2021-01-29,2020-12-31,2020-12-31,nonnegative_high,1.0555072442395208,0.014286316538336974,0.020057849549933858,0.05980772607967566,-0.0440677966101695,0.0,0.0,0.49550128643080377,0,0,0,0,0,0.3333333333333333,0.06666666666666667,1.040261393671387,253,0,0.5335968379446641,,,False
2438,2021-02-05,2020-12-31,2020-12-31,nonnegative_high,1.296072048157393,0.013486142170825732,0.01886808881577391,-0.07426988987839067,-0.0440677966101695,0.0,0.0,0.4693085489517891,0,0,0,0,0,0.0,0.0,0.528418452293074,253,0,0.5335968379446641,,,False
2443,2021-02-19,2020-12-31,2020-12-31,nonnegative_high,1.7805737038174538,0.01298205302484438,0.018624438588561353,-0.10674857302909047,-0.02824858757062147,0.0,0.0,0.7041798112498199,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.8259691642096797,253,0,0.5335968379446641,,,False
2448,2021-02-26,2020-12-31,2020-12-31,nonnegative_high,0.8029424070777123,0.016009649769053377,0.020508478611678527,0.06302201322452916,-0.0440677966101695,0.0,0.0,0.5615642562910903,0,0,0,0,0,0.0,0.0,0.6551284939436174,253,0,0.5335968379446641,,,False
2453,2021-03-05,2020-12-31,2020-12-31,nonnegative_high,0.37149280843329885,0.016863854910300173,0.02153256241714141,0.10638303334399524,-0.0384180790960452,0.0,0.0,0.6758700269293365,0,0,0,0,0,0.0,0.0,0.8415482312937724,253,0,0.5335968379446641,,,False
2458,2021-03-12,2020-12-31,2020-12-31,nonnegative_high,0.3495969012657679,0.01934321372770143,0.024516663107516747,0.05796557754888809,-0.05197740112994351,0.0,0.0,1.315981060674732,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.826877009030965,253,0,0.5335968379446641,,,False
2463,2021-03-19,2020-12-31,2020-12-31,negative_high,-0.017134142947205167,0.018455591406150364,0.023437733771069346,-0.26726480448503764,-0.07796610169491525,0.0,0.0,1.226653433129424,0,0,0,0,0,0.0,0.0,0.9227954432335382,353,0,0.5637393767705382,,,False
2468,2021-03-26,2020-12-31,2020-12-31,nonnegative_high,0.06146759637384942,0.017742506005022557,0.02160901712177763,-0.37472891867546565,-0.010169491525423728,0.0,0.0,0.90624842687842,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.6470174650285777,253,0,0.5335968379446641,,,False
2473,2021-04-02,2021-03-31,2020-12-31,negative_high,-0.07851868733024608,0.015931395356787677,0.018954026302233463,-0.4671667312037151,-0.010169491525423728,0.0,0.0,0.6318590738980321,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.8440112753310901,353,4,0.5637393767705382,1.0,0.4362606232294618,False
2477,2021-04-09,2021-03-31,2020-12-31,negative_high,-0.7612483781784073,0.012269257172312037,0.015648271095145373,-0.3896416696270393,-0.06779661016949153,0.0,0.0,0.5494690986081535,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.9462154937593193,353,4,0.5637393767705382,1.0,0.4362606232294618,False
2482,2021-04-16,2021-03-31,2020-12-31,negative_high,-0.8375326345093235,0.011737527824711064,0.015121668682462897,-0.2504663595427523,-0.10282485875706215,0.0,0.0,0.5722051466670607,0,0,0,0,0,0.0,0.0,0.5254449482640183,353,4,0.5637393767705382,1.0,0.4362606232294618,False
