cutoff,year,view,method,seed,state,residual_mean,residual_sum,up_n,down_n,opposite_class_pairs,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
2020-12-31,2021,daily,learned_market,20260910,all,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260910,negative_low,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260910,negative_high,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260910,nonnegative_low,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260910,nonnegative_high,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260911,all,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260911,negative_low,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260911,negative_high,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260911,nonnegative_low,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260911,nonnegative_high,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260912,all,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260912,negative_low,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260912,negative_high,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260912,nonnegative_low,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,20260912,nonnegative_high,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,-1,all,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,-1,negative_low,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,-1,negative_high,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,-1,nonnegative_low,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_market,-1,nonnegative_high,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
2020-12-31,2021,daily,learned_vol_interaction,20260910,all,,0.0,0,0,0,0,,,0,,,,0,0,0,0,,,,,,,
