history,row_index,date,joint_completed,actual,year,cutoff,method,seed,score,probability,direction_up,actual_up,head_cutoff,encoder_cutoff,state,added_state_n,annual_probability,delta,annual_residual,squared_shift,alignment_term,brier_change,eligible,annual_correct,correct
annual_state_offset,3630,2026-01-09,2026-01-19,-0.0103697336282536,2026,2025-12-31,learned_market,20260910,0.5209270458842004,0.5209270458842004,1,0,2025-12-31,2025-12-31,nonnegative_low,0,0.5209270458842004,0.0,-0.5209270458842004,0.0,0.0,0.0,False,False,False
annual_state_offset,3635,2026-01-16,2026-01-26,-0.0010190267764643,2026,2025-12-31,learned_market,20260910,0.5197139065453521,0.5197139065453521,1,0,2025-12-31,2025-12-31,nonnegative_low,0,0.5197139065453521,0.0,-0.5197139065453521,0.0,0.0,0.0,False,False,False
annual_state_offset,3640,2026-01-23,2026-02-02,-0.0087161586128796,2026,2025-12-31,learned_market,20260910,0.2755814653004309,0.2755814653004309,0,0,2025-12-31,2025-12-31,negative_low,0,0.2755814653004309,0.0,-0.2755814653004309,0.0,0.0,0.0,False,True,True
annual_state_offset,3645,2026-01-30,2026-02-09,0.0041482324550519,2026,2025-12-31,learned_market,20260910,0.41561123934774186,0.41561123934774186,0,1,2025-12-31,2025-12-31,nonnegative_low,0,0.41561123934774186,0.0,0.5843887606522582,0.0,-0.0,0.0,False,False,False
annual_state_offset,3650,2026-02-06,2026-02-24,0.0071649689901505,2026,2025-12-31,learned_market,20260910,0.5571228245636697,0.5571228245636697,1,1,2025-12-31,2025-12-31,negative_low,0,0.5571228245636697,0.0,0.4428771754363303,0.0,-0.0,0.0,False,True,True
annual_state_offset,3655,2026-02-13,2026-03-02,-0.0097920588919678,2026,2025-12-31,learned_market,20260910,0.4304939364707622,0.4304939364707622,0,0,2025-12-31,2025-12-31,nonnegative_low,0,0.4304939364707622,0.0,-0.4304939364707622,0.0,0.0,0.0,False,True,True
annual_state_offset,3659,2026-02-27,2026-03-09,-0.0172526869201304,2026,2025-12-31,learned_market,20260910,0.5160143853208942,0.5160143853208942,1,0,2025-12-31,2025-12-31,nonnegative_low,0,0.5160143853208942,0.0,-0.5160143853208942,0.0,0.0,0.0,False,False,False
annual_state_offset,3664,2026-03-06,2026-03-16,0.0149926634422041,2026,2025-12-31,learned_market,20260910,0.4236869357819852,0.4236869357819852,0,1,2025-12-31,2025-12-31,nonnegative_high,0,0.4236869357819852,0.0,0.5763130642180148,0.0,-0.0,0.0,False,False,False
annual_state_offset,3669,2026-03-13,2026-03-23,-0.0364343509194254,2026,2025-12-31,learned_market,20260910,0.40086366037455606,0.40086366037455606,0,0,2025-12-31,2025-12-31,nonnegative_low,0,0.40086366037455606,0.0,-0.40086366037455606,0.0,0.0,0.0,False,True,True
annual_state_offset,3674,2026-03-20,2026-03-30,-0.0083038829988221,2026,2025-12-31,learned_market,20260910,0.43855196230093557,0.43855196230093557,0,0,2025-12-31,2025-12-31,nonnegative_low,0,0.43855196230093557,0.0,-0.43855196230093557,0.0,0.0,0.0,False,True,True
annual_state_offset,3679,2026-03-27,2026-04-07,-0.0035591495694504,2026,2025-12-31,learned_market,20260910,0.5651756750942187,0.5651756750942187,1,0,2025-12-31,2025-12-31,negative_high,0,0.5651756750942187,0.0,-0.5651756750942187,0.0,0.0,0.0,False,False,False
annual_shared_offset,3630,2026-01-09,2026-01-19,-0.0103697336282536,2026,2025-12-31,learned_market,20260910,0.5209270458842004,0.5209270458842004,1,0,2025-12-31,2025-12-31,nonnegative_low,0,0.5209270458842004,0.0,-0.5209270458842004,0.0,0.0,0.0,False,False,False
annual_shared_offset,3635,2026-01-16,2026-01-26,-0.0010190267764643,2026,2025-12-31,learned_market,20260910,0.5197139065453521,0.5197139065453521,1,0,2025-12-31,2025-12-31,nonnegative_low,0,0.5197139065453521,0.0,-0.5197139065453521,0.0,0.0,0.0,False,False,False
annual_shared_offset,3640,2026-01-23,2026-02-02,-0.0087161586128796,2026,2025-12-31,learned_market,20260910,0.2755814653004309,0.2755814653004309,0,0,2025-12-31,2025-12-31,negative_low,0,0.2755814653004309,0.0,-0.2755814653004309,0.0,0.0,0.0,False,True,True
annual_shared_offset,3645,2026-01-30,2026-02-09,0.0041482324550519,2026,2025-12-31,learned_market,20260910,0.41561123934774186,0.41561123934774186,0,1,2025-12-31,2025-12-31,nonnegative_low,0,0.41561123934774186,0.0,0.5843887606522582,0.0,-0.0,0.0,False,False,False
annual_shared_offset,3650,2026-02-06,2026-02-24,0.0071649689901505,2026,2025-12-31,learned_market,20260910,0.5571228245636697,0.5571228245636697,1,1,2025-12-31,2025-12-31,negative_low,0,0.5571228245636697,0.0,0.4428771754363303,0.0,-0.0,0.0,False,True,True
annual_shared_offset,3655,2026-02-13,2026-03-02,-0.0097920588919678,2026,2025-12-31,learned_market,20260910,0.4304939364707622,0.4304939364707622,0,0,2025-12-31,2025-12-31,nonnegative_low,0,0.4304939364707622,0.0,-0.4304939364707622,0.0,0.0,0.0,False,True,True
