job,kind,train_n,test_n,features_bitwise_equal,scaling_bitwise_equal,maximum_forecast_error
learned_2014-12-31_20260910,learned,1077,22,True,True,1.1102230246251565e-16
learned_2014-12-31_20260911,learned,1077,22,True,True,1.1102230246251565e-16
learned_2014-12-31_20260912,learned,1077,22,True,True,2.220446049250313e-16
learned_2015-12-31_20260910,learned,1190,48,True,True,2.220446049250313e-16
learned_2015-12-31_20260911,learned,1190,48,True,True,1.1102230246251565e-16
learned_2015-12-31_20260912,learned,1190,48,True,True,2.220446049250313e-16
learned_2016-12-31_20260910,learned,1434,50,True,True,2.220446049250313e-16
learned_2016-12-31_20260911,learned,1434,50,True,True,2.220446049250313e-16
learned_2016-12-31_20260912,learned,1434,50,True,True,2.220446049250313e-16
learned_2017-12-31_20260910,learned,1678,49,True,True,1.6653345369377348e-16
learned_2017-12-31_20260911,learned,1678,49,True,True,1.6653345369377348e-16
learned_2017-12-31_20260912,learned,1678,49,True,True,1.1102230246251565e-16
learned_2018-12-31_20260910,learned,1921,46,True,True,4.440892098500626e-16
learned_2018-12-31_20260911,learned,1921,46,True,True,2.220446049250313e-16
learned_2018-12-31_20260912,learned,1921,46,True,True,2.220446049250313e-16
learned_2019-12-31_20260910,learned,2165,46,True,True,2.220446049250313e-16
learned_2019-12-31_20260911,learned,2165,46,True,True,2.220446049250313e-16
learned_2019-12-31_20260912,learned,2165,46,True,True,2.220446049250313e-16
raw_2014-12-31_-1,raw,1077,22,True,True,4.440892098500626e-16
raw_2015-12-31_-1,raw,1190,48,True,True,4.440892098500626e-16
raw_2016-12-31_-1,raw,1434,50,True,True,1.6653345369377348e-16
raw_2017-12-31_-1,raw,1678,49,True,True,1.6653345369377348e-16
raw_2018-12-31_-1,raw,1921,46,True,True,1.1102230246251565e-16
raw_2019-12-31_-1,raw,2165,46,True,True,2.220446049250313e-16
