job,method,cutoff,seed,iteration,objective,gradient_inf,last_step,last_backtracks
raw_2014-12-31_-1,raw25_probe,2014-12-31,-1,4,0.6564171128096696,7.876074358675877e-12,1.0,0
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,0,0.693124583115526,0.07244565276079097,0.0,0
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,1,0.6663217356555965,0.003990205467236129,1.0,0
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,2,0.6662583910633023,5.508660836869134e-05,1.0,0
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,3,0.6662583792364675,1.4354138332811628e-08,1.0,0
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,4,0.6662583792364667,1.0776969594505914e-15,1.0,0
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,0,0.6930499179826164,0.047035917507212595,0.0,0
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,1,0.6711012408183225,0.0020328198325438836,1.0,0
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,2,0.6710622468102039,1.647198120679821e-05,1.0,0
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,3,0.671062244898202,1.3517566159297612e-09,1.0,0
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,4,0.6710622448982021,3.8163916471489756e-17,1.0,0
raw_2017-12-31_-1,raw25_probe,2017-12-31,-1,0,0.6923258407995493,0.026881194100473155,0.0,0
raw_2017-12-31_-1,raw25_probe,2017-12-31,-1,1,0.678996354667287,0.0009681436706075869,1.0,0
raw_2017-12-31_-1,raw25_probe,2017-12-31,-1,2,0.6789841373307146,5.181387577223723e-06,1.0,0
raw_2017-12-31_-1,raw25_probe,2017-12-31,-1,3,0.6789841371093205,1.6737170026662196e-10,1.0,0
raw_2018-12-31_-1,raw25_probe,2018-12-31,-1,0,0.6928966339915423,0.026123326563121257,0.0,0
raw_2018-12-31_-1,raw25_probe,2018-12-31,-1,1,0.6786274347033504,0.0012340793289584897,1.0,0
raw_2018-12-31_-1,raw25_probe,2018-12-31,-1,2,0.6786078194466246,9.505336944923282e-06,1.0,0
raw_2018-12-31_-1,raw25_probe,2018-12-31,-1,3,0.6786078187215656,5.969421875209879e-10,1.0,0
raw_2019-12-31_-1,raw25_probe,2019-12-31,-1,0,0.6922242824846752,0.020472850729992605,0.0,0
raw_2019-12-31_-1,raw25_probe,2019-12-31,-1,1,0.6816780074085024,0.0008798792964549175,1.0,0
raw_2019-12-31_-1,raw25_probe,2019-12-31,-1,2,0.6816668829443097,5.708332136278435e-06,1.0,0
raw_2019-12-31_-1,raw25_probe,2019-12-31,-1,3,0.6816668826737182,2.3450627659356293e-10,1.0,0
