job,method,cutoff,seed,reused,newton_iterations,alternate_iterations,alternate_success,alternate_message,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,False,4,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4432899320127035e-15,7.202909430015225e-08,4.73864898654832e-09
learned_2014-12-31_20260911,learned_probe,2014-12-31,20260911,False,4,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.5543122344752192e-15,6.57126256742302e-08,9.327473274658993e-09
learned_2014-12-31_20260912,learned_probe,2014-12-31,20260912,False,4,52,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9984014443252818e-15,9.4325057542477e-08,1.2961680396963299e-08
learned_2015-12-31_20260910,learned_probe,2015-12-31,20260910,False,4,61,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.995204332975845e-15,8.822102293137846e-08,7.561136614660669e-09
learned_2015-12-31_20260911,learned_probe,2015-12-31,20260911,False,3,82,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.327471962526033e-15,1.5993453161833315e-07,2.2643427232630492e-08
learned_2015-12-31_20260912,learned_probe,2015-12-31,20260912,False,4,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.219646771412954e-15,8.923446304098803e-08,8.573658425575781e-09
learned_2016-12-31_20260910,learned_probe,2016-12-31,20260910,False,4,78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.1094237467877974e-15,7.491726428110468e-08,7.40398363316885e-09
learned_2016-12-31_20260911,learned_probe,2016-12-31,20260911,False,4,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.6645352591003757e-15,7.632012399838572e-08,3.6460376519158177e-09
learned_2016-12-31_20260912,learned_probe,2016-12-31,20260912,False,3,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.55351295663786e-15,8.98580331809562e-08,8.206621670420189e-09
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,True,4,69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.887379141862766e-15,1.2219891232234659e-07,1.1423871373625696e-08
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,True,4,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.8833827526759706e-15,1.578226885845524e-07,2.04003341372494e-08
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,True,4,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.886579864025407e-15,1.3057313141828786e-07,1.5030418363173718e-08
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,True,4,69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.6645352591003757e-15,5.69792725224616e-08,9.833426994117905e-09
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,True,4,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.884981308350689e-15,8.806883833312185e-08,1.0059466875374928e-08
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,True,4,67,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3322676295501878e-15,6.315379885712957e-08,9.058856513446262e-09
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,True,4,67,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3988810110276972e-14,1.6140067327086172e-07,4.099928664603146e-08
learned_2019-12-31_20260911,learned_probe,2019-12-31,20260911,True,4,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.5503158452884236e-15,1.4009715809670809e-07,9.629744674192683e-09
learned_2019-12-31_20260912,learned_probe,2019-12-31,20260912,True,4,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.9960036108132044e-15,1.0255760474198183e-07,1.938501441967966e-08
raw_2014-12-31_-1,raw25_probe,2014-12-31,-1,False,4,69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.885780586188048e-15,7.897587417371454e-08,1.082416750154691e-08
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,False,4,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.1094237467877974e-15,7.063228546488887e-08,6.025000307257472e-09
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,False,4,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.887379141862766e-15,1.1514699616022028e-07,6.894353686039134e-09
raw_2017-12-31_-1,raw25_probe,2017-12-31,-1,False,3,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9984014443252818e-15,1.3249684538418904e-07,7.342802925153907e-09
raw_2018-12-31_-1,raw25_probe,2018-12-31,-1,False,3,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7763568394002505e-15,1.033286479157347e-07,1.1518837572362453e-08
raw_2019-12-31_-1,raw25_probe,2019-12-31,-1,False,3,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.1086244689504383e-15,1.0712524323164274e-07,8.913354424553224e-09
