method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
learned_probe,2015,22,0.5454545454545454,0.45454545454545453,12,0.5470085470085471,0.5,0.5909090909090909,7,5,4,6,0.41025641025641024,0.2755449788222647,0.7459137527715377,0.4879905611907302,0.08506269521914107,-0.10291852971836074,0.0
learned_probe,2016,48,0.5,0.5,24,0.5,0.5,0.5416666666666666,13,11,11,13,0.5034965034965035,0.26145656738430456,0.7161170700168978,0.48565203905872134,0.10891351177296327,-0.05601462760794529,0.0
learned_probe,2017,50,0.54,0.46,27,0.5308441558441558,0.58,0.56,17,10,12,11,0.5162337662337663,0.25688155047953215,0.7077761898186458,0.5095056847462157,0.12469195177414297,-0.05049431525378434,0.0
learned_probe,2018,49,0.5918367346938775,0.40816326530612246,29,0.6309523809523809,0.7551020408163265,0.42857142857142855,19,10,18,2,0.6428571428571429,0.2441339081137442,0.6813523694199494,0.5437282186611958,0.0749445036873608,0.11515679008976726,0.0
learned_probe,2019,46,0.5217391304347826,0.4782608695652174,24,0.5604166666666667,0.391304347826087,0.6521739130434783,13,11,5,17,0.68125,0.23182268886154594,0.6554721027082578,0.49438941142061493,0.11169710494897671,-0.15778450162286334,0.0
learned_probe,2020,46,0.5217391304347826,0.4782608695652174,24,0.5079365079365079,0.5652173913043478,0.6086956521739131,16,8,10,12,0.5535714285714286,0.2500355562008978,0.6938837247532533,0.5297649385487835,0.11670017840489824,-0.0789307136251296,0.0
native_mse,2015,22,0.5,0.5,11,0.45726495726495725,0.7272727272727273,0.5909090909090909,9,2,7,4,0.46153846153846156,,,,,,
native_mse,2016,48,0.5208333333333334,0.4791666666666667,25,0.5122377622377623,0.6041666666666666,0.5416666666666666,16,9,13,10,0.486013986013986,,,,,,
native_mse,2017,50,0.46,0.54,23,0.4594155844155844,0.5,0.56,13,10,12,15,0.49188311688311687,,,,,,
native_mse,2018,49,0.6530612244897959,0.3469387755102041,32,0.6845238095238095,0.6938775510204082,0.42857142857142855,19,13,15,2,0.7125850340136054,,,,,,
native_mse,2019,46,0.5652173913043478,0.43478260869565216,26,0.59375,0.43478260869565216,0.6521739130434783,15,11,5,15,0.6833333333333333,,,,,,
native_mse,2020,46,0.5652173913043478,0.43478260869565216,26,0.5138888888888888,0.7391304347826086,0.6086956521739131,21,5,13,7,0.5376984126984127,,,,,,
neutral_50,2015,22,0.4090909090909091,0.5909090909090909,9,0.5,0.0,0.5909090909090909,0,9,0,13,0.5,0.25,0.6931471805599453,0.5,0.0,-0.09090909090909094,0.0
neutral_50,2016,48,0.4583333333333333,0.5416666666666666,22,0.5,0.0,0.5416666666666666,0,22,0,26,0.5,0.25,0.6931471805599453,0.5,0.0,-0.04166666666666663,0.0
neutral_50,2017,50,0.44,0.56,22,0.5,0.0,0.56,0,22,0,28,0.5,0.25,0.6931471805599453,0.5,0.0,-0.06000000000000005,0.0
