job,method,cutoff,seed,test_n,training_up_frequency,validation_up_frequency,training_intercept,mean_validation_logit,sum_feature_logit_contributions,mean_validation_probability,maximum_absolute_standardized_mean,mean_outside_training_range_fraction,identity_error
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,22,0.4921077065923863,0.5909090909090909,-0.03934517279228811,-0.110458397126666,-0.07111322433437778,0.47345126941934895,0.4682198254031498,0.0,1.1102230246251565e-16
learned_2014-12-31_20260911,learned_probe,2014-12-31,20260911,22,0.4921077065923863,0.5909090909090909,-0.03552529616650452,0.05899165154772389,0.0945169477142283,0.5152148511712409,0.8162829077671506,0.0,1.1102230246251565e-16
learned_2014-12-31_20260912,learned_probe,2014-12-31,20260912,22,0.4921077065923863,0.5909090909090909,-0.031624401601966334,-0.09776731308057926,-0.06614291147861291,0.4753055629816006,0.7412587963562802,0.007272727272727273,1.3877787807814457e-17
learned_2015-12-31_20260910,learned_probe,2015-12-31,20260910,48,0.5033613445378151,0.5416666666666666,0.012983475738708072,-0.053861088747632256,-0.06684456448634032,0.48777114153311835,0.20024866269716105,0.013333333333333332,0.0
learned_2015-12-31_20260911,learned_probe,2015-12-31,20260911,48,0.5033613445378151,0.5416666666666666,0.015355562260331086,-0.04653147710197835,-0.061887039362309465,0.48848853349913846,0.4451421157427331,0.01,2.7755575615628914e-17
learned_2015-12-31_20260912,learned_probe,2015-12-31,20260912,48,0.5033613445378151,0.5416666666666666,0.013539484789490958,-0.08064279292281237,-0.09418227771230336,0.4806964421439073,0.37882076692656574,0.0016666666666666666,2.7755575615628914e-17
learned_2016-12-31_20260910,learned_probe,2016-12-31,20260910,50,0.50697350069735,0.56,0.03024444349620575,-0.0350018461247329,-0.06524628962093863,0.4930527645255625,0.9155912375440355,0.004,1.3877787807814457e-17
learned_2016-12-31_20260911,learned_probe,2016-12-31,20260911,50,0.50697350069735,0.56,0.02775896671480856,0.1202570448660369,0.0924980781512284,0.5289582221193648,0.8078056170994923,0.0016,5.551115123125783e-17
learned_2016-12-31_20260912,learned_probe,2016-12-31,20260912,50,0.50697350069735,0.56,0.02685225625917243,0.024281146975162052,-0.0025711092840103797,0.5065060675937196,0.8322530809992399,0.0008,0.0
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,49,0.5202622169249106,0.42857142857142855,0.07951156138979053,0.21817494259740414,0.13866338120761365,0.5521862661497308,0.6875867582848584,0.0032653061224489793,2.7755575615628914e-17
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,49,0.5202622169249106,0.42857142857142855,0.08527602480960698,0.17836550059240977,0.09308947578280274,0.5428461248283107,0.3642082345557817,0.0016326530612244896,4.163336342344337e-17
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,49,0.5202622169249106,0.42857142857142855,0.09097236588564278,0.15379817777183105,0.06282581188618822,0.5361522650055457,0.7297248713295882,0.0,5.551115123125783e-17
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,46,0.5111920874544508,0.6521739130434783,0.051690247402251886,-0.12657026801497198,-0.17826051541722385,0.4684971595699139,0.4745965594418041,0.003478260869565217,2.7755575615628914e-17
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,46,0.5111920874544508,0.6521739130434783,0.04936836875743201,-0.05629914035079344,-0.10566750910822544,0.48823615032205203,0.7184996400681571,0.0008695652173913043,1.3877787807814457e-17
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,46,0.5111920874544508,0.6521739130434783,0.05057387319113262,0.11759911090014347,0.06702523770901091,0.526434924369879,0.34774138965664536,0.0008695652173913043,6.938893903907228e-17
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,46,0.5214780600461894,0.6086956521739131,0.09425725196228116,0.10791166505527804,0.01365441309299688,0.5252679021738941,0.6636793029393797,0.0008695652173913043,1.734723475976807e-18
learned_2019-12-31_20260911,learned_probe,2019-12-31,20260911,46,0.5214780600461894,0.6086956521739131,0.10120125937694387,0.059201053317727445,-0.042000206059216366,0.5123023436507392,0.5824319822634775,0.017391304347826087,5.551115123125783e-17
learned_2019-12-31_20260912,learned_probe,2019-12-31,20260912,46,0.5214780600461894,0.6086956521739131,0.09566144532869121,0.23274459684138407,0.13708315151269285,0.551724569821717,0.5228472458726667,0.004347826086956522,0.0
raw_2014-12-31_-1,raw25_probe,2014-12-31,-1,22,0.4921077065923863,0.5909090909090909,-0.025105970375466295,-0.9194253176037935,-0.8943193472283274,0.3044664380992457,5.390134655230294,0.16363636363636364,1.1102230246251565e-16
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,48,0.5033613445378151,0.5416666666666666,0.01794296169866744,-0.3450086059605235,-0.3629515676591908,0.416389655132702,0.6898209647460679,0.05083333333333334,1.6653345369377348e-16
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,50,0.50697350069735,0.56,0.029505091297215773,-0.36835569234892446,-0.39786078364614025,0.4107205468204068,1.7083957187934835,0.12960000000000002,0.0
raw_2017-12-31_-1,raw25_probe,2017-12-31,-1,49,0.5202622169249106,0.42857142857142855,0.08298926639145035,0.20703529264602769,0.12404602625457736,0.5506167633249526,0.6655659101227817,0.0,2.7755575615628914e-17
raw_2018-12-31_-1,raw25_probe,2018-12-31,-1,46,0.5111920874544508,0.6521739130434783,0.04644051432232853,-0.2616579195949129,-0.3080984339172414,0.4361566695185374,0.6328158632558104,0.0008695652173913043,5.551115123125783e-17
raw_2019-12-31_-1,raw25_probe,2019-12-31,-1,46,0.5214780600461894,0.6086956521739131,0.08764712568707916,0.09792996722149203,0.010282841534412876,0.5238494345289422,0.735171561495528,0.0,1.3877787807814457e-17
