job,method,cutoff,seed,reused,train_n,iterations,objective,gradient_inf,hessian_min_eigenvalue,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_log_loss,constant_brier,constant_accuracy
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,False,1077,4,0.6540531058375202,8.373744406209305e-13,0.010021142374307384,0.6503627273644556,0.22909185737171286,0.6285979572887651,0.6702079955848367,0.4921077065926137,0.1304946347668374,0.6930225987958569,0.24993771170476817,0.5078922934076138
learned_2014-12-31_20260911,learned_probe,2014-12-31,20260911,False,1077,4,0.6440473087658642,2.437286483747414e-16,0.010163987598069501,0.6407924308157905,0.22509116802785933,0.6220984215413184,0.6823600427718948,0.4921077065923863,0.14893313009972386,0.6930225987958569,0.24993771170476817,0.5078922934076138
learned_2014-12-31_20260912,learned_probe,2014-12-31,20260912,False,1077,4,0.6439673258948468,1.6746586756211101e-15,0.016581923755621574,0.6396998862044655,0.22461405207862228,0.6332404828226555,0.6805353385533441,0.49210770659238606,0.14683562638183478,0.6930225987958569,0.24993771170476817,0.5078922934076138
learned_2015-12-31_20260910,learned_probe,2015-12-31,20260910,False,1190,4,0.6441947198276169,1.6154612370034016e-16,0.010087842682597345,0.6424791475212915,0.22562035399264202,0.6327731092436975,0.6789686137923047,0.5033613445378151,0.15136565652297443,0.693124583115526,0.24998870136289814,0.5033613445378151
learned_2015-12-31_20260911,learned_probe,2015-12-31,20260911,False,1190,3,0.6648152374334282,5.687318717102069e-10,0.01021355731237135,0.6618559618121008,0.23486451498569277,0.5941176470588235,0.6378566646610679,0.5033613444268948,0.1113467216122033,0.693124583115526,0.24998870136289814,0.5033613445378151
learned_2015-12-31_20260912,learned_probe,2015-12-31,20260912,False,1190,4,0.6537277125885812,2.303929616531697e-17,0.010253660314144894,0.6496157007303273,0.22897664375236415,0.6226890756302521,0.6670621368383289,0.5033613445378151,0.13093358161977137,0.693124583115526,0.24998870136289814,0.5033613445378151
learned_2016-12-31_20260910,learned_probe,2016-12-31,20260910,False,1434,4,0.6432609098355819,3.0678584672649833e-15,0.01008650992658776,0.6407919059136545,0.22545011468377363,0.6164574616457462,0.6754366338579231,0.50697350069735,0.15086602544070152,0.6930499179826164,0.24995137028802408,0.50697350069735
learned_2016-12-31_20260911,learned_probe,2016-12-31,20260911,False,1434,4,0.6641305853055078,2.5123247663240118e-17,0.010059957790839517,0.6625133860638832,0.2353085126497369,0.5815899581589958,0.6339240723050493,0.50697350069735,0.11540299433573822,0.6930499179826164,0.24995137028802408,0.50697350069735
learned_2016-12-31_20260912,learned_probe,2016-12-31,20260912,False,1434,3,0.6658361287938255,4.2303661485290633e-10,0.01089831615228623,0.6633184250908623,0.2353333681457069,0.6094839609483961,0.6407841412948526,0.5069735008016347,0.10992093332079501,0.6930499179826164,0.24995137028802408,0.50697350069735
raw_2014-12-31_-1,raw25_probe,2014-12-31,-1,False,1077,4,0.6564171128096696,7.876074358675877e-12,0.011379308908397931,0.6525281991365046,0.23015788502720683,0.6090993500464252,0.6634127832775689,0.49210770659064496,0.12554433208049243,0.6930225987958569,0.24993771170476817,0.5078922934076138
